Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
041117Abl_W6,1,TE,I,10808,287.06,208.97,5.3663,1210.6,1.31E+07,151.73,1.64E+06,27.407,2.96E+05,490.62,5.30E+06,214.04,2.31E+06,
041117Abl_W6,2,TE,I,7871,141.77,246.87,5.5104,2043.3,1.61E+07,160.98,1.27E+06,34.122,2.69E+05,474.36,3.73E+06,202.42,1.59E+06,
041117Abl_W6,3,TE,I,8696,300.09,281.83,4.9366,1384.6,1.20E+07,139.62,1.21E+06,26.07,2.27E+05,477.75,4.15E+06,259.33,2.26E+06,
041117Abl_W6,4,TE,I,9115,251.23,320.07,6.6395,1773.6,1.62E+07,151.15,1.38E+06,26.59,2.42E+05,474.71,4.33E+06,187.03,1.70E+06,
041117Abl_W6,5,TE,I,9238,183.05,217.01,8.2131,1929.6,1.78E+07,208.7,1.93E+06,28.698,2.65E+05,437.59,4.04E+06,258.66,2.39E+06,
041117Abl_W6,7,TE,I,9999,196.32,286.04,6.9729,1209.5,1.21E+07,116.8,1.17E+06,27.067,2.71E+05,499.44,4.99E+06,253.39,2.53E+06,
041117Abl_W6,8,TE,I,12509,337.16,183.72,9.2754,940.29,1.18E+07,134.32,1.68E+06,23.531,2.94E+05,464.78,5.81E+06,211.29,2.64E+06,
041117Abl_W6,9,TE,I,9108,107.25,191.37,11.111,1806.9,1.65E+07,110.1,1.00E+06,30.294,2.76E+05,479.61,4.37E+06,230.72,2.10E+06,
041117Abl_W6,10,ICM,I,11868,154.74,274.26,12.781,2176.5,2.58E+07,36.198,4.30E+05,139.2,1.65E+06,455.27,5.40E+06,79.03,9.38E+05,
041117Abl_W6,11,ICM,I,5168,155.26,214.15,12.336,2290.8,1.18E+07,35.819,1.85E+05,32.875,1.70E+05,454.79,2.35E+06,396.67,2.05E+06,
041117Abl_W6,12,ICM,I,9336,92.257,231.43,14.943,2365.6,2.21E+07,32.994,3.08E+05,128,1.20E+06,429.44,4.01E+06,78.277,7.31E+05,
041117Abl_W6,13,TE,I,12560,98.058,279.57,16.002,2333.5,2.93E+07,32.294,4.06E+05,187.97,2.36E+06,516.44,6.49E+06,59.366,7.46E+05,
041117Abl_W6,14,ICM,I,6742,136.79,178.57,18.718,2153.6,1.45E+07,33.17,2.24E+05,53.67,3.62E+05,484.97,3.27E+06,58.94,3.97E+05,
041117Abl_W6,15,TE,I,6704,400.22,238.07,18.511,1149.5,7.71E+06,135.86,9.11E+05,23.06,1.55E+05,450.86,3.02E+06,148.88,9.98E+05,
041117Abl_W6,16,TE,I,6307,62.13,240.01,18.98,2079.1,1.31E+07,115.94,7.31E+05,31.37,1.98E+05,500.99,3.16E+06,186.84,1.18E+06,
041117Abl_W6,17,TE,I,6051,149.11,325.18,18.073,1884.1,1.14E+07,134.79,8.16E+05,23.432,1.42E+05,487.15,2.95E+06,158.99,9.62E+05,
041117Abl_W6,18,TE,I,6200,314.87,367.32,17.677,1779.2,1.10E+07,180.61,1.12E+06,27.629,1.71E+05,467.6,2.90E+06,203.01,1.26E+06,
041117Abl_W6,19,TE,M,7716,214.84,344.86,20.389,1796.5,1.39E+07,40.585,3.13E+05,26.578,2.05E+05,473.82,3.66E+06,49.837,3.85E+05,
041117Abl_W6,20,TE,I,8144,246.18,383.79,20.465,1257.7,1.02E+07,147.28,1.20E+06,24.531,2.00E+05,481.32,3.92E+06,185.91,1.51E+06,
041117Abl_W6,21,ICM,I,2878,108.61,214.2,18.851,2928.3,8.43E+06,34.42,99062,36.335,1.05E+05,454.95,1.31E+06,224.55,6.46E+05,
041117Abl_W6,22,ICM,I,5523,131.14,254.76,19.014,2067.3,1.14E+07,29.704,1.64E+05,137.84,7.61E+05,442.22,2.44E+06,56.722,3.13E+05,
041117Abl_W6,23,TE,M,9742,387.06,316.07,22.513,2582.1,2.52E+07,83.557,8.14E+05,23.353,2.28E+05,471.72,4.60E+06,80.802,7.87E+05,
041117Abl_W6,25,TE,I,5381,161.34,159.42,23.052,2033.9,1.09E+07,190.67,1.03E+06,27.187,1.46E+05,511.61,2.75E+06,236.71,1.27E+06,
041117Abl_W6,26,TE,I,4216,84.063,178.41,23.703,2533.8,1.07E+07,31.375,1.32E+05,28.271,1.19E+05,501.65,2.11E+06,192.58,8.12E+05,
041117Abl_W6,27,ICM,I,7201,110.78,273.27,23.414,1968.3,1.42E+07,27.694,1.99E+05,132.95,9.57E+05,462.6,3.33E+06,54.504,3.92E+05,
041117Abl_W6,29,TE,I,4354,382.96,372.9,24.201,2362.4,1.03E+07,62.426,2.72E+05,31.229,1.36E+05,490.84,2.14E+06,50.909,2.22E+05,
041117Abl_W6,30,ICM,I,7600,129.48,199.64,26.241,1682,1.28E+07,26.425,2.01E+05,212.39,1.61E+06,409.72,3.11E+06,58.559,4.45E+05,
041117Abl_W6,32,ICM,I,12018,71.216,224.77,25.834,1662.4,2.00E+07,30.877,3.71E+05,112.96,1.36E+06,435.39,5.23E+06,59.403,7.14E+05,
041117Abl_W6,33,TE,I,8902,156.77,228.6,25.897,1289.1,1.15E+07,24.475,2.18E+05,26.326,2.34E+05,443.69,3.95E+06,350.99,3.12E+06,
041117Abl_W6,34,TE,I,12667,114.68,163.14,29.368,1804.5,2.29E+07,27.817,3.52E+05,140.92,1.79E+06,473.99,6.00E+06,52.121,6.60E+05,
041117Abl_W6,35,ICM,I,8565,170.5,189.81,29.289,1820.4,1.56E+07,26.869,2.30E+05,28.314,2.43E+05,453.45,3.88E+06,641.97,5.50E+06,
041117Abl_W6,36,TE,I,6270,88.593,302.18,29.133,1578.3,9.90E+06,118.49,7.43E+05,28.749,1.80E+05,541.93,3.40E+06,196.18,1.23E+06,
041117Abl_W6,37,TE,I,12185,416.54,161.16,33.023,1127.9,1.37E+07,155.23,1.89E+06,24.63,3.00E+05,444.79,5.42E+06,271.46,3.31E+06,
041117Abl_W6,38,TE,I,15290,310.65,91.012,34.948,1483.5,2.27E+07,102.32,1.56E+06,22.734,3.48E+05,432.74,6.62E+06,171.27,2.62E+06,
041117Abl_W6,39,ICM,I,5243,88.606,255.7,29.602,1405.8,7.37E+06,25.126,1.32E+05,32.773,1.72E+05,456.31,2.39E+06,348.07,1.82E+06,
041117Abl_W6,40,TE,I,5526,135.64,358.09,31.942,1718.9,9.50E+06,110.16,6.09E+05,30.376,1.68E+05,530.23,2.93E+06,198.39,1.10E+06,
041117Abl_W6,41,TE,I,8324,284.88,415.11,33.97,1516.5,1.26E+07,116.67,9.71E+05,22.504,1.87E+05,450.41,3.75E+06,133.33,1.11E+06,
041117Abl_W6,42,TE,M,8702,382.17,336.22,34.459,969.07,8.43E+06,37.106,3.23E+05,23.932,2.08E+05,476.26,4.14E+06,47.681,4.15E+05,
041117Abl_W6,43,ICM,I,8739,65.783,190.92,38.39,1126.1,9.84E+06,23.009,2.01E+05,107.96,9.43E+05,422.15,3.69E+06,41.709,3.65E+05,
041117Abl_W6,44,TE,I,5533,177.7,124.39,40.12,1288.8,7.13E+06,100.85,5.58E+05,21.044,1.16E+05,525.95,2.91E+06,135.26,7.48E+05,
041117Abl_W6,45,ICM,I,10310,156.05,155.32,38.964,1126.5,1.16E+07,24.388,2.51E+05,23.491,2.42E+05,456.9,4.71E+06,209.73,2.16E+06,
041117Abl_W6,46,ICM,I,5515,104.84,166.83,38.009,1615.3,8.91E+06,25.466,1.40E+05,89.681,4.95E+05,434.71,2.40E+06,46.868,2.58E+05,
