Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
021119Abl_EK7,1,TE,I,14135,207.7,162.92,4.8518,1906.9,2.70E+07,36.587,5.17E+05,309.49,4.37E+06,1227.8,1.74E+07,202.21,2.86E+06,
021119Abl_EK7,2,TE,I,7887,239.26,311.7,4.1071,2081.1,1.64E+07,39.686,3.13E+05,352.83,2.78E+06,1211.5,9.56E+06,798.93,6.30E+06,
021119Abl_EK7,3,TE,I,11278,253.95,221.8,4.4137,1383.5,1.56E+07,29.876,3.37E+05,151.88,1.71E+06,1250.4,1.41E+07,356.01,4.02E+06,
021119Abl_EK7,4,TE,I,9220,157,237,5,2571.527,,41.851,,485.868,,1212.865,,253.017,,
021119Abl_EK7,4.2,ICM,I,9220,157,227,11,2414.016,,38.934,,2468.19,,1200.802,,1274.417,,
021119Abl_EK7,5,TE,I,22516,129,181,7,2441.365,,78.462,,343.986,,1188.741,,251.597,,
021119Abl_EK7,5.2,ICM,I,22516,127,161,12,1838.637,,1124.992,,398.798,,1188.929,,227.843,,
021119Abl_EK7,6,ICM,I,9093,192.47,231.24,6.0703,1498.8,1.36E+07,33.317,3.03E+05,1448.1,1.32E+07,1237.6,1.13E+07,626.4,5.70E+06,
021119Abl_EK7,7,TE,I,7716,170.04,296.58,6.2576,1817.6,1.40E+07,30.687,2.37E+05,146.41,1.13E+06,1222.7,9.43E+06,113.59,8.76E+05,
021119Abl_EK7,8,ICM,I,6239,221.72,190.03,8.3396,2115.6,1.32E+07,39.625,2.47E+05,1783,1.11E+07,1220.5,7.61E+06,798.03,4.98E+06,
021119Abl_EK7,9,TE,I,21541,336.63,275.87,8.2702,1593.8,3.43E+07,28.606,6.16E+05,180.26,3.88E+06,1227.2,2.64E+07,141.93,3.06E+06,
021119Abl_EK7,10,TE,I,13259,82,207,13,1943.579,,90.275,,421.562,,1181.057,,209.593,,
021119Abl_EK7,11,ICM,I,4830,161.17,165.13,12.524,2020.5,9.76E+06,40.366,1.95E+05,1927.9,9.31E+06,1260.2,6.09E+06,354.82,1.71E+06,
021119Abl_EK7,12,TE,I,14072,178.36,108.41,12.868,1232.5,1.73E+07,29.938,4.21E+05,274.08,3.86E+06,1218.1,1.71E+07,177.07,2.49E+06,
021119Abl_EK7,13,TE,I,12886,321.36,154.2,12.736,1333.5,1.72E+07,27.814,3.58E+05,162.18,2.09E+06,1233.6,1.59E+07,346.64,4.47E+06,
021119Abl_EK7,14,ICM,I,4446,171.54,200.05,13.247,2265.5,1.01E+07,35.926,1.60E+05,1925.6,8.56E+06,1240,5.51E+06,879.85,3.91E+06,
021119Abl_EK7,15,ICM,I,1430,98.166,175.13,11,1762.769,,340.726,,438.329,,1179.263,,240.217,,
021119Abl_EK7,17,ICM,M,4507,95.048,160.84,20.637,2474.6,1.12E+07,205.75,9.27E+05,342.98,1.55E+06,1151.1,5.19E+06,181.52,8.18E+05,
021119Abl_EK7,19,ICM,I,9040,132.05,258.98,19.416,1646.5,1.49E+07,31.57,2.85E+05,1740.3,1.57E+07,1205.1,1.09E+07,1049.5,9.49E+06,
021119Abl_EK7,20,TE,I,10036,300.21,388.67,19.2,2015.5,2.02E+07,26.762,2.69E+05,117.28,1.18E+06,1210.7,1.22E+07,121.18,1.22E+06,
021119Abl_EK7,21,TE,I,6931,245.84,394.53,19.288,2096.9,1.45E+07,26.973,1.87E+05,134.66,9.33E+05,1210.2,8.39E+06,487.78,3.38E+06,
021119Abl_EK7,22,ICM,I,4279,152.81,128.76,18.177,1747.6,7.48E+06,37.82,1.62E+05,2224.7,9.52E+06,1200,5.14E+06,797.47,3.41E+06,
021119Abl_EK7,23,ICM,I,4415,128.19,183.24,18.19,1914.5,8.45E+06,58.653,2.59E+05,1817.2,8.02E+06,1123.4,4.96E+06,367.64,1.62E+06,
021119Abl_EK7,24,ICM,I,6976,120.09,224.28,20.408,1783.3,1.24E+07,86.08,6.00E+05,1813,1.26E+07,1135.2,7.92E+06,1100.4,7.68E+06,
021119Abl_EK7,25,ICM,I,3140,107.69,230.07,16.102,1512.138,,352.868,,383.063,,1116.056,,233.146,,
