Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
021119Abl_EM1,1,TE,M,8221,217.27,173.88,6.0594,2915.1,2.40E+07,31.577,2.60E+05,46.298,3.81E+05,1210.5,9.95E+06,253.11,2.08E+06,
021119Abl_EM1,2,TE,I,11661,266.36,234.22,6.5063,2565.9,2.99E+07,35.056,4.09E+05,61.741,7.20E+05,1197.2,1.40E+07,379.12,4.42E+06,
021119Abl_EM1,3,TE,I,10579,325.13,273.57,6.4216,2476.6,2.62E+07,35.828,3.79E+05,116.88,1.24E+06,1224.5,1.30E+07,823.07,8.71E+06,
021119Abl_EM1,4,TE,I,6844,314.78,323.25,6.4129,2373.3,1.62E+07,39.036,2.67E+05,65.424,4.48E+05,1277.5,8.74E+06,331.01,2.27E+06,
021119Abl_EM1,6,TE,I,6607,351.62,310.77,9.2496,2493.6,1.65E+07,30.503,2.02E+05,37.334,2.47E+05,1276,8.43E+06,208.26,1.38E+06,
021119Abl_EM1,7,TE,I,13556,289.94,185.05,9.8863,2436.4,3.30E+07,27.393,3.71E+05,40.04,5.43E+05,1231.8,1.67E+07,320.6,4.35E+06,
021119Abl_EM1,8,TE,I,11910,284.3,267.7,10.825,2435.5,2.90E+07,29.91,3.56E+05,39.967,4.76E+05,1271.8,1.51E+07,231.9,2.76E+06,
021119Abl_EM1,9,TE,I,6107,254.46,274.79,9.1484,2493.7,1.52E+07,40.742,2.49E+05,76.832,4.69E+05,1278.4,7.81E+06,359.26,2.19E+06,
021119Abl_EM1,10,TE,I,5547,275.54,306.45,10.364,2190.8,1.22E+07,35.591,1.97E+05,63.775,3.54E+05,1250.5,6.94E+06,310.06,1.72E+06,
021119Abl_EM1,11,TE,I,10399,314.2,217.05,12.411,1966.8,2.05E+07,29.427,3.06E+05,48.858,5.08E+05,1248.2,1.30E+07,236.75,2.46E+06,
021119Abl_EM1,12,TE,I,17705,172.61,276.42,13.063,2524,4.47E+07,31.828,5.64E+05,49.386,8.74E+05,1302.7,2.31E+07,195.21,3.46E+06,
021119Abl_EM1,14,TE,I,16944,193.12,213.55,14.432,2043.3,3.46E+07,29.803,5.05E+05,49.036,8.31E+05,1315.8,2.23E+07,236.21,4.00E+06,
021119Abl_EM1,15,TE,I,7702,382.32,297.4,13.593,2896.8,2.23E+07,41.921,3.23E+05,97.348,7.50E+05,1270.6,9.79E+06,853.4,6.57E+06,
021119Abl_EM1,16,TE,I,16756,353,242.55,13.382,1676.8,2.81E+07,26.552,4.45E+05,33.781,5.66E+05,1275.4,2.14E+07,189.17,3.17E+06,
021119Abl_EM1,17,TE,I,10984,211.16,280.2,16.13,2289.5,2.51E+07,37.417,4.11E+05,43.776,4.81E+05,1272,1.40E+07,208.74,2.29E+06,
