Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
071217Abl_AV4,1,TE,I,20702,234,300,4,2555.834,,500.848,,52.323,,459.7,,272.9,,
071217Abl_AV4,1.2,TE,I,20702,222,306,15,1994.258,,33.093,,41.438,,415.993,,545.588,,
071217Abl_AV4,2,TE,I,8172,286.33,196.24,4.494,2606.6,2.13E+07,442.25,3.61E+06,53.526,4.37E+05,458.64,3.75E+06,424.6,3.47E+06,
071217Abl_AV4,3,TE,I,24888,180,157,7,2876.609,,739.073,,59.641,,455.296,,497.702,,
071217Abl_AV4,3.2,TE,I,24888,178,124,12,1825.323,,479.166,,47.249,,450.501,,352.01,,
071217Abl_AV4,4,TE,I,9531,301.5,169.02,7.1067,2725.3,2.60E+07,390.53,3.72E+06,48.784,4.65E+05,456.85,4.35E+06,369.49,3.52E+06,
071217Abl_AV4,5,ICM,I,15505,179.59,247.47,13.313,1403,2.18E+07,22.569,3.50E+05,42.464,6.58E+05,430.54,6.68E+06,719.68,1.12E+07,
071217Abl_AV4,6,TE,I,8063,174.01,282.8,11.964,1547.4,1.25E+07,399.2,3.22E+06,38.662,3.12E+05,426.73,3.44E+06,105.62,8.52E+05,
071217Abl_AV4,7,TE,I,11346,317.55,303.36,13.92,2147.4,2.44E+07,101.33,1.15E+06,33.83,3.84E+05,422.77,4.80E+06,66.702,7.57E+05,
071217Abl_AV4,8,TE,I,11421,119.08,190.56,17.427,1239.3,1.42E+07,255.93,2.92E+06,44.065,5.03E+05,405.31,4.63E+06,120.21,1.37E+06,
071217Abl_AV4,9,ICM,I,11346,175.62,304.15,22.592,1579.3,1.79E+07,30.517,3.46E+05,34.81,3.95E+05,448.25,5.09E+06,398.3,4.52E+06,
071217Abl_AV4,10,ICM,I,5675,125.88,215.04,23.441,1439.3,8.17E+06,26.788,1.52E+05,45.463,2.58E+05,408.5,2.32E+06,891.26,5.06E+06,
071217Abl_AV4,11,ICM,I,7451,110.75,269.06,27.881,1138.9,8.49E+06,18.134,1.35E+05,195.17,1.45E+06,430.95,3.21E+06,91.892,6.85E+05,
