Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
081517Abl_BK12,1,ICM,I,8530,222.09,238.16,4.8122,2304,1.97E+07,27.88,2.38E+05,602.21,5.14E+06,286.26,2.44E+06,1131.4,9.65E+06,
081517Abl_BK12,2,TE,I,13400,208.19,195.31,6.9934,2691,3.61E+07,400.09,5.36E+06,91.491,1.23E+06,328.75,4.41E+06,607.19,8.14E+06,
081517Abl_BK12,3,TE,I,12768,231.99,286.23,6.5628,2113.6,2.70E+07,312.65,3.99E+06,116.81,1.49E+06,330.59,4.22E+06,983.03,1.26E+07,
081517Abl_BK12,4,TE,I,14586,280.04,200.36,9.8039,1944.4,2.84E+07,278.31,4.06E+06,114.12,1.66E+06,308.06,4.49E+06,895.39,1.31E+07,
081517Abl_BK12,5,ICM,I,9837,265.07,242.87,10.373,1854.2,1.82E+07,24.981,2.46E+05,160.87,1.58E+06,333.91,3.28E+06,1607.4,1.58E+07,
081517Abl_BK12,6,TE,I,12785,297.11,264.76,10.665,2272.5,2.91E+07,378.34,4.84E+06,66.484,8.50E+05,308.29,3.94E+06,668.63,8.55E+06,
081517Abl_BK12,7,ICM,I,9235,196.47,264.52,11.985,1893.2,1.75E+07,44.898,4.15E+05,256.99,2.37E+06,368.35,3.40E+06,1517.6,1.40E+07,
081517Abl_BK12,8,ICM,I,4775,225.47,227.81,12.532,2182.4,1.04E+07,22.222,1.06E+05,626.13,2.99E+06,270.05,1.29E+06,719.83,3.44E+06,
081517Abl_BK12,9,TE,I,13821,327.2,224.02,16.252,1769.6,2.45E+07,291.56,4.03E+06,68.016,9.40E+05,305.08,4.22E+06,625.19,8.64E+06,
081517Abl_BK12,11,ICM,I,3335,240.87,192.41,14.463,1868.9,6.23E+06,25.345,84525,615.1,2.05E+06,316.53,1.06E+06,605.65,2.02E+06,
081517Abl_BK12,12,ICM,I,6524,193.94,199.27,15.758,2168.6,1.41E+07,41.214,2.69E+05,886.39,5.78E+06,318.35,2.08E+06,418.09,2.73E+06,
081517Abl_BK12,13,ICM,I,8589,247.08,287.34,18.529,1452.1,1.25E+07,27.423,2.36E+05,195.27,1.68E+06,298.79,2.57E+06,915.91,7.87E+06,
081517Abl_BK12,14,ICM,I,9230,235.46,233.75,21.56,1441.4,1.33E+07,22.525,2.08E+05,178.72,1.65E+06,317.24,2.93E+06,853.51,7.88E+06,
081517Abl_BK12,15,TE,I,11686,149.68,251.27,24.622,1705.1,1.99E+07,219.33,2.56E+06,108.49,1.27E+06,332.26,3.88E+06,588.2,6.87E+06,
081517Abl_BK12,16,ICM,I,6518,187.18,224.93,21.818,1197.8,7.81E+06,21.155,1.38E+05,180.16,1.17E+06,337.6,2.20E+06,1276.9,8.32E+06,
081517Abl_BK12,17,ICM,I,9236,205.2,266.83,22.295,1453,1.34E+07,39.867,3.68E+05,194.52,1.80E+06,347.93,3.21E+06,1135.6,1.05E+07,
081517Abl_BK12,18,TE,I,12591,175.23,320.71,26.106,1826.1,2.30E+07,226.1,2.85E+06,80.068,1.01E+06,324.61,4.09E+06,605.65,7.63E+06,
081517Abl_BK12,19,ICM,I,6733,271.67,193.16,22.999,1613.2,1.09E+07,28.993,1.95E+05,698.12,4.70E+06,292.42,1.97E+06,348.31,2.35E+06,
081517Abl_BK12,20,TE,I,6972,237.2,159.73,25.82,1517.7,1.06E+07,220.77,1.54E+06,196.64,1.37E+06,326.72,2.28E+06,796.34,5.55E+06,
081517Abl_BK12,21,ICM,I,1937,278.63,283.81,21.901,1094.1,2.12E+06,23.995,46479,415.01,8.04E+05,275.67,5.34E+05,393.26,7.62E+05,
081517Abl_BK12,22,TE,I,12198,302.95,177.24,29.391,1417.6,1.73E+07,220.01,2.68E+06,46.475,5.67E+05,345.93,4.22E+06,425.11,5.19E+06,
081517Abl_BK12,23,ICM,I,9631,271.51,243.64,27.534,919.94,8.86E+06,63.502,6.12E+05,57.05,5.49E+05,311.54,3.00E+06,526.17,5.07E+06,
081517Abl_BK12,24,TE,I,11625,315.47,277.28,29.123,984.75,1.14E+07,160.16,1.86E+06,54.661,6.35E+05,302.69,3.52E+06,362.61,4.22E+06,
081517Abl_BK12,25,ICM,I,5917,163.36,283.84,28.345,1612,9.54E+06,32.823,1.94E+05,152.41,9.02E+05,322.83,1.91E+06,733.22,4.34E+06,
081517Abl_BK12,27,ICM,I,8017,214.71,183.08,26.74,1022.1,8.19E+06,20.546,1.65E+05,406.04,3.26E+06,307.41,2.46E+06,677.5,5.43E+06,
081517Abl_BK12,28,ICM,I,10027,220.78,326.28,31.588,730.68,7.33E+06,24.02,2.41E+05,451.4,4.53E+06,338.28,3.39E+06,239.15,2.40E+06,
081517Abl_BK12,29,TE,I,13607,344.92,219.18,33.236,994.62,1.35E+07,143.26,1.95E+06,52.771,7.18E+05,293.28,3.99E+06,310.94,4.23E+06,
081517Abl_BK12,30,ICM,I,5905,241.92,300.22,29.651,825.44,4.87E+06,20.378,1.20E+05,511.85,3.02E+06,309.07,1.83E+06,297.39,1.76E+06,
081517Abl_BK12,31,TE,I,11905,257.47,344,31.766,901.8,1.07E+07,137.24,1.63E+06,67.662,8.06E+05,232.85,2.77E+06,338.51,4.03E+06,
081517Abl_BK12,32,TE,I,11944,168.92,185.01,35.365,1414.7,1.69E+07,170.15,2.03E+06,49.358,5.90E+05,308.92,3.69E+06,348.05,4.16E+06,
081517Abl_BK12,33,ICM,I,9028,238.44,220.13,34.081,767.8,6.93E+06,19.469,1.76E+05,89.562,8.09E+05,306.27,2.77E+06,531.19,4.80E+06,
081517Abl_BK12,34,ICM,I,3159,199.11,291.89,31.061,800.53,2.53E+06,19.796,62534,521.44,1.65E+06,292.84,9.25E+05,274.17,8.66E+05,
081517Abl_BK12,35,ICM,I,4269,258.5,197.21,31.296,927.72,3.96E+06,18.145,77460,617.98,2.64E+06,281.29,1.20E+06,267.56,1.14E+06,
081517Abl_BK12,36,ICM,I,8717,198.81,210.27,35.6,723.25,6.30E+06,22.324,1.95E+05,291.38,2.54E+06,334.42,2.92E+06,346.86,3.02E+06,
081517Abl_BK12,37,TE,I,9568,308.45,213.83,37.834,680.96,6.52E+06,85.544,8.18E+05,53.216,5.09E+05,326.25,3.12E+06,244.17,2.34E+06,
081517Abl_BK12,38,ICM,I,7685,158.34,233.04,35.48,996.69,7.66E+06,26.11,2.01E+05,533.74,4.10E+06,323.19,2.48E+06,213.31,1.64E+06,
081517Abl_BK12,39,ICM,I,5724,235.67,255.65,35.909,601.4,3.44E+06,20.411,1.17E+05,302.98,1.73E+06,320.14,1.83E+06,406.2,2.33E+06,
081517Abl_BK12,40,TE,I,12489,351.03,290.55,39.029,719.97,8.99E+06,130.04,1.62E+06,47.421,5.92E+05,336.4,4.20E+06,357.74,4.47E+06,
081517Abl_BK12,41,ICM,I,9507,198.13,245.33,39.389,566.66,5.39E+06,17.424,1.66E+05,102.12,9.71E+05,304.08,2.89E+06,652.75,6.21E+06,
081517Abl_BK12,42,TE,I,13070,265.08,167.6,42.616,594.73,7.77E+06,87.816,1.15E+06,64.768,8.47E+05,316.34,4.13E+06,365.3,4.77E+06,
081517Abl_BK12,43,TE,I,11391,286.26,321.05,40.638,428.88,4.89E+06,82.354,9.38E+05,42.321,4.82E+05,373.65,4.26E+06,239.92,2.73E+06,
081517Abl_BK12,44,ICM,I,11745,220.22,290.1,42.655,473.49,5.56E+06,22.2,2.61E+05,129.22,1.52E+06,322.36,3.79E+06,238.97,2.81E+06,
081517Abl_BK12,45,ICM,I,10478,177.51,289.19,42.19,582.67,6.11E+06,25.384,2.66E+05,292.41,3.06E+06,316.94,3.32E+06,209.07,2.19E+06,
081517Abl_BK12,46,ICM,I,3673,249.87,301.31,39.674,439.1,1.61E+06,19.743,72516,262.14,9.63E+05,297.82,1.09E+06,291.8,1.07E+06,
081517Abl_BK12,47,TE,I,13116,192.7,328.68,45.731,533.51,7.00E+06,89.122,1.17E+06,42.194,5.53E+05,316.85,4.16E+06,147.48,1.93E+06,
081517Abl_BK12,48,TE,I,10510,329.79,260.85,47.805,363.49,3.82E+06,71.288,7.49E+05,36.051,3.79E+05,322.25,3.39E+06,268.83,2.83E+06,
081517Abl_BK12,49,TE,I,10643,294.87,200.02,48.368,469.13,4.99E+06,74.171,7.89E+05,34.065,3.63E+05,333.13,3.55E+06,162.96,1.73E+06,
081517Abl_BK12,50,ICM,I,11184,195.48,207.43,47.762,426.61,4.77E+06,19.17,2.14E+05,237.61,2.66E+06,312.02,3.49E+06,259.95,2.91E+06,
081517Abl_BK12,51,TE,I,12804,258.77,235.62,49.17,302.99,3.88E+06,43.507,5.57E+05,38.279,4.90E+05,307.29,3.93E+06,147.24,1.89E+06,
081517Abl_BK12,52,TE,I,16716,295.61,254.31,50.904,301.84,5.05E+06,59.282,9.91E+05,32.334,5.41E+05,332.98,5.57E+06,142.9,2.39E+06,
081517Abl_BK12,53,TE,I,11444,334.99,310.13,50.324,410.04,4.69E+06,78.026,8.93E+05,35.749,4.09E+05,333.15,3.81E+06,245.83,2.81E+06,
081517Abl_BK12,55,TE,I,18725,240.14,329.69,50.732,310.86,5.82E+06,63.15,1.18E+06,52.781,9.88E+05,301.39,5.64E+06,188.29,3.53E+06,
081517Abl_BK12,56,ICM,I,3418,199.55,265.48,49,412.75,1.41E+06,22.085,75488,142.33,4.86E+05,347.96,1.19E+06,253.6,8.67E+05,
081517Abl_BK12,57,TE,I,9210,226.33,188.86,51.913,293.37,2.70E+06,54.587,5.03E+05,86.964,8.01E+05,288.04,2.65E+06,190.94,1.76E+06,
081517Abl_BK12,58,TE,I,12521,299.77,328.73,56.318,352.65,4.42E+06,73.784,9.24E+05,76.575,9.59E+05,269.7,3.38E+06,217.26,2.72E+06,
081517Abl_BK12,59,TE,I,9872,185.78,228.88,56.594,359.63,3.55E+06,66.129,6.53E+05,50.767,5.01E+05,300.19,2.96E+06,195.43,1.93E+06,
081517Abl_BK12,60,TE,I,12419,189.63,271.89,58.232,368.82,4.58E+06,57.876,7.19E+05,57.985,7.20E+05,337.01,4.19E+06,153.68,1.91E+06,
081517Abl_BK12,61,TE,I,10310,237.74,249.09,61.283,218.84,2.26E+06,42.71,4.40E+05,28.832,2.97E+05,296.5,3.06E+06,100.75,1.04E+06,
081517Abl_BK12,62,TE,I,10148,222.21,301.12,59.965,238.24,2.42E+06,40.769,4.14E+05,36.471,3.70E+05,318.76,3.23E+06,120.6,1.22E+06,
081517Abl_BK12,63,TE,I,7180,277.47,266.31,63.142,284.2,2.04E+06,22.103,1.59E+05,23.792,1.71E+05,301.96,2.17E+06,49.647,3.56E+05,
081517Abl_BK12,64,TE,I,7858,277.27,300.86,66.333,261.61,2.06E+06,18.63,1.46E+05,23.164,1.82E+05,333.51,2.62E+06,42.723,3.36E+05,
