Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
021919Abl_EO4,2,TE,I,6222,267.14,229.37,6.9041,3078.1,1.92E+07,55.385,3.45E+05,365.63,2.28E+06,1210.1,7.53E+06,286.91,1.79E+06,
021919Abl_EO4,3,TE,I,19950,232,255,6,3328.97,,71.506,,358.768,,1265.772,,266.087,,
021919Abl_EO4,3.2,ICM,I,19950,235,249,14,3061.537,,869.459,,226.218,,1221.969,,181.674,,
021919Abl_EO4,4,TE,I,12129,317.26,298.85,8.0172,2541.3,3.08E+07,49.243,5.97E+05,390.91,4.74E+06,1302.5,1.58E+07,280.42,3.40E+06,
021919Abl_EO4,5,TE,I,23231,221,309,7,3064.433,,90.808,,344.223,,1281.251,,242.233,,
021919Abl_EO4,5.2,ICM,I,23231,218,327,17,3301.334,,717.266,,209.695,,1226.734,,174.689,,
021919Abl_EO4,6,TE,I,10589,302.97,242.98,10.269,2603.4,2.76E+07,45.521,4.82E+05,283.5,3.00E+06,1306.9,1.38E+07,260.89,2.76E+06,
021919Abl_EO4,7,TE,I,11413,285.16,276.98,8.8091,2436.6,2.78E+07,48.05,5.48E+05,314.69,3.59E+06,1273.7,1.45E+07,228.71,2.61E+06,
021919Abl_EO4,8,TE,I,7285,227.56,209.44,12.2,2878.8,2.10E+07,54.824,3.99E+05,381.73,2.78E+06,1297.8,9.45E+06,348.89,2.54E+06,
021919Abl_EO4,9,TE,I,16568,258,304,9,2813.8,4.66E+07,47.68,7.90E+05,320.14,5.30E+06,1318.5,2.18E+07,400.88,6.64E+06,
021919Abl_EO4,9.2,TE,I,16568,273,320,16,2813.8,4.66E+07,47.68,7.90E+05,320.14,5.30E+06,1318.5,2.18E+07,400.88,6.64E+06,
021919Abl_EO4,10,TE,I,6124,336.53,334.22,11.263,2532.1,1.55E+07,47.512,2.91E+05,354.2,2.17E+06,1320.3,8.09E+06,345.82,2.12E+06,
021919Abl_EO4,11,TE,I,9108,344.61,246.03,12.696,2611.5,2.38E+07,47.111,4.29E+05,330.18,3.01E+06,1250.6,1.14E+07,238.23,2.17E+06,
