Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
021919Abl_EO7,1,TE,I,9927,174.38,320.63,6.4755,3082.2,3.06E+07,56.447,5.60E+05,263.46,2.62E+06,1177.3,1.17E+07,1497.6,1.49E+07,
021919Abl_EO7,2,TE,I,8414,256.88,294.59,6.77,3178.9,2.67E+07,43.894,3.69E+05,307.36,2.59E+06,1252.7,1.05E+07,277.27,2.33E+06,
021919Abl_EO7,3,TE,I,6038,294.42,304.5,6.0454,3095.6,1.87E+07,39.177,2.37E+05,292.31,1.77E+06,1236.9,7.47E+06,295.61,1.78E+06,
021919Abl_EO7,4,TE,I,8322,297.86,227.64,8.9784,3449.7,2.87E+07,43.121,3.59E+05,304.86,2.54E+06,1178.6,9.81E+06,318.1,2.65E+06,
021919Abl_EO7,5,TE,I,11762,348.59,271.84,7.7069,3279.8,3.86E+07,41.619,4.90E+05,264.26,3.11E+06,1167,1.37E+07,758.61,8.92E+06,
021919Abl_EO7,6,TE,I,9743,296.39,270.64,8.129,2794.5,2.72E+07,39.378,3.84E+05,266.34,2.60E+06,1216.6,1.19E+07,232.8,2.27E+06,
021919Abl_EO7,7,TE,I,12770,212.28,290.05,8.2895,2820.5,3.60E+07,38.863,4.96E+05,269.7,3.44E+06,1272.8,1.63E+07,217.75,2.78E+06,
021919Abl_EO7,8,TE,I,10929,331.45,330.48,9.2251,3273.7,3.58E+07,30.434,3.33E+05,222.6,2.43E+06,1227.3,1.34E+07,221.9,2.43E+06,
021919Abl_EO7,9,TE,I,6262,327.73,247.06,9.6883,3397.1,2.13E+07,48.821,3.06E+05,358.33,2.24E+06,1250.5,7.83E+06,322.64,2.02E+06,
021919Abl_EO7,10,TE,I,14504,149.4,296.81,10.187,2537.4,3.68E+07,74.47,1.08E+06,254.27,3.69E+06,1183.1,1.72E+07,230.35,3.34E+06,
021919Abl_EO7,11,TE,I,7853,161.94,243.49,11.823,2540.2,1.99E+07,39.471,3.10E+05,349.11,2.74E+06,1246.1,9.79E+06,252.03,1.98E+06,
021919Abl_EO7,12,TE,I,8920,245.22,250.29,11.717,2978.5,2.66E+07,35.982,3.21E+05,270.29,2.41E+06,1190.7,1.06E+07,233.77,2.09E+06,
021919Abl_EO7,13,ICM,I,7690,124.46,285.61,12.83,2973,2.29E+07,661.27,5.09E+06,292.81,2.25E+06,1283.4,9.87E+06,208.96,1.61E+06,
021919Abl_EO7,14,TE,I,8523,199.6,230.52,13.148,2895.6,2.47E+07,34.399,2.93E+05,229.97,1.96E+06,1201.9,1.02E+07,154.28,1.31E+06,
