Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
031919Abl_ET3,3,TE,I,8929,233.07,262.29,5.0526,2800.5,2.50E+07,34.179,3.05E+05,105.92,9.46E+05,1159,1.03E+07,666,5.95E+06
031919Abl_ET3,4,TE,I,9562,263.59,220.58,6.2723,2507.6,2.40E+07,32.484,3.11E+05,70.037,6.70E+05,1143.3,1.09E+07,718.36,6.87E+06
031919Abl_ET3,5,TE,I,7013,296.36,255.78,6.3037,3005.9,2.11E+07,37.859,2.66E+05,99.81,7.00E+05,1164.5,8.17E+06,728.2,5.11E+06
031919Abl_ET3,6,TE,I,8374,322.34,269.98,7.0102,2923.1,2.45E+07,37.718,3.16E+05,95.255,7.98E+05,1149,9.62E+06,681.13,5.70E+06
031919Abl_ET3,7,TE,I,17403,271.85,316.61,8.131,2831.6,4.93E+07,33.542,5.84E+05,74.803,1.30E+06,1161.6,2.02E+07,437.55,7.61E+06
031919Abl_ET3,9,TE,I,14906,181.25,284.45,9.3878,2760.3,4.11E+07,26.639,3.97E+05,52.683,7.85E+05,1131.5,1.69E+07,616.11,9.18E+06
031919Abl_ET3,11,TE,I,12040,267.68,170.36,11.729,2938.7,3.54E+07,39.419,4.75E+05,123.04,1.48E+06,1164.4,1.40E+07,724.61,8.72E+06
031919Abl_ET3,12,TE,I,8737,204.53,213.66,9.7187,2329.4,2.04E+07,30.388,2.66E+05,54.138,4.73E+05,1133.3,9.90E+06,613.71,5.36E+06
031919Abl_ET3,13,TE,I,12183,336.89,323.62,14.974,3107.5,3.79E+07,36.014,4.39E+05,56.922,6.93E+05,1101.5,1.34E+07,402.53,4.90E+06
031919Abl_ET3,14,TE,I,7469,224.41,339.8,14.324,3001.7,2.24E+07,29.698,2.22E+05,59.435,4.44E+05,1196.8,8.94E+06,554.26,4.14E+06
031919Abl_ET3,16,TE,I,6777,153.61,236.17,16.259,2825.4,1.91E+07,27.358,1.85E+05,56.978,3.86E+05,1129.7,7.66E+06,659.3,4.47E+06
031919Abl_ET3,17,TE,I,5773,255.29,350.65,17.426,3174.9,1.83E+07,30.246,1.75E+05,55.976,3.23E+05,1198.4,6.92E+06,494.22,2.85E+06
031919Abl_ET3,19,TE,I,7729,348.59,229.71,18.032,2366.5,1.83E+07,26.774,2.07E+05,51.715,4.00E+05,1125.4,8.70E+06,452.88,3.50E+06
031919Abl_ET3,20,TE,I,9459,167.81,331.28,20.286,2632.5,2.49E+07,31.498,2.98E+05,50.175,4.75E+05,1091,1.03E+07,287.51,2.72E+06
