Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
080117Abl_BA2,3,TE,I,6530,315.3,263.74,6.8182,2487,1.62E+07,44.153,2.88E+05,51.882,3.39E+05,833.18,5.44E+06,166.18,1.09E+06,
080117Abl_BA2,4,TE,I,13903,230.01,267.68,9.4094,2020.3,2.81E+07,36.731,5.11E+05,41.932,5.83E+05,842.33,1.17E+07,125.71,1.75E+06,
080117Abl_BA2,5,TE,I,16615,279.12,302.85,7.9136,1844.9,3.07E+07,34.274,5.69E+05,43.516,7.23E+05,892.65,1.48E+07,112.11,1.86E+06,
080117Abl_BA2,7,TE,I,11568,284.52,220.1,9.4636,2257.1,2.61E+07,33.265,3.85E+05,41.251,4.77E+05,826.6,9.56E+06,119.56,1.38E+06,
080117Abl_BA2,10,TE,I,9250,335.71,312.87,11.071,1590.4,1.47E+07,30.715,2.84E+05,38.867,3.60E+05,874.72,8.09E+06,100.18,9.27E+05,
080117Abl_BA2,11,TE,I,6363,360.78,270.74,12.637,2201,1.40E+07,37.51,2.39E+05,41.353,2.63E+05,833.54,5.30E+06,203.76,1.30E+06,
080117Abl_BA2,13,TE,I,8265,189.75,260.84,15.862,1493.9,1.23E+07,32.462,2.68E+05,43.85,3.62E+05,901.19,7.45E+06,440.19,3.64E+06,
080117Abl_BA2,14,TE,I,6971,224.7,208.18,15.76,1815.6,1.27E+07,29.739,2.07E+05,37.393,2.61E+05,847.73,5.91E+06,307.64,2.14E+06,
080117Abl_BA2,16,TE,I,6851,342.57,246.83,17.222,2407.5,1.65E+07,32.242,2.21E+05,40.59,2.78E+05,848.57,5.81E+06,298.65,2.05E+06,
080117Abl_BA2,17,TE,I,4772,181.83,212.43,18.167,1802.3,8.60E+06,30.86,1.47E+05,38.749,1.85E+05,887.24,4.23E+06,458.34,2.19E+06,
080117Abl_BA2,18,TE,I,8822,226.64,327.6,19.209,1239,1.09E+07,31.297,2.76E+05,34.996,3.09E+05,823.65,7.27E+06,84.169,7.43E+05,
080117Abl_BA2,19,TE,I,11351,334.35,199.92,20.105,2323.2,2.64E+07,31.833,3.61E+05,37.879,4.30E+05,887.07,1.01E+07,137.78,1.56E+06,
080117Abl_BA2,20,TE,I,6764,152.65,250.92,19.199,1954.7,1.32E+07,31.752,2.15E+05,47.501,3.21E+05,774.42,5.24E+06,690.54,4.67E+06,
080117Abl_BA2,21,TE,I,7670,383.58,267.13,21.811,1552.5,1.19E+07,32.286,2.48E+05,40.131,3.08E+05,864.27,6.63E+06,250.14,1.92E+06,
080117Abl_BA2,22,TE,I,5816,172.73,297.56,21.501,1623,9.44E+06,27.569,1.60E+05,29.885,1.74E+05,910.11,5.29E+06,83.324,4.85E+05,
