Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
012219Abl_EJ1,1,TE,I,8025,231.64,258.42,5.5816,2519.2,2.02E+07,26.368,2.12E+05,71.534,5.74E+05,1397.3,1.12E+07,628.23,5.04E+06,
012219Abl_EJ1,2,TE,I,16502,335.84,297.39,7.2774,2400.3,3.96E+07,27.884,4.60E+05,87.991,1.45E+06,1397.7,2.31E+07,640.09,1.06E+07,
012219Abl_EJ1,3,TE,I,13641,206.61,207.39,8.4176,2792,3.81E+07,28.278,3.86E+05,67.974,9.27E+05,1378.2,1.88E+07,879.3,1.20E+07,
012219Abl_EJ1,4,TE,I,16172,275.02,332.36,7.9989,2580.4,4.17E+07,26.703,4.32E+05,54.412,8.80E+05,1410.8,2.28E+07,467,7.55E+06,
012219Abl_EJ1,5,TE,I,11800,291.08,213.52,8.3967,1786.5,2.11E+07,26.08,3.08E+05,54.955,6.48E+05,1392.6,1.64E+07,196.87,2.32E+06,
012219Abl_EJ1,6,TE,I,10510,207.58,329.1,8.1147,2146.2,2.26E+07,24.39,2.56E+05,55.001,5.78E+05,1408.1,1.48E+07,678.11,7.13E+06,
012219Abl_EJ1,7,TE,I,8785,289.05,187.49,12.346,1877,1.65E+07,28.062,2.47E+05,58.349,5.13E+05,1377.9,1.21E+07,214.78,1.89E+06,
012219Abl_EJ1,8,TE,I,14528,375.36,204.94,15.621,2156.6,3.13E+07,28.238,4.10E+05,45.412,6.60E+05,1383.3,2.01E+07,299.58,4.35E+06,
012219Abl_EJ1,9,TE,I,12544,138.22,248.17,19.973,2217.7,2.78E+07,37.326,4.68E+05,38.091,4.78E+05,1338,1.68E+07,97.674,1.23E+06,
012219Abl_EJ1,10,TE,I,24895,415,306,20,2305,5.74E+07,24.711,6.15E+05,41.838,1.04E+06,1424.8,3.55E+07,278.77,6.94E+06,
012219Abl_EJ1,10.2,TE,I,24895,416,342,26,2305,5.74E+07,24.711,6.15E+05,41.838,1.04E+06,1424.8,3.55E+07,278.77,6.94E+06,
012219Abl_EJ1,11,TE,I,11312,135.06,318.05,22.448,2204.7,2.49E+07,22.613,2.56E+05,38.612,4.37E+05,1385,1.57E+07,358,4.05E+06,
012219Abl_EJ1,12,TE,I,14957,205.38,385.38,23.176,2770,4.14E+07,26.07,3.90E+05,51.408,7.69E+05,1379.9,2.06E+07,701.89,1.05E+07,
012219Abl_EJ1,13,TE,I,9675,230.62,144.27,22.724,1655.1,1.60E+07,22.208,2.15E+05,34.558,3.34E+05,1380.5,1.34E+07,155.17,1.50E+06,
012219Abl_EJ1,14,ICM,I,13061,315.68,128.22,26.24,2028.7,2.65E+07,27.375,3.58E+05,732.58,9.57E+06,1389.5,1.81E+07,627.97,8.20E+06,
012219Abl_EJ1,15,TE,I,9641,163.65,157.31,29.437,1717.1,1.66E+07,19.447,1.87E+05,28.601,2.76E+05,1321.4,1.27E+07,94.896,9.15E+05,
012219Abl_EJ1,16,TE,I,15266,332.9,412.41,31.481,2425.1,3.70E+07,22.51,3.44E+05,63.958,9.76E+05,1421.8,2.17E+07,553.31,8.45E+06,
012219Abl_EJ1,17,TE,I,6999,91.212,273.95,31.663,2890.1,2.02E+07,22.688,1.59E+05,37.66,2.64E+05,1381.2,9.67E+06,319.89,2.24E+06,
012219Abl_EJ1,18,TE,I,17363,456.69,233.85,35.482,1457.2,2.53E+07,24.751,4.30E+05,41.865,7.27E+05,1366.2,2.37E+07,435.78,7.57E+06,
012219Abl_EJ1,19,TE,I,7550,268.58,426.52,33.187,2489.5,1.88E+07,24.834,1.88E+05,42.983,3.25E+05,1322.3,9.98E+06,540.01,4.08E+06,
012219Abl_EJ1,20,TE,I,8239,417.3,152.75,36.587,1326.1,1.09E+07,24.498,2.02E+05,41.485,3.42E+05,1339.6,1.10E+07,234.34,1.93E+06,
012219Abl_EJ1,21,TE,I,8396,98.808,200.72,38.453,2284,1.92E+07,20.963,1.76E+05,31.546,2.65E+05,1204.2,1.01E+07,102.55,8.61E+05,
012219Abl_EJ1,22,TE,I,8679,134.29,377.78,37.471,2617.3,2.27E+07,22.965,1.99E+05,41.438,3.60E+05,1399.9,1.22E+07,581.89,5.05E+06,
012219Abl_EJ1,23,ICM,I,8413,75.999,245.92,40.564,1906.4,1.60E+07,25.033,2.11E+05,607.15,5.11E+06,1384,1.16E+07,113.65,9.56E+05,
012219Abl_EJ1,24,TE,I,9307,192.53,421.49,41.058,1758.2,1.64E+07,20.321,1.89E+05,33.62,3.13E+05,1388.4,1.29E+07,436.29,4.06E+06,
012219Abl_EJ1,25,TE,I,10492,272.49,84.439,46.871,2056.8,2.16E+07,21.043,2.21E+05,34.762,3.65E+05,1330.7,1.40E+07,202.85,2.13E+06,
012219Abl_EJ1,26,TE,I,10091,52.124,288.41,45.11,2391.3,2.41E+07,31.565,3.19E+05,137.1,1.38E+06,1301,1.31E+07,163.51,1.65E+06,
012219Abl_EJ1,26.2,ICM,I,10091,62,291,49,1675.246,,22.142,,381.612,,1163.645,,106.416,,
012219Abl_EJ1,27,TE,I,8496,199.57,101.37,46.893,1495.3,1.27E+07,19.686,1.67E+05,29.687,2.52E+05,1352,1.15E+07,129.09,1.10E+06,
012219Abl_EJ1,28,TE,I,14582,356.23,94.056,49.255,1326.7,1.93E+07,20.056,2.92E+05,35.975,5.25E+05,1358.2,1.98E+07,127.75,1.86E+06,
012219Abl_EJ1,29,TE,I,11134,78.334,336.92,49.985,1937.7,2.16E+07,22.249,2.48E+05,41.988,4.67E+05,1337.9,1.49E+07,336.26,3.74E+06,
012219Abl_EJ1,30,ICM,I,8693,60.791,221.07,50.836,1968.6,1.71E+07,21.396,1.86E+05,299.66,2.61E+06,1340.2,1.17E+07,96.586,8.40E+05,
012219Abl_EJ1,31,TE,I,7842,105.35,162.52,53.388,1811.9,1.42E+07,18.397,1.44E+05,25.445,2.00E+05,1316.6,1.03E+07,76.243,5.98E+05,
012219Abl_EJ1,32,TE,I,7300,148.51,121.71,54.813,1635.7,1.19E+07,18.735,1.37E+05,31.974,2.33E+05,1436.6,1.05E+07,475.85,3.47E+06,
012219Abl_EJ1,33,ICM,I,9066,84.801,240.87,56.715,1326.1,1.20E+07,127.77,1.16E+06,57.789,5.24E+05,1201.5,1.09E+07,527.24,4.78E+06,
012219Abl_EJ1,34,ICM,I,10714,79.162,288.06,56.65,1340.1,1.44E+07,119.47,1.28E+06,66.91,7.17E+05,1223.8,1.31E+07,493.63,5.29E+06,
012219Abl_EJ1,35,TE,I,11869,271.13,455.88,58.535,1910.6,2.27E+07,20.674,2.45E+05,36.729,4.36E+05,1404.8,1.67E+07,285.25,3.39E+06,
012219Abl_EJ1,36,TE,I,17180,216.67,84.22,63.17,1151.6,1.98E+07,17.866,3.07E+05,25.41,4.37E+05,1333.1,2.29E+07,110.84,1.90E+06,
012219Abl_EJ1,37,TE,I,8136,426.84,122.5,62.264,954.54,7.77E+06,20.451,1.66E+05,30.499,2.48E+05,1307.6,1.06E+07,186.99,1.52E+06,
012219Abl_EJ1,38,ICM,I,7700,46.245,229.71,62.683,1289.5,9.93E+06,23.868,1.84E+05,318.13,2.45E+06,1343.8,1.03E+07,88.415,6.81E+05,
012219Abl_EJ1,39,TE,I,11862,75.324,187.59,65.49,1489.7,1.77E+07,19.692,2.34E+05,33.769,4.01E+05,1220.9,1.45E+07,153.69,1.82E+06,
012219Abl_EJ1,40,TE,I,9955,35,272,65,1428.352,,15.173,,53.762,,1225.648,,139.548,,
012219Abl_EJ1,40.2,ICM,I,9955,57,270,61,1128.746,,19.224,,284.169,,1199.572,,82.506,,
012219Abl_EJ1,41,TE,I,7872,464.89,350.17,63.836,1975.7,1.56E+07,17.093,1.35E+05,24.689,1.94E+05,1342.7,1.06E+07,149.76,1.18E+06,
012219Abl_EJ1,42,TE,I,11656,247.21,454.08,69.063,1510,1.76E+07,20.303,2.37E+05,33.774,3.94E+05,1125.9,1.31E+07,259.5,3.02E+06,
012219Abl_EJ1,43,ICM,I,14627,98.418,275.82,66.711,859.15,1.26E+07,99.806,1.46E+06,35.158,5.14E+05,1255.6,1.84E+07,364.47,5.33E+06,
