Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072318Abl_DQ6,2,TE,I,13233,171.77,272.22,6.1151,3181.7,4.21E+07,95.534,1.26E+06,407.07,5.39E+06,558.39,7.39E+06,410.74,5.44E+06,
072318Abl_DQ6,3,ICM,I,10635,220.08,207.82,8.5261,2550.5,2.71E+07,80.785,8.59E+05,1594.3,1.70E+07,582.51,6.20E+06,1465.3,1.56E+07,
072318Abl_DQ6,4,TE,I,9563,286.13,258.84,7.8145,3193,3.05E+07,81.165,7.76E+05,411.32,3.93E+06,427.74,4.09E+06,368.32,3.52E+06,
072318Abl_DQ6,5,TE,I,10203,218.37,288.51,6.6427,2876.5,2.93E+07,137.62,1.40E+06,567.57,5.79E+06,539.2,5.50E+06,569,5.81E+06,
072318Abl_DQ6,6,TE,I,6365,309.85,217.65,10.467,2759.5,1.76E+07,66.619,4.24E+05,531.01,3.38E+06,579.88,3.69E+06,498.23,3.17E+06,
072318Abl_DQ6,7,TE,I,1171,288.88,228.19,8.8736,3120.2,3.65E+06,76.554,89645,294.57,3.45E+05,669.64,7.84E+05,566.22,6.63E+05,
072318Abl_DQ6,8,TE,I,7307,249.21,304.21,9.2313,3215.3,2.35E+07,87.821,6.42E+05,399.81,2.92E+06,490.17,3.58E+06,331.38,2.42E+06,
072318Abl_DQ6,9,TE,I,12841,272.34,205.87,12.824,2725,3.50E+07,55.998,7.19E+05,334.71,4.30E+06,547.51,7.03E+06,327.73,4.21E+06,
072318Abl_DQ6,10,TE,I,10300,154.35,205.51,13.879,3285.5,3.38E+07,75.802,7.81E+05,401.84,4.14E+06,511.96,5.27E+06,325.79,3.36E+06,
072318Abl_DQ6,11,ICM,I,6715,187.53,248.94,11.172,2908,1.95E+07,111.16,7.46E+05,1462.9,9.82E+06,573.82,3.85E+06,1828.6,1.23E+07,
072318Abl_DQ6,12,TE,I,6294,333.7,233.41,12.574,2776.9,1.75E+07,75.625,4.76E+05,348.82,2.20E+06,502.47,3.16E+06,292.99,1.84E+06,
072318Abl_DQ6,13,TE,I,2302,312.53,242.07,9.5873,3258.4,7.50E+06,83.75,1.93E+05,477.87,1.10E+06,508.16,1.17E+06,274.1,6.31E+05,
