Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
062317Abl_AO6,1,TE,I,6713,258.86,214.44,4.0724,2154.8,1.45E+07,61.085,4.10E+05,47.842,3.21E+05,592.22,3.98E+06,887.88,5.96E+06,
062317Abl_AO6,2,TE,I,6217,224.49,267.06,4.4267,2224.5,1.38E+07,57.886,3.60E+05,42.741,2.66E+05,623.71,3.88E+06,648.85,4.03E+06,
062317Abl_AO6,3,TE,I,6783,256.4,292.42,5.5645,2038.1,1.38E+07,62.95,4.27E+05,48.124,3.26E+05,637.55,4.32E+06,714.02,4.84E+06,
062317Abl_AO6,4,TE,I,10218,281.45,166.93,7.4545,2916.9,2.98E+07,60.99,6.23E+05,44.682,4.57E+05,631.71,6.45E+06,642.05,6.56E+06,
062317Abl_AO6,5,TE,I,5155,192.75,207.86,7.0821,2776.5,1.43E+07,52.873,2.73E+05,38.301,1.97E+05,585.29,3.02E+06,541.66,2.79E+06,
062317Abl_AO6,6,TE,I,10159,310.9,281.63,7.6982,2508.8,2.55E+07,66.615,6.77E+05,43.02,4.37E+05,571.14,5.80E+06,197.52,2.01E+06,
062317Abl_AO6,7,TE,M,7330,303.57,223.6,9.2435,2755.8,2.02E+07,52.152,3.82E+05,37.291,2.73E+05,641.23,4.70E+06,304.59,2.23E+06,
062317Abl_AO6,8,TE,I,9995,176.72,265.81,9.4706,2436.4,2.44E+07,54.061,5.40E+05,37.687,3.77E+05,597.88,5.98E+06,375.11,3.75E+06,
062317Abl_AO6,9,TE,I,5185,348.26,275.22,13.496,2072,1.07E+07,59.968,3.11E+05,36.701,1.90E+05,606.94,3.15E+06,202.14,1.05E+06,
062317Abl_AO6,10,TE,I,6289,280.28,318.1,12.782,1781.8,1.12E+07,54.214,3.41E+05,37.048,2.33E+05,629.8,3.96E+06,218.58,1.37E+06,
062317Abl_AO6,11,TE,I,4547,219.86,168.12,13.209,2967.2,1.35E+07,47.628,2.17E+05,34.335,1.56E+05,655.1,2.98E+06,496.85,2.26E+06,
062317Abl_AO6,12,TE,I,9198,150,224,13,2806.654,,49.006,,36.948,,624.083,,512.274,,
062317Abl_AO6,12.2,ICM,I,9198,149,239,19,1842.585,,62.146,,168.61,,613.667,,171.743,,
062317Abl_AO6,13,TE,I,5647,344.48,233.7,15.145,2082.3,1.18E+07,51.109,2.89E+05,35.516,2.01E+05,602.12,3.40E+06,173.62,9.80E+05,
