Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
062317Abl_AP5,15,ICM,I,6865,153.65,264.65,15.692,1446.7,9.93E+06,741.54,5.09E+06,34.501,2.37E+05,513.62,3.53E+06,589.53,4.05E+06,
062317Abl_AP5,17,ICM,I,6347,106.2,243.86,19.084,1381.1,8.77E+06,62.956,4.00E+05,269.19,1.71E+06,587.11,3.73E+06,83.594,5.31E+05,
062317Abl_AP5,23,ICM,I,25593,130,303,18,1519.133,,61.476,,187.702,,600.984,,86.236,,
062317Abl_AP5,23.2,ICM,I,25593,118,297,28,1371.984,,62.202,,191.887,,566.727,,78.404,,
062317Abl_AP5,23.3,ICM,I,25593,142,307,34,953.283,,553.578,,40.635,,563.894,,463.828,,
062317Abl_AP5,24,ICM,I,17932,147.76,221.58,24.948,914.7,1.64E+07,472.17,8.47E+06,28.921,5.19E+05,541.12,9.70E+06,442.13,7.93E+06,
062317Abl_AP5,24.2,ICM,I,18627,121,245,29,551.179,,335.452,,35.929,,574.801,,220.848,,
062317Abl_AP5,28,ICM,I,2685,97.55,271.47,24.565,1119.4,3.01E+06,43.683,1.17E+05,112.45,3.02E+05,537.4,1.44E+06,63.87,1.71E+05,
062317Abl_AP5,29,ICM,I,6286,164.4,311.36,25.259,1380.2,8.68E+06,691.57,4.35E+06,34.58,2.17E+05,651.72,4.10E+06,679.4,4.27E+06,
062317Abl_AP5,42,ICM,I,10758,90.214,302.09,37.826,814.85,8.77E+06,47.548,5.12E+05,122.69,1.32E+06,551.59,5.93E+06,65.3,7.02E+05,
062317Abl_AP5,43,ICM,I,4718,87.073,263.52,35.86,900.19,4.25E+06,39.258,1.85E+05,76.847,3.63E+05,677.91,3.20E+06,55.744,2.63E+05,
062317Abl_AP5,45,ICM,I,1219,95,208,40,661.079,,36.278,,71.99,,552.631,,49.318,,
062317Abl_AP5,47,ICM,I,13753,139.05,200.66,43.755,640.23,8.81E+06,330.74,4.55E+06,22.929,3.15E+05,535.33,7.36E+06,305.23,4.20E+06,
062317Abl_AP5,53,ICM,I,7735,115,282.68,45.164,574.58,4.44E+06,239.17,1.85E+06,31.04,2.40E+05,563.39,4.36E+06,231.56,1.79E+06,
062317Abl_AP5,56,ICM,I,7810,81.131,260.91,45.795,565.73,4.42E+06,30.09,2.35E+05,62.788,4.90E+05,664.48,5.19E+06,50.023,3.91E+05,
062317Abl_AP5,60,ICM,I,7907,131.78,306.87,46.927,590.18,4.67E+06,133.35,1.05E+06,26.176,2.07E+05,538.27,4.26E+06,277.37,2.19E+06,
062317Abl_AP5,67,ICM,I,3646,112.16,231.29,51.994,319.17,1.16E+06,166.67,6.08E+05,23.481,85611,515.91,1.88E+06,166.08,6.06E+05,
062317Abl_AP5,68,ICM,I,10864,132.84,264.94,56.514,267.05,2.90E+06,59.86,6.50E+05,18.757,2.04E+05,561.94,6.10E+06,120.01,1.30E+06,
062317Abl_AP5,1,TE,I,5660,341.81,261.2,6.509,2132.6,1.21E+07,52.359,2.96E+05,36.232,2.05E+05,557.01,3.15E+06,123.75,7.00E+05,
062317Abl_AP5,2,TE,I,10638,299.17,217.3,7.5382,2511.8,2.67E+07,50.085,5.33E+05,36.577,3.89E+05,551.43,5.87E+06,685.39,7.29E+06,
062317Abl_AP5,3,TE,I,8429,341.03,214.33,7.7351,2195.1,1.85E+07,39.048,3.29E+05,31.698,2.67E+05,542.53,4.57E+06,108.27,9.13E+05,
062317Abl_AP5,4,TE,I,18627,163,239,5,2050.452,,57.314,,34.862,,543.193,,128.811,,
062317Abl_AP5,4.2,TE,I,18627,160,210,9,3039.744,,210.476,,60.592,,542.291,,56.066,,
062317Abl_AP5,5,TE,I,9630,206.41,244.32,8.6265,1975.9,1.90E+07,32.934,3.17E+05,24.423,2.35E+05,616.88,5.94E+06,89.067,8.58E+05,
062317Abl_AP5,6,TE,I,9228,256.3,254.77,8.9114,2475.7,2.28E+07,33.515,3.09E+05,25.435,2.35E+05,566.21,5.23E+06,310.22,2.86E+06,
062317Abl_AP5,7,TE,I,7986,377.28,284.29,9.3983,1969.4,1.57E+07,43.171,3.45E+05,31.415,2.51E+05,574.93,4.59E+06,116.3,9.29E+05,
062317Abl_AP5,8,TE,I,10335,314.82,295.58,9.3743,2220.2,2.29E+07,34.807,3.60E+05,24.088,2.49E+05,573.49,5.93E+06,68.643,7.09E+05,
062317Abl_AP5,9,TE,I,10357,125.57,286.14,10.741,1709.5,1.77E+07,47.087,4.88E+05,44.208,4.58E+05,623.37,6.46E+06,91.577,9.48E+05,
062317Abl_AP5,10,TE,I,11494,186.38,310.13,10.555,1841.8,2.12E+07,39.376,4.53E+05,28.193,3.24E+05,580.93,6.68E+06,113.49,1.30E+06,
062317Abl_AP5,11,TE,I,9292,374.11,335.25,13.209,1594.4,1.48E+07,37.492,3.48E+05,28.529,2.65E+05,547.39,5.09E+06,109.08,1.01E+06,
062317Abl_AP5,12,TE,I,6059,370.99,229.76,14.613,1549.9,9.39E+06,37.678,2.28E+05,27.112,1.64E+05,584.56,3.54E+06,84.585,5.13E+05,
062317Abl_AP5,13,TE,I,8330,340.26,183.64,18.548,2011.8,1.68E+07,35.863,2.99E+05,25.571,2.13E+05,574.97,4.79E+06,78.067,6.50E+05,
062317Abl_AP5,14,TE,I,12266,121.52,194.13,19.984,1924.4,2.36E+07,44.749,5.49E+05,27.294,3.35E+05,640.36,7.85E+06,76.423,9.37E+05,
062317Abl_AP5,16,TE,I,7287,192.8,193.61,18.978,1728.3,1.26E+07,34.516,2.52E+05,23.927,1.74E+05,535.12,3.90E+06,89.415,6.52E+05,
