Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072517Abl_AW4,1,TE,I,13777,204.07,177.69,6.6271,2701.6,3.72E+07,43.859,6.04E+05,53.053,7.31E+05,509.98,7.03E+06,124.56,1.72E+06,
072517Abl_AW4,2,TE,I,11527,233.4,243.86,6.3019,2396,2.76E+07,47.195,5.44E+05,57.097,6.58E+05,500.93,5.77E+06,145.33,1.68E+06,
072517Abl_AW4,3,TE,I,19809,273.66,177.02,8.4864,2420.2,4.79E+07,43.398,8.60E+05,53.684,1.06E+06,479.8,9.50E+06,156.95,3.11E+06,
072517Abl_AW4,4,TE,I,10189,238.65,303.28,7.8318,2056.6,2.10E+07,39.238,4.00E+05,63.163,6.44E+05,465.69,4.74E+06,473.11,4.82E+06,
072517Abl_AW4,5,TE,I,8587,294.36,261.1,8.7657,2392.2,2.05E+07,37.277,3.20E+05,55.155,4.74E+05,522.88,4.49E+06,315.37,2.71E+06,
072517Abl_AW4,6,TE,I,28501,139,247,9,2924.444,,42.945,,49.419,,432.591,,163.521,,
072517Abl_AW4,6.2,TE,I,28501,132,276,13,2633.184,,48.038,,55.076,,426.486,,210.538,,
072517Abl_AW4,7,TE,I,15637,285.24,332.95,9.6711,2136.5,3.34E+07,36.714,5.74E+05,53.022,8.29E+05,482.59,7.55E+06,310.01,4.85E+06,
072517Abl_AW4,8,TE,I,20541,182.49,313.88,9.9455,1176,2.42E+07,30.621,6.29E+05,39.036,8.02E+05,496.81,1.02E+07,84.531,1.74E+06,
072517Abl_AW4,9,TE,I,8056,321.93,192.67,14.552,2888.3,2.33E+07,38.421,3.10E+05,51.007,4.11E+05,476.57,3.84E+06,140.21,1.13E+06,
072517Abl_AW4,10,TE,I,13568,251.18,123.21,16.462,2831.9,3.84E+07,37.198,5.05E+05,48.839,6.63E+05,467.85,6.35E+06,271.96,3.69E+06,
072517Abl_AW4,11,TE,I,9902,331.99,259.38,15.927,3030.8,3.00E+07,41.109,4.07E+05,53.727,5.32E+05,473.44,4.69E+06,276.37,2.74E+06,
072517Abl_AW4,12,TE,I,7445,224.44,354.64,14.602,2102.9,1.57E+07,37.558,2.80E+05,55.71,4.15E+05,508.94,3.79E+06,391.37,2.91E+06,
072517Abl_AW4,13,TE,I,13190,158.9,138.86,17.955,2786,3.67E+07,36.419,4.80E+05,47.37,6.25E+05,457.59,6.04E+06,209.96,2.77E+06,
072517Abl_AW4,14,TE,I,9121,354.99,298.81,18.251,3019.9,2.75E+07,38.083,3.47E+05,46.101,4.20E+05,482.44,4.40E+06,134.79,1.23E+06,
072517Abl_AW4,15,TE,I,10333,344.13,337.2,19.166,2580,2.67E+07,39.361,4.07E+05,51.268,5.30E+05,460.56,4.76E+06,169.27,1.75E+06,
072517Abl_AW4,16,TE,I,7778,361.91,221.04,19.618,2522.5,1.96E+07,39.829,3.10E+05,48.606,3.78E+05,415.6,3.23E+06,151.89,1.18E+06,
072517Abl_AW4,17,ICM,I,11568,136.36,174.87,24.261,2492.2,2.88E+07,821.38,9.50E+06,72.175,8.35E+05,464.02,5.37E+06,1032.5,1.19E+07,
072517Abl_AW4,18,TE,I,11489,304.48,387.48,25.035,2140.5,2.46E+07,36.442,4.19E+05,45.555,5.23E+05,473.49,5.44E+06,126.85,1.46E+06,
072517Abl_AW4,19,ICM,I,11138,114.88,217.7,26.942,1723.8,1.92E+07,187.12,2.08E+06,55.2,6.15E+05,466.28,5.19E+06,570.95,6.36E+06,
072517Abl_AW4,20,TE,I,22666,78.714,264.3,29.598,1884.2,4.27E+07,57.993,1.31E+06,67.526,1.53E+06,488.61,1.11E+07,142.95,3.24E+06,
072517Abl_AW4,21,TE,I,15512,170.22,376.26,28.75,1133.2,1.76E+07,28.742,4.46E+05,37.854,5.87E+05,479.9,7.44E+06,93.006,1.44E+06,
072517Abl_AW4,22,TE,I,11434,333.48,152.2,26.381,2644.4,3.02E+07,30.779,3.52E+05,39.635,4.53E+05,475.64,5.44E+06,89.699,1.03E+06,
072517Abl_AW4,23,TE,I,11931,260.65,404.46,29.451,1901.8,2.27E+07,35.404,4.22E+05,53.576,6.39E+05,462.92,5.52E+06,502.17,5.99E+06,
072517Abl_AW4,24,TE,I,6561,367.84,244.37,27.968,2608.7,1.71E+07,31.253,2.05E+05,34.022,2.23E+05,513.98,3.37E+06,75.664,4.96E+05,
072517Abl_AW4,25,TE,I,8506,377.93,294.32,27.874,2602.9,2.21E+07,33.538,2.85E+05,40.216,3.42E+05,428,3.64E+06,107.24,9.12E+05,
072517Abl_AW4,26,TE,I,8817,371.75,200.63,29.735,2446.9,2.16E+07,31.146,2.75E+05,40.388,3.56E+05,455.31,4.01E+06,109.32,9.64E+05,
072517Abl_AW4,27,ICM,I,11614,109,262.73,30.917,1531.3,1.78E+07,625.64,7.27E+06,65.705,7.63E+05,388.47,4.51E+06,1081.7,1.26E+07,
072517Abl_AW4,28,TE,I,12760,285.65,103.43,33.253,2429.2,3.10E+07,33.681,4.30E+05,41.051,5.24E+05,514.23,6.56E+06,141.11,1.80E+06,
072517Abl_AW4,29,ICM,I,11398,115.7,155.92,33.565,1895.1,2.16E+07,62.414,7.11E+05,433.07,4.94E+06,528.58,6.02E+06,124.44,1.42E+06,
072517Abl_AW4,30,TE,I,6411,217.35,409.51,32.834,1680.2,1.08E+07,34.496,2.21E+05,45.538,2.92E+05,486.44,3.12E+06,322.64,2.07E+06,
072517Abl_AW4,31,ICM,I,11051,119.07,323.78,35.629,1498.6,1.66E+07,677.58,7.49E+06,64.304,7.11E+05,465.9,5.15E+06,1020.8,1.13E+07,
072517Abl_AW4,32,TE,I,12736,109.23,351.58,36.394,1285.2,1.64E+07,34.859,4.44E+05,36.21,4.61E+05,465.97,5.93E+06,107.86,1.37E+06,
072517Abl_AW4,33,TE,I,12650,371.79,357.33,35.166,1832.2,2.32E+07,30.534,3.86E+05,39.547,5.00E+05,447.89,5.67E+06,116.24,1.47E+06,
072517Abl_AW4,34,TE,I,11318,346.69,114.38,36.349,2618.4,2.96E+07,33.451,3.79E+05,42.064,4.76E+05,541.91,6.13E+06,162.12,1.83E+06,
072517Abl_AW4,35,TE,I,7449,401.69,215.45,35.382,2344.9,1.75E+07,28.187,2.10E+05,35.882,2.67E+05,502,3.74E+06,88.41,6.59E+05,
072517Abl_AW4,36,TE,I,4996,407.67,246.56,34.309,2770.4,1.38E+07,33.368,1.67E+05,44.863,2.24E+05,510.43,2.55E+06,190.49,9.52E+05,
072517Abl_AW4,37,TE,I,7020,366.57,160,37.208,2063,1.45E+07,32.463,2.28E+05,46.552,3.27E+05,502.6,3.53E+06,453.79,3.19E+06,
072517Abl_AW4,38,TE,I,4968,397.25,275.85,36.211,2457.8,1.22E+07,30.544,1.52E+05,39.456,1.96E+05,452.34,2.25E+06,140.25,6.97E+05,
072517Abl_AW4,39,ICM,I,7242,73.348,212.11,38.441,1337.9,9.69E+06,38.415,2.78E+05,255.12,1.85E+06,488.75,3.54E+06,80.931,5.86E+05,
072517Abl_AW4,40,TE,I,14745,184.4,111.06,41.155,1340.8,1.98E+07,24.862,3.67E+05,32.07,4.73E+05,466.66,6.88E+06,62.527,9.22E+05,
072517Abl_AW4,41,TE,I,6498,397.44,313.47,38.208,1484.1,9.64E+06,27.205,1.77E+05,33.872,2.20E+05,528.63,3.44E+06,74.188,4.82E+05,
072517Abl_AW4,42,TE,I,11573,136.45,122.32,42.233,1408.3,1.63E+07,31.538,3.65E+05,53.326,6.17E+05,433.54,5.02E+06,174.44,2.02E+06,
072517Abl_AW4,43,TE,I,6052,86.027,163.83,42.072,1277.7,7.73E+06,29.594,1.79E+05,50.435,3.05E+05,474.38,2.87E+06,130.11,7.87E+05,
072517Abl_AW4,44,ICM,I,9430,83.845,236.51,39.674,1233.9,1.16E+07,43.184,4.07E+05,306.15,2.89E+06,516.85,4.87E+06,93.616,8.83E+05,
072517Abl_AW4,45,ICM,M,10801,98.44,284.19,44.709,1267.8,1.37E+07,247.08,2.67E+06,38.736,4.18E+05,495.11,5.35E+06,436.23,4.71E+06,
072517Abl_AW4,46,TE,I,10387,413.74,276.72,46.971,1566.7,1.63E+07,24.68,2.56E+05,33.735,3.50E+05,498.63,5.18E+06,88.023,9.14E+05,
072517Abl_AW4,48,TE,I,9399,409.56,221.46,46.338,1701.8,1.60E+07,29.507,2.77E+05,34.341,3.23E+05,481.2,4.52E+06,114.33,1.07E+06,
072517Abl_AW4,49,TE,I,8326,372.64,148.03,49.596,1250.1,1.04E+07,24.803,2.07E+05,33.318,2.77E+05,481.75,4.01E+06,183.68,1.53E+06,
072517Abl_AW4,50,ICM,I,3877,115.65,144.39,46.298,1224.2,4.75E+06,55.075,2.14E+05,336.7,1.31E+06,455.68,1.77E+06,79.279,3.07E+05,
072517Abl_AW4,51,ICM,I,14420,64.465,269.33,50.98,602.9,8.69E+06,31.474,4.54E+05,91.964,1.33E+06,385.82,5.56E+06,68.098,9.82E+05,
072517Abl_AW4,52,TE,I,10624,400.2,348.86,49.481,1200.7,1.28E+07,26.717,2.84E+05,32.28,3.43E+05,444.43,4.72E+06,76.787,8.16E+05,
072517Abl_AW4,53,TE,I,12645,162.78,384.32,50.326,904.81,1.14E+07,22.332,2.82E+05,30.827,3.90E+05,430.9,5.45E+06,81.982,1.04E+06,
072517Abl_AW4,54,ICM,I,13538,150.95,145.76,55.225,1005.5,1.36E+07,332.14,4.50E+06,82.842,1.12E+06,449.63,6.09E+06,616.13,8.34E+06,
