Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072518Abl_DR2,1,TE,I,22632,283.68,350.46,8.8213,2777,6.28E+07,33.707,7.63E+05,54.652,1.24E+06,412.66,9.34E+06,629.32,1.42E+07,
072518Abl_DR2,1.2,TE,I,22632,277,364,13,3339.393,,34.542,,59.043,,405.378,,812.949,,
072518Abl_DR2,2,TE,I,20803,180.58,268.49,6.7679,2553.2,5.31E+07,60.119,1.25E+06,68.894,1.43E+06,382.79,7.96E+06,494.83,1.03E+07,
072518Abl_DR2,3,TE,I,24246,351.32,218.27,9.2701,2837,6.88E+07,31.641,7.67E+05,48.639,1.18E+06,425.1,1.03E+07,397.06,9.63E+06,
072518Abl_DR2,3.2,TE,I,24246,354,205,13,3111.342,,30.584,,47.461,,419.633,,419.605,,
072518Abl_DR2,4,TE,I,13912,257.03,168.3,9.6662,2604.4,3.62E+07,32.429,4.51E+05,59.164,8.23E+05,421.42,5.86E+06,751.4,1.05E+07,
072518Abl_DR2,5,TE,I,17301,138.62,174.35,12.233,2258.8,3.91E+07,33.572,5.81E+05,75.02,1.30E+06,398.82,6.90E+06,284.63,4.92E+06,
072518Abl_DR2,6,ICM,I,8773,164.08,223.78,10.095,2474.9,2.17E+07,51.598,4.53E+05,186.08,1.63E+06,378.7,3.32E+06,128.94,1.13E+06,
072518Abl_DR2,7,ICM,I,13795,199.69,245.08,14.523,2584.9,3.57E+07,297.83,4.11E+06,90.553,1.25E+06,398.32,5.49E+06,1361.7,1.88E+07,
072518Abl_DR2,8,ICM,I,11359,148.36,262.28,15.31,2397.3,2.72E+07,40.818,4.64E+05,137.91,1.57E+06,386.19,4.39E+06,125.2,1.42E+06,
072518Abl_DR2,8.2,ICM,I,11359,352,206,13,3266.008,,31.722,,47.817,,419.61,,436.158,,
072518Abl_DR2,9,TE,I,16788,371.56,317.42,15.454,2459,4.13E+07,24.266,4.07E+05,33.109,5.56E+05,416.63,6.99E+06,237.92,3.99E+06,
072518Abl_DR2,10,ICM,I,12551,136.35,203.46,17.465,2231.4,2.80E+07,51.372,6.45E+05,258.2,3.24E+06,410.05,5.15E+06,112.49,1.41E+06,
072518Abl_DR2,11,TE,I,9039,201.45,362.74,17.473,2588.4,2.34E+07,29.218,2.64E+05,37.487,3.39E+05,402.09,3.63E+06,134.45,1.22E+06,
072518Abl_DR2,12,ICM,I,6796,172.34,284.96,17.642,2179.8,1.48E+07,42.952,2.92E+05,119.73,8.14E+05,408.74,2.78E+06,152.84,1.04E+06,
072518Abl_DR2,13,TE,I,7187,320.97,364.81,18.183,2169.9,1.56E+07,26.681,1.92E+05,33.28,2.39E+05,422.62,3.04E+06,94.663,6.80E+05,
072518Abl_DR2,14,ICM,I,9884,177.33,187.99,20.441,2160.3,2.14E+07,37.011,3.66E+05,108.6,1.07E+06,401.81,3.97E+06,118.01,1.17E+06,
072518Abl_DR2,15,ICM,I,9689,200.66,189.21,23.386,2080.5,2.02E+07,312.45,3.03E+06,56.416,5.47E+05,417.12,4.04E+06,950.94,9.21E+06,
072518Abl_DR2,16,ICM,I,638,181.62,230.94,17.146,2298.4,1.47E+06,44.113,28144,146.79,93650,402.89,2.57E+05,106.73,68092,
072518Abl_DR2,17,TE,I,9258,282.12,130.78,24.288,2652.2,2.46E+07,24.812,2.30E+05,38.056,3.52E+05,410.23,3.80E+06,496.18,4.59E+06,
072518Abl_DR2,18,TE,I,6911,334.72,163.76,22.793,2316.8,1.60E+07,24.522,1.69E+05,30.875,2.13E+05,424.4,2.93E+06,154.2,1.07E+06,
072518Abl_DR2,19,ICM,I,12269,148.8,245.2,23.7,1909.1,2.34E+07,39.304,4.82E+05,83.125,1.02E+06,408.13,5.01E+06,119.88,1.47E+06,
072518Abl_DR2,20,ICM,I,17902,119.04,303.88,32.4,1678.1,3.00E+07,37.925,6.79E+05,197.91,3.54E+06,405.88,7.27E+06,101.54,1.82E+06,
072518Abl_DR2,21,ICM,I,14686,170.48,309.98,27.519,1825.5,2.68E+07,126.16,1.85E+06,46.671,6.85E+05,402.21,5.91E+06,434.14,6.38E+06,
072518Abl_DR2,22,TE,I,6728,164.36,154.86,27.887,1737.6,1.17E+07,45.743,3.08E+05,301.9,2.03E+06,405.58,2.73E+06,120,8.07E+05,
072518Abl_DR2,23,ICM,I,4471,140.61,211.6,25.41,1754.4,7.84E+06,38.848,1.74E+05,144.28,6.45E+05,399.36,1.79E+06,87.522,3.91E+05,
072518Abl_DR2,24,TE,I,9972,148.39,358.61,28.925,2226.6,2.22E+07,43.456,4.33E+05,31.89,3.18E+05,365.06,3.64E+06,136.26,1.36E+06,
072518Abl_DR2,25,TE,I,6072,401.46,167.8,29.451,2444.4,1.48E+07,28.009,1.70E+05,33.906,2.06E+05,469.84,2.85E+06,94.47,5.74E+05,
