Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072518Abl_DS2,1,TE,I,18022,283.67,266.52,5.804,2549.2,4.59E+07,25.863,4.66E+05,41.152,7.42E+05,540.99,9.75E+06,599.76,1.08E+07,
072518Abl_DS2,2,TE,I,16748,215.02,277.23,6.8353,2775.4,4.65E+07,31.339,5.25E+05,43.465,7.28E+05,518.26,8.68E+06,209.86,3.51E+06,
072518Abl_DS2,3,TE,I,38333,135.93,260.33,7.5307,2517.2,9.65E+07,134.53,5.16E+06,100.03,3.83E+06,476.06,1.82E+07,413.32,1.58E+07,
072518Abl_DS2,5,TE,I,16029,287.26,159.34,8.2527,2738.8,4.39E+07,30.673,4.92E+05,47.814,7.66E+05,512.97,8.22E+06,448.65,7.19E+06,
072518Abl_DS2,6,TE,I,23853,220.94,193.31,9.5347,2102.7,5.02E+07,27.284,6.51E+05,48.705,1.16E+06,533.34,1.27E+07,662.9,1.58E+07,
072518Abl_DS2,7,TE,I,17389,340.98,219.25,7.8747,2441.7,4.25E+07,25.703,4.47E+05,42.097,7.32E+05,529.19,9.20E+06,481.35,8.37E+06,
072518Abl_DS2,8,TE,I,20502,172.89,190.27,11.09,2133.7,4.37E+07,29.027,5.95E+05,59.033,1.21E+06,490.81,1.01E+07,453.36,9.29E+06,
072518Abl_DS2,9,TE,I,10607,104.12,195.46,13.331,2334.9,2.48E+07,29.066,3.08E+05,95.669,1.01E+06,525.07,5.57E+06,577.62,6.13E+06,
072518Abl_DS2,10,TE,I,20169,201.29,321.91,12.873,2446.4,4.93E+07,27.429,5.53E+05,37.582,7.58E+05,522.42,1.05E+07,288.58,5.82E+06,
072518Abl_DS2,12,TE,I,14167,345.35,319.33,13.831,2624.9,3.72E+07,22.994,3.26E+05,38.394,5.44E+05,550.51,7.80E+06,383.23,5.43E+06,
072518Abl_DS2,14,ICM,I,9996,151.7,215.6,17.127,1954.3,1.95E+07,36.746,3.67E+05,434.64,4.34E+06,470.72,4.71E+06,84.393,8.44E+05,
072518Abl_DS2,15,TE,I,15184,274.6,367.75,18.73,2788,4.23E+07,24.15,3.67E+05,40.367,6.13E+05,543.23,8.25E+06,460.2,6.99E+06,
072518Abl_DS2,17,ICM,I,11265,154.22,254.61,19.252,1827.8,2.06E+07,179.08,2.02E+06,54.979,6.19E+05,488.62,5.50E+06,1181.3,1.33E+07,
072518Abl_DS2,18,TE,I,11001,190.9,349.53,22.31,3158.5,3.47E+07,27.301,3.00E+05,36.475,4.01E+05,523.88,5.76E+06,318.29,3.50E+06,
072518Abl_DS2,20,ICM,I,8609,125.21,281.81,18.496,2393.1,2.06E+07,40.244,3.46E+05,395.77,3.41E+06,502.06,4.32E+06,97.829,8.42E+05,
