Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
082819Abl_FI9,2,TE,I,10171,278.18,241.59,7.0887,2561.6,2.61E+07,521.57,5.30E+06,631.69,6.42E+06,1214.8,1.24E+07,625.98,6.37E+06,
082819Abl_FI9,3,TE,M,15688,237.26,303.3,9.9756,2564.7,4.02E+07,154.08,2.42E+06,92.182,1.45E+06,1210.6,1.90E+07,321.48,5.04E+06,
082819Abl_FI9,4,TE,I,19910,295.69,312.87,12.279,2191.4,4.36E+07,376.91,7.50E+06,205.06,4.08E+06,1265.8,2.52E+07,682.91,1.36E+07,
082819Abl_FI9,5,TE,I,9794,178.07,247.88,14.625,2549.1,2.50E+07,467.79,4.58E+06,474.89,4.65E+06,1208,1.18E+07,517.12,5.06E+06,
082819Abl_FI9,6,TE,I,22022,256.9,177.59,17.857,2292.4,5.05E+07,378.26,8.33E+06,578.05,1.27E+07,1170.2,2.58E+07,594.25,1.31E+07,
082819Abl_FI9,8,TE,I,10703,200.62,196.36,21.336,1881.5,2.01E+07,232.63,2.49E+06,938.07,1.00E+07,1161.7,1.24E+07,512.92,5.49E+06,
082819Abl_FI9,9,ICM,M,25368,227.08,239.85,20.972,1548.8,3.93E+07,53.275,1.35E+06,245.52,6.23E+06,1261.4,3.20E+07,287.15,7.28E+06,
082819Abl_FI9,10,TE,M,5090,371.1,254.08,19.831,2975.6,1.51E+07,167.17,8.51E+05,101.28,5.16E+05,1234.6,6.28E+06,289.84,1.48E+06,
082819Abl_FI9,12,ICM,I,20001,176.01,276.8,28.407,1803.4,3.61E+07,69.208,1.38E+06,663.15,1.33E+07,1225,2.45E+07,734.68,1.47E+07,
082819Abl_FI9,13,ICM,I,18616,212.96,321.12,29.402,1555,2.89E+07,50.902,9.48E+05,782.34,1.46E+07,1205.9,2.25E+07,465.02,8.66E+06,
082819Abl_FI9,14,TE,I,5800,377.3,326.69,28.117,2539.9,1.47E+07,453.59,2.63E+06,278.28,1.61E+06,1339.5,7.77E+06,524.72,3.04E+06,
082819Abl_FI9,15,TE,I,21515,248.27,363.65,31.562,1537.1,3.31E+07,286.01,6.15E+06,320.13,6.89E+06,1266.2,2.72E+07,467.45,1.01E+07,
082819Abl_FI9,16,TE,I,10269,134.83,247.37,32.618,2020.6,2.07E+07,314.78,3.23E+06,131.86,1.35E+06,1205.5,1.24E+07,540.07,5.55E+06,
082819Abl_FI9,18,TE,M,5140,400.09,231.95,31.701,2722,1.40E+07,125.86,6.47E+05,80.763,4.15E+05,1337.8,6.88E+06,227.5,1.17E+06,
082819Abl_FI9,19,TE,I,6837,303.54,374.28,35.933,2012.8,1.38E+07,325.43,2.23E+06,209.36,1.43E+06,1329.4,9.09E+06,399.92,2.73E+06,
082819Abl_FI9,20,TE,I,13758,298.4,137.52,37.867,2471.9,3.40E+07,159.96,2.20E+06,126.72,1.74E+06,1219.1,1.68E+07,232.41,3.20E+06,
082819Abl_FI9,21,ICM,M,12834,230.83,186.61,35.932,1630.2,2.09E+07,38.356,4.92E+05,122.28,1.57E+06,1298.6,1.67E+07,247.69,3.18E+06,
082819Abl_FI9,22,ICM,I,18054,210.89,242.33,37.9,1271.5,2.30E+07,38.943,7.03E+05,270.55,4.88E+06,1208,2.18E+07,390.15,7.04E+06,
082819Abl_FI9,23,TE,I,12515,181.35,163.52,37.767,1272.8,1.59E+07,151.5,1.90E+06,598.81,7.49E+06,1272,1.59E+07,315.47,3.95E+06,
082819Abl_FI9,24,ICM,I,15952,227.99,288.21,39.985,1066.9,1.70E+07,46.793,7.46E+05,286.91,4.58E+06,1181.4,1.88E+07,327.04,5.22E+06,
082819Abl_FI9,25,ICM,M,8598,161.4,227.57,42.592,1721.6,1.48E+07,28.08,2.41E+05,193.37,1.66E+06,1102.1,9.48E+06,290.84,2.50E+06,
082819Abl_FI9,26,TE,I,11733,189.33,346.62,43.787,980.07,1.15E+07,160.35,1.88E+06,85.139,9.99E+05,1230.4,1.44E+07,301.9,3.54E+06,
082819Abl_FI9,27,ICM,I,15570,181.96,289.58,45.365,1050.6,1.64E+07,30.373,4.73E+05,452.04,7.04E+06,1124.9,1.75E+07,370.55,5.77E+06,
082819Abl_FI9,28,TE,I,14592,142.71,309.53,47.567,982.86,1.43E+07,142.25,2.08E+06,698.87,1.02E+07,1261,1.84E+07,276.42,4.03E+06,
082819Abl_FI9,29,ICM,I,5465,203.62,181.7,46.195,1131.6,6.18E+06,31.752,1.74E+05,452.21,2.47E+06,1052.5,5.75E+06,468.69,2.56E+06,
082819Abl_FI9,30,ICM,I,7563,214.56,255.45,49.002,948.37,7.17E+06,23.768,1.80E+05,460.54,3.48E+06,1149.4,8.69E+06,432.56,3.27E+06,
082819Abl_FI9,31,TE,I,19097,231.94,359.67,53.781,896.06,1.71E+07,149.91,2.86E+06,103.21,1.97E+06,1140.3,2.18E+07,205.74,3.93E+06,
082819Abl_FI9,32,TE,I,13135,146.26,197.56,54.544,815.76,1.07E+07,96.849,1.27E+06,523.36,6.87E+06,1256,1.65E+07,248.49,3.26E+06,
082819Abl_FI9,33,TE,M,12246,203.32,156.98,57.187,1212.9,1.49E+07,58.488,7.16E+05,132.22,1.62E+06,1146.5,1.40E+07,168.84,2.07E+06,
082819Abl_FI9,34,ICM,I,9687,200.59,335.06,59.111,637.05,6.17E+06,34.711,3.36E+05,168.95,1.64E+06,1053.5,1.02E+07,364.51,3.53E+06,
082819Abl_FI9,35,ICM,I,7915,167.66,262.12,59.175,561.87,4.45E+06,23.37,1.85E+05,174.21,1.38E+06,1269.9,1.01E+07,332.24,2.63E+06,
082819Abl_FI9,36,ICM,I,19695,217.55,261,60.329,573.14,1.13E+07,20.373,4.01E+05,417.7,8.23E+06,1122.3,2.21E+07,191.15,3.76E+06,
082819Abl_FI9,37,ICM,I,21295,234.91,200.5,62.086,477.59,1.02E+07,26.638,5.67E+05,140.18,2.99E+06,1139,2.43E+07,177.85,3.79E+06,
