Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
062817Abl_AS8,1,TE,I,8121,179.19,241.63,4.4555,2434.1,1.98E+07,667.3,5.42E+06,35.163,2.86E+05,528.82,4.29E+06,264.79,2.15E+06,
062817Abl_AS8,2,TE,I,11270,235,270.24,5.0731,1648.1,1.86E+07,443.03,4.99E+06,33.934,3.82E+05,535.39,6.03E+06,347.86,3.92E+06,
062817Abl_AS8,3,TE,I,10502,314.84,209.57,5.1758,1875.5,1.97E+07,473.91,4.98E+06,30.398,3.19E+05,526.7,5.53E+06,238.93,2.51E+06,
062817Abl_AS8,4,TE,I,8254,302.59,294.44,5.6433,1863.9,1.54E+07,414.58,3.42E+06,27.622,2.28E+05,538.39,4.44E+06,204.94,1.69E+06,
062817Abl_AS8,5,TE,I,10491,276.31,178.15,7.5251,1800.6,1.89E+07,348.21,3.65E+06,37.983,3.98E+05,525.63,5.51E+06,386.87,4.06E+06,
062817Abl_AS8,6,ICM,I,13084,137.94,265.87,9.8175,2272.3,2.97E+07,26.221,3.43E+05,355.41,4.65E+06,508.31,6.65E+06,97.767,1.28E+06,
062817Abl_AS8,7,ICM,I,6194,169.2,284.79,9.0153,2175.5,1.35E+07,23.204,1.44E+05,101.18,6.27E+05,475.76,2.95E+06,1376.1,8.52E+06,
062817Abl_AS8,8,TE,I,8334,134.65,318.87,12.194,1950.5,1.63E+07,372.15,3.10E+06,40.828,3.40E+05,559.87,4.67E+06,423.3,3.53E+06,
062817Abl_AS8,9,TE,I,9924,201.64,184.87,11.381,1903.5,1.89E+07,474.18,4.71E+06,26.981,2.68E+05,528.93,5.25E+06,211.04,2.09E+06,
062817Abl_AS8,10,ICM,I,5484,191.74,221.37,13.722,2268.7,1.24E+07,40.097,2.20E+05,44.573,2.44E+05,510.13,2.80E+06,1447.3,7.94E+06,
062817Abl_AS8,11,ICM,I,9886,106.92,271.82,18.244,2257.526,,21.741,,362.859,,520.237,,88.791,,
062817Abl_AS8,12,ICM,I,14374,150.55,208.95,17.833,1977.5,2.84E+07,26.14,3.76E+05,351.18,5.05E+06,549.59,7.90E+06,96.667,1.39E+06,
062817Abl_AS8,13,TE,I,10779,365.6,268.66,17.224,1307.4,1.41E+07,295.01,3.18E+06,27.334,2.95E+05,526.25,5.67E+06,223.05,2.40E+06,
062817Abl_AS8,14,ICM,M,3745,187.65,279.12,16.8,2602.6,9.75E+06,19.287,72230,32.332,1.21E+05,520.64,1.95E+06,666.94,2.50E+06,
062817Abl_AS8,15,ICM,I,5925,169.2,315.35,16.453,1669.8,9.89E+06,23.42,1.39E+05,278.24,1.65E+06,490.9,2.91E+06,106.24,6.29E+05,
062817Abl_AS8,16,TE,I,9452,231.34,355.33,16.897,1249.1,1.18E+07,397.7,3.76E+06,30.875,2.92E+05,536.89,5.07E+06,471.32,4.46E+06,
062817Abl_AS8,17,ICM,I,10393,162.78,255.69,18.751,1965.7,2.04E+07,21.553,2.24E+05,262.74,2.73E+06,526.38,5.47E+06,141.48,1.47E+06,
062817Abl_AS8,18,ICM,M,3920,212.82,254.19,18.854,2041.7,8.00E+06,18.719,73380,26.431,1.04E+05,545.52,2.14E+06,505.13,1.98E+06,
062817Abl_AS8,19,TE,I,8078,148.69,174.28,21.323,2018.5,1.63E+07,422.75,3.42E+06,29.781,2.41E+05,553.18,4.47E+06,223.87,1.81E+06,
062817Abl_AS8,20,ICM,I,5699,199.16,314.22,22.021,1503.3,8.57E+06,18.681,1.06E+05,33.523,1.91E+05,550.57,3.14E+06,836.09,4.76E+06,
062817Abl_AS8,21,ICM,I,11950,186.6,345.07,24.452,1565.1,1.87E+07,20.574,2.46E+05,32.691,3.91E+05,509.16,6.08E+06,1039.1,1.24E+07,
062817Abl_AS8,22,ICM,M,8786,122.77,308.39,24.612,2151.9,1.89E+07,22.351,1.96E+05,58.775,5.16E+05,488.66,4.29E+06,51.721,4.54E+05,
062817Abl_AS8,23,ICM,I,3580,114.15,243.85,22.953,1567.6,5.61E+06,19.292,69066,319.27,1.14E+06,536.87,1.92E+06,65.587,2.35E+05,
062817Abl_AS8,24,TE,I,5613,83.959,290.11,25.401,1929.2,1.08E+07,413.69,2.32E+06,29.968,1.68E+05,594.48,3.34E+06,201.61,1.13E+06,
062817Abl_AS8,25,TE,I,10729,300.75,365.5,25.936,891.42,9.56E+06,238.23,2.56E+06,21.934,2.35E+05,531.04,5.70E+06,227.34,2.44E+06,
062817Abl_AS8,26,ICM,I,6548,173.44,179.45,26.819,1629.1,1.07E+07,28.531,1.87E+05,39.238,2.57E+05,523.73,3.43E+06,1077.2,7.05E+06,
062817Abl_AS8,27,ICM,I,10295,99,218.92,28.428,2078.1,2.14E+07,19.389,2.00E+05,41.881,4.31E+05,499.62,5.14E+06,839.65,8.64E+06,
062817Abl_AS8,28,TE,I,6993,363.93,333.49,26.962,1314,9.19E+06,307.51,2.15E+06,24.126,1.69E+05,498.35,3.49E+06,242.82,1.70E+06,
062817Abl_AS8,29,TE,I,8895,253.48,116.09,28.764,1766.4,1.57E+07,344.47,3.06E+06,26.128,2.32E+05,548.35,4.88E+06,273.08,2.43E+06,
062817Abl_AS8,30,ICM,I,11464,155.63,217.94,28.24,1620.6,1.86E+07,18.897,2.17E+05,203.86,2.34E+06,535.7,6.14E+06,103.84,1.19E+06,
062817Abl_AS8,31,ICM,I,13326,138.56,342.37,29.425,1196,1.59E+07,21.027,2.80E+05,250.99,3.34E+06,541.11,7.21E+06,63.415,8.45E+05,
062817Abl_AS8,32,ICM,I,5518,191.67,294.42,28.713,1274.8,7.03E+06,18.567,1.02E+05,29.313,1.62E+05,521.04,2.88E+06,716.56,3.95E+06,
062817Abl_AS8,33,TE,I,6217,332.32,135.02,30.523,1825.2,1.13E+07,252.4,1.57E+06,26.74,1.66E+05,488.32,3.04E+06,279.67,1.74E+06,
062817Abl_AS8,34,TE,I,7501,187.19,383.57,31.853,1369.1,1.03E+07,353.74,2.65E+06,25.389,1.90E+05,561.36,4.21E+06,218.96,1.64E+06,
062817Abl_AS8,35,ICM,I,1235,138.22,260.06,27.832,1151.8,1.42E+06,17.24,21291,76.971,95059,446.05,5.51E+05,798.05,9.86E+05,
062817Abl_AS8,36,TE,I,8247,368.96,160.36,33.633,1348.6,1.11E+07,253.7,2.09E+06,25.5,2.10E+05,546.7,4.51E+06,190.45,1.57E+06,
062817Abl_AS8,37,TE,I,9962,401.36,221.57,34.615,1087.7,1.08E+07,194.39,1.94E+06,73.038,7.28E+05,552.85,5.51E+06,215.54,2.15E+06,
062817Abl_AS8,38,TE,I,6751,70.39,243.68,34.175,1473.4,9.95E+06,264.92,1.79E+06,26.637,1.80E+05,534.46,3.61E+06,122.7,8.28E+05,
062817Abl_AS8,39,ICM,I,4653,174.76,232.9,34.205,1018.8,4.74E+06,16.494,76745,40.798,1.90E+05,489.13,2.28E+06,629.42,2.93E+06,
062817Abl_AS8,40,TE,I,9187,347.75,379.22,37.689,841.14,7.73E+06,213.48,1.96E+06,28.859,2.65E+05,542.76,4.99E+06,215.71,1.98E+06,
062817Abl_AS8,41,TE,I,8151,136.34,168.34,36.819,1251,1.02E+07,34.059,2.78E+05,36.958,3.01E+05,478.93,3.90E+06,46.088,3.76E+05,
062817Abl_AS8,42,ICM,I,3502,93.866,248.82,33.744,1203.1,4.21E+06,18.01,63072,138.06,4.84E+05,565.2,1.98E+06,64.607,2.26E+05,
062817Abl_AS8,43,ICM,I,5123,109.49,204.12,36.442,1382,7.08E+06,17.276,88503,137.92,7.07E+05,532.93,2.73E+06,87.673,4.49E+05,
062817Abl_AS8,44,ICM,I,7559,130.38,248.01,37.656,790.98,5.98E+06,15.863,1.20E+05,218.41,1.65E+06,433.78,3.28E+06,130.46,9.86E+05,
062817Abl_AS8,45,ICM,M,7880,99.864,280.78,40.823,1043.1,8.22E+06,18.627,1.47E+05,24.816,1.96E+05,499.15,3.93E+06,289.34,2.28E+06,
062817Abl_AS8,46,ICM,M,7998,151.07,297.97,37.878,973.46,7.79E+06,15.443,1.24E+05,24.218,1.94E+05,496.56,3.97E+06,238.23,1.91E+06,
062817Abl_AS8,47,TE,I,16752,411.23,302.23,44.093,932.05,1.56E+07,189.76,3.18E+06,21.783,3.65E+05,545.09,9.13E+06,108.75,1.82E+06,
062817Abl_AS8,48,TE,I,6261,106.65,336.34,41.043,1020.4,6.39E+06,190.75,1.19E+06,30.46,1.91E+05,452.07,2.83E+06,107.75,6.75E+05,
062817Abl_AS8,49,TE,I,6517,147.1,365.18,43.488,931.46,6.07E+06,183.05,1.19E+06,27.565,1.80E+05,512.15,3.34E+06,106.8,6.96E+05,
062817Abl_AS8,50,TE,I,6376,198.95,125.34,42.932,1523.1,9.71E+06,242.63,1.55E+06,22.663,1.45E+05,546.57,3.48E+06,212.82,1.36E+06,
062817Abl_AS8,51,TE,I,6805,158.89,153.74,44.392,1016.6,6.92E+06,206.39,1.40E+06,20.715,1.41E+05,541.41,3.68E+06,111.53,7.59E+05,
062817Abl_AS8,52,ICM,I,12530,149.08,254.35,46.255,613.06,7.68E+06,14.646,1.84E+05,42.497,5.32E+05,502.04,6.29E+06,443.42,5.56E+06,
062817Abl_AS8,53,ICM,I,4811,168.65,334.71,44.271,602.73,2.90E+06,15.143,72855,24.37,1.17E+05,506.55,2.44E+06,360.15,1.73E+06,
062817Abl_AS8,54,ICM,I,13376,127.54,321.38,46.651,739.56,9.89E+06,18.233,2.44E+05,140.9,1.88E+06,515.12,6.89E+06,63.073,8.44E+05,
