Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
013118Abl_CM6,1,TE,I,6934,264.12,262.12,6.0597,3199.5,2.22E+07,92.769,6.43E+05,242.92,1.68E+06,592.86,4.11E+06,1186.5,8.23E+06,
013118Abl_CM6,2,TE,I,6503,275.68,221.45,8.7344,3242.2,2.11E+07,68.399,4.45E+05,188.57,1.23E+06,583.86,3.80E+06,1009.6,6.57E+06,
013118Abl_CM6,3,TE,I,7738,229.9,235.79,7.2596,3043.8,2.36E+07,141.38,1.09E+06,188.72,1.46E+06,554.67,4.29E+06,1017.2,7.87E+06,
013118Abl_CM6,4,TE,I,17906,212.45,275.2,8.0176,2960.5,5.30E+07,116.25,2.08E+06,248.46,4.45E+06,614.72,1.10E+07,1157.5,2.07E+07,
013118Abl_CM6,5,TE,I,15990,273.65,296.36,8.0964,2939.4,4.70E+07,75.46,1.21E+06,231.95,3.71E+06,571.44,9.14E+06,910.12,1.46E+07,
013118Abl_CM6,6,TE,I,8545,229.09,320.66,9.6817,2485.6,2.12E+07,159.95,1.37E+06,201.8,1.72E+06,576.73,4.93E+06,1098.7,9.39E+06,
013118Abl_CM6,7,ICM,I,14843,238.3,198.15,13.003,3164.7,4.70E+07,233.73,3.47E+06,210.05,3.12E+06,631.52,9.37E+06,827.05,1.23E+07,
013118Abl_CM6,8,TE,I,8535,178.2,239.87,12.914,2931.3,2.50E+07,154.08,1.32E+06,222,1.89E+06,621.55,5.30E+06,1145.6,9.78E+06,
013118Abl_CM6,9,TE,M,4395,293.09,247.37,15.341,3245.7,1.43E+07,79.791,3.51E+05,126.43,5.56E+05,647.18,2.84E+06,391.74,1.72E+06,
013118Abl_CM6,10,ICM,I,7376,259.86,327.65,16.636,2451.1,1.81E+07,453.54,3.35E+06,254.19,1.87E+06,646.75,4.77E+06,842.64,6.22E+06,
013118Abl_CM6,11,TE,M,11817,309.08,212.7,18.26,2817.7,3.33E+07,64.05,7.57E+05,155.35,1.84E+06,584.31,6.90E+06,318.23,3.76E+06,
013118Abl_CM6,12,TE,I,14403,187.95,191.04,20.287,3434.4,4.95E+07,48.903,7.04E+05,166.2,2.39E+06,612.83,8.83E+06,393.96,5.67E+06,
013118Abl_CM6,13,ICM,I,10091,180.41,274.9,19.204,2763.7,2.79E+07,86.472,8.73E+05,609.5,6.15E+06,563.21,5.68E+06,2035.4,2.05E+07,
013118Abl_CM6,14,TE,I,14634,344.77,279.13,20.834,2919.4,4.27E+07,146.01,2.14E+06,194.45,2.85E+06,636.57,9.32E+06,652.64,9.55E+06,
013118Abl_CM6,15,TE,M,4294,296.29,296,18.228,3227.4,1.39E+07,75.758,3.25E+05,128.63,5.52E+05,619.01,2.66E+06,395.63,1.70E+06,
013118Abl_CM6,16,ICM,I,10292,225.87,289.23,18.835,2070.2,2.13E+07,166.32,1.71E+06,244.5,2.52E+06,593.78,6.11E+06,1636.7,1.68E+07,
013118Abl_CM6,18,ICM,I,19911,192,246,23,2749.868,,483.999,,235.444,,591.448,,1726.042,,
013118Abl_CM6,18.2,ICM,I,19911,198,233,31,2333.408,,477.474,,165.223,,609.996,,856.901,,
013118Abl_CM6,19,TE,I,7330,280.69,172.86,23.909,2627.1,1.93E+07,279.45,2.05E+06,172.68,1.27E+06,657.54,4.82E+06,645.61,4.73E+06,
013118Abl_CM6,20,TE,M,4207,326.26,302.35,23.247,3187.3,1.34E+07,56.159,2.36E+05,132.06,5.56E+05,587.39,2.47E+06,427.02,1.80E+06,
013118Abl_CM6,21,ICM,I,10077,193.68,315.86,24.34,2542.1,2.56E+07,471.29,4.75E+06,163.66,1.65E+06,587.48,5.92E+06,622.25,6.27E+06,
013118Abl_CM6,22,TE,I,5516,285.51,317.89,24.054,2292.2,1.26E+07,241.51,1.33E+06,162.95,8.99E+05,550.84,3.04E+06,600.37,3.31E+06,
013118Abl_CM6,23,TE,I,14668,186.78,341.4,28.111,2380.5,3.49E+07,67.05,9.83E+05,158.89,2.33E+06,641.84,9.41E+06,865.5,1.27E+07,
013118Abl_CM6,24,TE,I,5823,231.93,353.07,24.974,2340.7,1.36E+07,109.27,6.36E+05,163.49,9.52E+05,641.14,3.73E+06,925.56,5.39E+06,
013118Abl_CM6,25,TE,I,14098,272.38,353.83,29.197,2254.3,3.18E+07,121.25,1.71E+06,160.33,2.26E+06,595.68,8.40E+06,761.32,1.07E+07,
013118Abl_CM6,26,ICM,I,12808,166.55,212.09,30.552,2543.2,3.26E+07,426.52,5.46E+06,201.21,2.58E+06,651.86,8.35E+06,1429.5,1.83E+07,
013118Abl_CM6,27,TE,I,12970,144.2,268.24,31.352,2420.6,3.14E+07,39.758,5.16E+05,131.98,1.71E+06,626.31,8.12E+06,558.15,7.24E+06,
013118Abl_CM6,28,TE,I,14085,358.8,312.19,31.824,2548,3.59E+07,222.18,3.13E+06,170.77,2.41E+06,620.5,8.74E+06,665.89,9.38E+06,
013118Abl_CM6,29,ICM,I,9330,212.98,191.38,30.949,2711.2,2.53E+07,102.32,9.55E+05,205.57,1.92E+06,640.74,5.98E+06,1375,1.28E+07,
013118Abl_CM6,30,ICM,I,11658,207.2,290.32,29.956,1653.4,1.93E+07,413.12,4.82E+06,167.29,1.95E+06,553.45,6.45E+06,400.65,4.67E+06,
013118Abl_CM6,31,TE,I,14304,243.82,159.35,33.316,2376.7,3.40E+07,86.312,1.23E+06,155.39,2.22E+06,634.1,9.07E+06,631.53,9.03E+06,
013118Abl_CM6,32,TE,I,8251,319.18,182.7,31.407,1939.9,1.60E+07,117.86,9.72E+05,170.61,1.41E+06,609.58,5.03E+06,654.46,5.40E+06,
013118Abl_CM6,33,TE,I,5219,201.63,161.87,32.53,3120.7,1.63E+07,37.821,1.97E+05,194.14,1.01E+06,634.87,3.31E+06,369.46,1.93E+06,
013118Abl_CM6,34,TE,I,10280,359.85,248.9,35.554,2488.8,2.56E+07,64.262,6.61E+05,202.61,2.08E+06,626.26,6.44E+06,604.76,6.22E+06,
013118Abl_CM6,35,TE,M,5939,308.44,327.7,34.56,2058.7,1.22E+07,50.488,3.00E+05,128.04,7.60E+05,675.17,4.01E+06,318.63,1.89E+06,
013118Abl_CM6,36,TE,I,7411,332.72,222.39,36.069,1609.4,1.19E+07,81.682,6.05E+05,202.21,1.50E+06,622.74,4.62E+06,500.77,3.71E+06,
013118Abl_CM6,37,TE,I,7089,286.65,169.39,35.392,2114.2,1.50E+07,196.15,1.39E+06,164.73,1.17E+06,588.31,4.17E+06,486.24,3.45E+06,
013118Abl_CM6,38,ICM,I,9472,223.29,211.9,37.857,1581.1,1.50E+07,490.01,4.64E+06,152.53,1.44E+06,579.49,5.49E+06,869.73,8.24E+06,
013118Abl_CM6,39,ICM,I,11677,215.23,266.01,39.585,1220.2,1.42E+07,112.4,1.31E+06,327.41,3.82E+06,577.64,6.75E+06,995.38,1.16E+07,
013118Abl_CM6,40,ICM,I,12152,165.02,310.84,41.228,1758.3,2.14E+07,204.21,2.48E+06,160.93,1.96E+06,614.67,7.47E+06,775.49,9.42E+06,
