Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
040317Abl_Q5,4,TE,I,5356,157.56,270.33,6.6488,2761.4,1.48E+07,83.812,4.49E+05,29.693,1.59E+05,804.9,4.31E+06,45.02,2.41E+05,
040317Abl_Q5,17,TE,I,5718,151.55,124.07,23.961,2518.4,1.44E+07,69.355,3.97E+05,28.679,1.64E+05,788.26,4.51E+06,224.53,1.28E+06,
040317Abl_Q5,27,TE,I,6025,101.08,240.59,33.465,1519.3,9.15E+06,52.744,3.18E+05,22.78,1.37E+05,806.75,4.86E+06,34.253,2.06E+05,
040317Abl_Q5,34,TE,I,6160,401.89,371.84,43.057,1696.1,1.04E+07,47.098,2.90E+05,21.44,1.32E+05,790.22,4.87E+06,29.56,1.82E+05,
040317Abl_Q5,29,TE,I,6272,322.29,142.61,36.585,2042.5,1.28E+07,51.771,3.25E+05,23.258,1.46E+05,891.47,5.59E+06,34.324,2.15E+05,
040317Abl_Q5,13,TE,I,6701,199.09,124.94,19.449,2278,1.53E+07,65.905,4.42E+05,28.315,1.90E+05,786.82,5.27E+06,141.86,9.51E+05,
040317Abl_Q5,41,TE,I,6840,381.7,165.23,51.052,1424.4,9.74E+06,45.382,3.10E+05,20.926,1.43E+05,767.91,5.25E+06,27.46,1.88E+05,
040317Abl_Q5,7,TE,I,7258,260.02,152.9,10.844,2545.1,1.85E+07,90.903,6.60E+05,33.924,2.46E+05,795.68,5.78E+06,221.07,1.60E+06,
040317Abl_Q5,2,TE,I,7371,189.8,199.48,5.5079,2518,1.86E+07,84.042,6.19E+05,35.118,2.59E+05,822.89,6.07E+06,319.43,2.35E+06,
040317Abl_Q5,38,TE,I,7404,325.84,132.24,47.054,1540.6,1.14E+07,39.378,2.92E+05,20.338,1.51E+05,924.22,6.84E+06,28.466,2.11E+05,
040317Abl_Q5,32,TE,I,7520,68.264,219.3,41.961,1315.9,9.90E+06,51.354,3.86E+05,33.35,2.51E+05,850.84,6.40E+06,32.301,2.43E+05,
040317Abl_Q5,43,TE,I,8051,110.87,269.76,51.624,642.6,5.17E+06,35.588,2.87E+05,19.402,1.56E+05,820.54,6.61E+06,25.107,2.02E+05,
