Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
050819Abl_EX5,3,TE,I,24142,296.76,207.71,7.6364,2105.3,5.08E+07,41.251,9.96E+05,248.7,6.00E+06,1174.4,2.84E+07,477.99,1.15E+07,
050819Abl_EX5,4,TE,I,29298,190,291,13,3203.556,,52.226,,1913.828,,1258.937,,2804.53,,
050819Abl_EX5,4.2,ICM,I,29298,198,276,5,3197.902,,44.686,,205.666,,1258917,,556.96,,
050819Abl_EX5,6,ICM,I,8771,188.55,226.28,14.064,2976.8,2.61E+07,52.639,4.62E+05,1625.7,1.43E+07,1208.6,1.06E+07,2340.1,2.05E+07,
050819Abl_EX5,7,ICM,I,9681,166.4,253.87,12.811,3246.7,3.14E+07,50.067,4.85E+05,2146.6,2.08E+07,1138.2,1.10E+07,1845.9,1.79E+07,
050819Abl_EX5,8,TE,I,15590,330.98,334.06,13.208,2920.2,4.55E+07,55.362,8.63E+05,405.56,6.32E+06,1133.2,1.77E+07,1001.1,1.56E+07,
050819Abl_EX5,11,TE,I,16916,129.94,236.2,11.342,2508.3,4.24E+07,76.921,1.30E+06,248.13,4.20E+06,1158.2,1.96E+07,116.92,1.98E+06,
050819Abl_EX5,12,TE,I,15073,263.21,297.52,11.414,2449,3.69E+07,40.48,6.10E+05,277.89,4.19E+06,1216.3,1.83E+07,789.7,1.19E+07,
050819Abl_EX5,13,TE,I,17300,223.42,332.77,13.487,2595.7,4.49E+07,37.863,6.55E+05,219.25,3.79E+06,1187.7,2.05E+07,585.43,1.01E+07,
050819Abl_EX5,20,TE,I,39535,141,178,32,2917.003,,38.075,,219.455,,1195.369,,686.122,,
050819Abl_EX5,20.2,TE,I,39535,138,184,22,3559.569,,44.87,,258.677,,1175.264,,879.248,,
