Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
110817Abl_BY4,3,TE,I,8323,280.81,246.15,5.092,2674.3,2.23E+07,56.769,4.72E+05,184.13,1.53E+06,692.23,5.76E+06,341.77,2.84E+06,
110817Abl_BY4,4,TE,I,14194,191.55,280.66,6.101,2946.4,4.18E+07,150.82,2.14E+06,199.36,2.83E+06,640.76,9.10E+06,331.03,4.70E+06,
110817Abl_BY4,5,TE,I,9277,265.94,302.91,6.1935,2777.5,2.58E+07,50.969,4.73E+05,179.15,1.66E+06,665.21,6.17E+06,298.46,2.77E+06,
110817Abl_BY4,6,TE,I,12184,188.6,217.03,9.1103,2895.5,3.53E+07,163.97,2.00E+06,196.86,2.40E+06,680.98,8.30E+06,330.76,4.03E+06,
110817Abl_BY4,7,TE,I,10971,232.47,237.88,6.7313,2550.2,2.80E+07,60.178,6.60E+05,210.54,2.31E+06,710.68,7.80E+06,436.26,4.79E+06,
110817Abl_BY4,8,TE,I,10155,328.77,278.02,7.0225,2553.6,2.59E+07,63.258,6.42E+05,180.5,1.83E+06,648.6,6.59E+06,468.19,4.75E+06,
110817Abl_BY4,9,TE,I,9523,307.28,204.26,9.6891,2249.5,2.14E+07,56.569,5.39E+05,170.44,1.62E+06,672.71,6.41E+06,317.22,3.02E+06,
110817Abl_BY4,10,TE,I,7703,263.67,203.56,9.4785,2191.4,1.69E+07,53.831,4.15E+05,162.72,1.25E+06,616.36,4.75E+06,386.71,2.98E+06,
110817Abl_BY4,11,ICM,I,6098,178.73,245.12,11.288,2667,1.63E+07,1339.1,8.17E+06,162.61,9.92E+05,710.29,4.33E+06,144.64,8.82E+05,
110817Abl_BY4,12,TE,I,8119,361.48,248.18,12.024,2229.1,1.81E+07,54.738,4.44E+05,121.54,9.87E+05,672.75,5.46E+06,221.55,1.80E+06,
110817Abl_BY4,13,ICM,I,9786,233.99,275.84,12.983,2572.3,2.52E+07,45.587,4.46E+05,1515.7,1.48E+07,655.17,6.41E+06,1734.1,1.70E+07,
110817Abl_BY4,14,TE,I,8687,210.37,326.97,12.959,3184.1,2.77E+07,59.382,5.16E+05,195.37,1.70E+06,626.38,5.44E+06,286.21,2.49E+06,
110817Abl_BY4,15,TE,I,10662,300.8,330.53,14.82,2626.7,2.80E+07,52.795,5.63E+05,186.67,1.99E+06,688.99,7.35E+06,309.02,3.29E+06,
110817Abl_BY4,16,TE,I,12106,124.13,218.22,15.992,2526.6,3.06E+07,83.761,1.01E+06,171.2,2.07E+06,692.5,8.38E+06,218.69,2.65E+06,
110817Abl_BY4,17,TE,I,10878,146.02,326.82,17.034,3058.1,3.33E+07,63.137,6.87E+05,168.45,1.83E+06,719.24,7.82E+06,287.7,3.13E+06,
110817Abl_BY4,18,TE,I,8876,351.83,197.94,17.613,2153.5,1.91E+07,54.582,4.84E+05,208.68,1.85E+06,681.83,6.05E+06,244.92,2.17E+06,
110817Abl_BY4,19,ICM,M,8300,151.92,247.69,16.533,2545.4,2.11E+07,255.45,2.12E+06,158.23,1.31E+06,624.27,5.18E+06,81.615,6.77E+05,
110817Abl_BY4,20,TE,I,10378,253.52,342.47,17.703,3198,3.32E+07,55.951,5.81E+05,171.32,1.78E+06,733.23,7.61E+06,420.68,4.37E+06,
110817Abl_BY4,21,ICM,I,9578,225.31,221.69,17.924,2410.2,2.31E+07,77.071,7.38E+05,791.14,7.58E+06,681.28,6.53E+06,1507.4,1.44E+07,
110817Abl_BY4,22,ICM,I,5137,125.07,277.37,16.721,2453.2,1.26E+07,716.47,3.68E+06,180.62,9.28E+05,647.68,3.33E+06,119.41,6.13E+05,
110817Abl_BY4,23,TE,I,11069,174.02,177.88,19.688,2669.6,2.96E+07,65.375,7.24E+05,152.42,1.69E+06,708.71,7.84E+06,289.81,3.21E+06,
