Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
100819Abl_FN6,2,TE,I,16727,307.59,271.43,7.7711,1989.8,3.33E+07,28.843,4.82E+05,72.2,1.21E+06,1151.8,1.93E+07,269.25,4.50E+06,
100819Abl_FN6,3,TE,I,22059,211,271,11,1659.5,3.66E+07,30.595,6.75E+05,47.86,1.06E+06,1053.4,2.32E+07,281.46,6.21E+06,
100819Abl_FN6,3.2,TE,I,22059,224,249,13,1659.5,3.66E+07,30.595,6.75E+05,47.86,1.06E+06,1053.4,2.32E+07,281.46,6.21E+06,
100819Abl_FN6,4,TE,I,13531,282.97,344.57,8.8086,2190.2,2.96E+07,27.92,3.78E+05,65.745,8.90E+05,1177.5,1.59E+07,229.68,3.11E+06,
100819Abl_FN6,5,TE,I,18405,298.68,213.69,10.366,1526.3,2.81E+07,27.242,5.01E+05,61.179,1.13E+06,1128.4,2.08E+07,240.81,4.43E+06,
100819Abl_FN6,6,TE,I,11920,177.45,315.37,12.581,2431.5,2.90E+07,31.283,3.73E+05,66.534,7.93E+05,1173.2,1.40E+07,276.31,3.29E+06,
100819Abl_FN6,7,ICM,I,7841,217.44,310.99,14.163,2691.6,2.11E+07,40.648,3.19E+05,116.6,9.14E+05,1189.4,9.33E+06,384.82,3.02E+06,
100819Abl_FN6,8,TE,I,8313,223.52,357.89,13.503,2259.3,1.88E+07,32.277,2.68E+05,73.923,6.15E+05,1133.1,9.42E+06,295.56,2.46E+06,
100819Abl_FN6,9,TE,I,16839,347.04,350.87,20.885,1689.6,2.85E+07,26.538,4.47E+05,58.315,9.82E+05,1182.8,1.99E+07,219.04,3.69E+06,
100819Abl_FN6,11,TE,I,19590,201.15,227.47,23.681,1449.7,2.84E+07,32.111,6.29E+05,65.247,1.28E+06,1215.2,2.38E+07,249.4,4.89E+06,
