Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
111318Abl_DZ4,2,I,11377,192.82,298.91,4.2671,20.56,2.34E+05,219.56,2.50E+06,156.29,1.78E+06,TE
111318Abl_DZ4,3,I,8848,209.72,242.07,4.3805,19.441,1.72E+05,219.11,1.94E+06,195.89,1.73E+06,TE
111318Abl_DZ4,4,I,12115,225.39,198.68,6.5718,19.949,2.42E+05,184.4,2.23E+06,178.31,2.16E+06,TE
111318Abl_DZ4,5,I,13549,276.9,217.78,5.5828,19.677,2.67E+05,241.54,3.27E+06,143.63,1.95E+06,TE
111318Abl_DZ4,6,I,7834,331.04,235.72,5.4163,19.905,1.56E+05,198.37,1.55E+06,169.19,1.33E+06,TE
111318Abl_DZ4,7,I,11059,267.22,288.7,5.0666,18.928,2.09E+05,187.22,2.07E+06,130.97,1.45E+06,TE
111318Abl_DZ4,8,I,13486,168.01,180.99,6.7077,24.699,3.33E+05,204.53,2.76E+06,186.4,2.51E+06,TE
111318Abl_DZ4,9,I,12852,100.94,237.7,7.0715,19.189,2.47E+05,165.35,2.13E+06,176.96,2.27E+06,TE
111318Abl_DZ4,10,I,11847,379.86,226.15,7.6046,19.329,2.29E+05,261.37,3.10E+06,174.06,2.06E+06,TE
111318Abl_DZ4,12,I,21838,167.9,289.1,10.714,28.101,6.14E+05,193.64,4.23E+06,153.05,3.34E+06,DP
111318Abl_DZ4,15,I,12940,292.48,150.81,9.745,19.153,2.48E+05,163.64,2.12E+06,129.9,1.68E+06,TE
111318Abl_DZ4,16,I,11949,322.86,193.53,9.7218,19.048,2.28E+05,235.8,2.82E+06,168.22,2.01E+06,TE
111318Abl_DZ4,17,I,18402,135.18,253.54,11.498,42.565,7.83E+05,248.09,4.57E+06,191.44,3.52E+06,PRE
111318Abl_DZ4,18,I,9857,224.17,145.86,11.731,19.293,1.90E+05,195.36,1.93E+06,171.67,1.69E+06,TE
111318Abl_DZ4,20,I,10732,295.41,311.47,11.737,19.355,2.08E+05,181.24,1.95E+06,178.37,1.91E+06,TE
111318Abl_DZ4,21,I,11779,180.68,224.09,13.793,23.843,2.81E+05,188.94,2.23E+06,149.66,1.76E+06,EPI
111318Abl_DZ4,22,I,17634,400.37,276.93,12.426,19.481,3.44E+05,204.63,3.61E+06,171.09,3.02E+06,TE
111318Abl_DZ4,23,I,15829,211.95,339.85,13.063,19.363,3.07E+05,208.04,3.29E+06,183.55,2.91E+06,EPI
111318Abl_DZ4,26,M,8307,233.55,281.74,14.022,67.476,5.61E+05,96.019,7.98E+05,180.09,1.50E+06,PRE
111318Abl_DZ4,27,I,10445,79.769,190.22,15.764,19.576,2.04E+05,189.5,1.98E+06,204.68,2.14E+06,TE
111318Abl_DZ4,28,I,15115,122.68,335.58,16.501,19.762,2.99E+05,240.97,3.64E+06,183.06,2.77E+06,TE
111318Abl_DZ4,30,I,8785,345.77,166.3,17.563,18.871,1.66E+05,190.83,1.68E+06,191.9,1.69E+06,TE
111318Abl_DZ4,31,I,9090,349.12,124.41,18.805,18.911,1.72E+05,177.56,1.61E+06,223.39,2.03E+06,TE
111318Abl_DZ4,33,I,13786,99.769,273.69,18.764,28.482,3.93E+05,201.6,2.78E+06,159.35,2.20E+06,DP
111318Abl_DZ4,34,I,13597,132.25,126.71,21.491,19.895,2.71E+05,174.81,2.38E+06,190.91,2.60E+06,TE
111318Abl_DZ4,35,M,14835,232.83,214.19,18.848,45.495,6.75E+05,79.015,1.17E+06,195.96,2.91E+06,PRE
111318Abl_DZ4,36,I,14161,153.9,276.25,20.88,25.597,3.62E+05,252.28,3.57E+06,165.8,2.35E+06,EPI
111318Abl_DZ4,37,I,14411,396.96,334.81,20.22,19.651,2.83E+05,191.5,2.76E+06,204.46,2.95E+06,TE
111318Abl_DZ4,38,I,9210,421.68,201.64,19.949,19.445,1.79E+05,278.24,2.56E+06,233.94,2.15E+06,TE
111318Abl_DZ4,39,I,14347,182.22,157.76,22.737,21.409,3.07E+05,136.76,1.96E+06,204.76,2.94E+06,EPI
111318Abl_DZ4,41,I,19603,266.54,362,21.453,20.501,4.02E+05,117.92,2.31E+06,145.17,2.85E+06,TE
111318Abl_DZ4,42,M,10515,168.3,369.95,23.968,24.166,2.54E+05,103.53,1.09E+06,175.06,1.84E+06,DP
111318Abl_DZ4,42.2,M,10515,162,305,22,27.779,,106.293,,141.469,,DP
111318Abl_DZ4,43,I,11364,265.53,113.95,24.334,19.101,2.17E+05,157.91,1.79E+06,199.82,2.27E+06,TE
111318Abl_DZ4,44,I,9849,211.33,112.62,24.568,18.464,1.82E+05,132.45,1.30E+06,154.15,1.52E+06,TE
111318Abl_DZ4,45,I,15740,84.317,219.82,24.319,24.734,3.89E+05,161.19,2.54E+06,171.68,2.70E+06,EPI
111318Abl_DZ4,46,I,12343,58.6,282.04,24.575,19.88,2.45E+05,150.72,1.86E+06,154.12,1.90E+06,TE
111318Abl_DZ4,47,I,12896,239.8,158.15,26.429,59.224,7.64E+05,126.04,1.63E+06,163.26,2.11E+06,PRE
111318Abl_DZ4,48,I,19244,218.91,298.91,25.782,53.948,1.04E+06,150.99,2.91E+06,177.46,3.42E+06,PRE
111318Abl_DZ4,49,I,14495,173.51,201.44,25.903,46.948,6.81E+05,139.12,2.02E+06,155.86,2.26E+06,PRE
111318Abl_DZ4,50,I,27258,193.4,386.55,29.411,18.522,5.05E+05,102.79,2.80E+06,158.06,4.31E+06,TE
111318Abl_DZ4,51,I,15398,343.99,380.04,28.252,18.573,2.86E+05,145.42,2.24E+06,159.89,2.46E+06,TE
111318Abl_DZ4,52,I,13045,323.65,114.85,27.994,18.963,2.47E+05,175.81,2.29E+06,170.78,2.23E+06,TE
111318Abl_DZ4,53,I,15339,129.65,234.79,29.146,41.944,6.43E+05,119.92,1.84E+06,182.14,2.79E+06,PRE
111318Abl_DZ4,54,I,16978,214,226.19,27.695,43.459,7.38E+05,98.997,1.68E+06,180.58,3.07E+06,PRE
111318Abl_DZ4,55,I,11097,407.75,165.88,30.688,18.743,2.08E+05,203.09,2.25E+06,163.38,1.81E+06,TE
111318Abl_DZ4,57,I,13192,114.94,359.35,30.958,18.97,2.50E+05,169.02,2.23E+06,166.91,2.20E+06,TE
111318Abl_DZ4,58,I,8288,396.03,358.32,31.09,19.165,1.59E+05,154.86,1.28E+06,160.19,1.33E+06,TE
111318Abl_DZ4,59,I,13698,147.04,110.46,31.922,18.296,2.51E+05,117.69,1.61E+06,147.95,2.03E+06,TE
111318Abl_DZ4,60,I,10802,80.891,167.2,32.213,18.551,2.00E+05,118.47,1.28E+06,143.72,1.55E+06,TE
111318Abl_DZ4,61,I,10024,444.12,248.62,32.69,18.434,1.85E+05,194.87,1.95E+06,160.4,1.61E+06,TE
111318Abl_DZ4,62,I,13158,137.28,178.48,33.303,32.427,4.27E+05,91.429,1.20E+06,140.49,1.85E+06,DP
