Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
021919Abl_EO5,1,I,17199,342.78,262.3,4.3047,19.042,3.28E+05,123.57,2.13E+06,338.27,5.82E+06,
021919Abl_EO5,2,I,18187,251.8,305.02,4.9866,18.84,3.43E+05,110.09,2.00E+06,376.53,6.85E+06,
021919Abl_EO5,3,I,10384,138.72,268.43,3.8936,19.023,1.98E+05,138.35,1.44E+06,375.66,3.90E+06,
021919Abl_EO5,4,I,8297,206.37,208.71,5.424,19.215,1.59E+05,154.83,1.28E+06,401.11,3.33E+06,
021919Abl_EO5,5,I,24504,283.99,172.2,7.9687,19.051,4.67E+05,136.27,3.34E+06,398.79,9.77E+06,
021919Abl_EO5,6,I,32188,104.01,188.25,7.3703,19.113,6.15E+05,112.63,3.63E+06,408.57,1.32E+07,
021919Abl_EO5,7,I,13019,193.42,269.89,6.3072,18.988,2.47E+05,107.33,1.40E+06,323.84,4.22E+06,
021919Abl_EO5,8,I,20058,292.59,383.13,6.6434,18.804,3.77E+05,92.846,1.86E+06,423.25,8.49E+06,
021919Abl_EO5,9,I,13823,400.06,245.5,6.7492,19.03,2.63E+05,133.19,1.84E+06,246.44,3.41E+06,
021919Abl_EO5,10,I,16134,166.56,343.79,8.2133,19.534,3.15E+05,259.95,4.19E+06,341.01,5.50E+06,
021919Abl_EO5,11,I,11616,135.35,225.64,9.7132,19.313,2.24E+05,125.86,1.46E+06,423.26,4.92E+06,
021919Abl_EO5,12,I,38648,83.544,269.6,9.5974,19.212,7.43E+05,108.85,4.21E+06,362.37,1.40E+07,
021919Abl_EO5,13,I,12555,124.92,305.81,9.324,19.268,2.42E+05,124.37,1.56E+06,443.31,5.57E+06,
021919Abl_EO5,14,I,10798,210.57,226.08,10.907,19.335,2.09E+05,216.3,2.34E+06,390.14,4.21E+06,
021919Abl_EO5,15,I,10115,196.85,316.08,12.637,19.077,1.93E+05,180.32,1.82E+06,426.09,4.31E+06,
021919Abl_EO5,16,I,21223,233.48,136.9,13.268,19.034,4.04E+05,116.61,2.47E+06,301.58,6.40E+06,
021919Abl_EO5,17,I,17496,384.33,151.89,15.041,19.076,3.34E+05,129.07,2.26E+06,288.99,5.06E+06,
021919Abl_EO5,18,I,21360,84.126,206.53,17.399,19.429,4.15E+05,127.54,2.72E+06,378.26,8.08E+06,
021919Abl_EO5,19,I,10928,166.21,242.69,16.628,19.15,2.09E+05,134.84,1.47E+06,382.3,4.18E+06,
021919Abl_EO5,20,I,12944,448,249.28,14.954,18.975,2.46E+05,119.01,1.54E+06,302.89,3.92E+06,
021919Abl_EO5,21,I,17316,58.644,322.28,13.834,19.213,3.33E+05,111.62,1.93E+06,472.3,8.18E+06,
021919Abl_EO5,22,I,13171,228.77,403.5,14.841,19.717,2.60E+05,315.86,4.16E+06,396.08,5.22E+06,
021919Abl_EO5,23,I,20729,388.34,394.19,16.52,18.963,3.93E+05,147.15,3.05E+06,288.59,5.98E+06,
021919Abl_EO5,24,I,13228,166.01,142.13,19.667,18.974,2.51E+05,124.72,1.65E+06,425.36,5.63E+06,
021919Abl_EO5,25,I,9068,131.16,177.43,18.653,19.059,1.73E+05,143.8,1.30E+06,416.05,3.77E+06,
021919Abl_EO5,26,I,7679,127.2,247.26,20.118,19.227,1.48E+05,135.83,1.04E+06,392.92,3.02E+06,
021919Abl_EO5,27,I,9947,125.86,332.34,18.92,19.23,1.91E+05,153.44,1.53E+06,431.1,4.29E+06,
