Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
032019Abl_EU8,1,I,12166,324.13,224.8,3.7533,19.144,2.33E+05,289.13,3.52E+06,351.47,4.28E+06,
032019Abl_EU8,2,M,14781,279.59,310.51,4.3277,18.638,2.75E+05,70.029,1.04E+06,399.41,5.90E+06,
032019Abl_EU8,3,I,9826,193.53,240.51,4.4964,19.451,1.91E+05,317.56,3.12E+06,323.07,3.17E+06,
032019Abl_EU8,5,I,10635,179.98,301.51,5.5726,19.241,2.05E+05,304.97,3.24E+06,376.66,4.01E+06,
032019Abl_EU8,6,I,20311,121.98,227.65,7.3773,19.058,3.87E+05,203.24,4.13E+06,297.1,6.03E+06,
032019Abl_EU8,7,M,32759,327.47,358.69,8.203,18.637,6.11E+05,101.13,3.31E+06,373.34,1.22E+07,
032019Abl_EU8,8,I,15054,258.24,383.53,6.8812,18.91,2.85E+05,210.49,3.17E+06,370.53,5.58E+06,
032019Abl_EU8,9,I,23573,222.17,155.17,7.8696,18.936,4.46E+05,181.61,4.28E+06,323.81,7.63E+06,
032019Abl_EU8,10,I,14419,162.38,165.85,10.929,19.31,2.78E+05,248.22,3.58E+06,391.01,5.64E+06,
032019Abl_EU8,11,I,12781,149.98,273.54,12.721,19.14,2.45E+05,200.63,2.56E+06,328.17,4.19E+06,
032019Abl_EU8,12,I,29407,407.14,312.06,10.705,18.786,5.52E+05,166.69,4.90E+06,344.26,1.01E+07,
032019Abl_EU8,13,I,12023,157.81,354.54,10.523,19.101,2.30E+05,254.08,3.05E+06,388.14,4.67E+06,
032019Abl_EU8,14,I,13089,94.467,139.71,15.264,19.73,2.58E+05,261.75,3.43E+06,468.66,6.13E+06,
032019Abl_EU8,15,I,17815,39.913,269.55,12.814,18.921,3.37E+05,168.33,3.00E+06,395.76,7.05E+06,
032019Abl_EU8,16,I,31259,345.96,119.01,15.099,18.854,5.89E+05,162.32,5.07E+06,393.58,1.23E+07,
032019Abl_EU8,17,I,19425,72.227,210.17,13.531,19.147,3.72E+05,168.34,3.27E+06,472.14,9.17E+06,
032019Abl_EU8,18,I,17741,80.518,278.02,15.463,19.58,3.47E+05,284.51,5.05E+06,385.05,6.83E+06,
032019Abl_EU8,19,I,14571,156.89,220.86,17.331,19.147,2.79E+05,237.02,3.45E+06,372.13,5.42E+06,
032019Abl_EU8,20,I,13858,114.47,331.87,18.168,19.778,2.74E+05,252.84,3.50E+06,349.94,4.85E+06,
032019Abl_EU8,22,I,13340,113.24,182,18.032,19.229,2.57E+05,207.43,2.77E+06,267.31,3.57E+06,
032019Abl_EU8,23,I,16062,202.38,120.2,18.591,19.432,3.12E+05,295.44,4.75E+06,365.85,5.88E+06,
032019Abl_EU8,24,I,14161,130.65,127.29,22.208,19.413,2.75E+05,221.86,3.14E+06,355.54,5.03E+06,
032019Abl_EU8,25,I,18469,122.05,279.14,23.446,19.591,3.62E+05,201.06,3.71E+06,333.67,6.16E+06,
032019Abl_EU8,26,I,13471,285.54,446.18,24.178,19.097,2.57E+05,165.86,2.23E+06,282.49,3.81E+06,
032019Abl_EU8,27,I,12823,40.766,236.24,25.791,19.38,2.49E+05,188.71,2.42E+06,354.7,4.55E+06,
032019Abl_EU8,28,I,15175,81.148,316.51,28.015,19.36,2.94E+05,222.75,3.38E+06,431.9,6.55E+06,
032019Abl_EU8,29,I,15305,145.89,154.39,27.962,19.175,2.93E+05,223.89,3.43E+06,294.57,4.51E+06,
032019Abl_EU8,30,I,16902,108.48,213.2,30.366,18.987,3.21E+05,136.89,2.31E+06,311.58,5.27E+06,
032019Abl_EU8,31,I,14541,136.53,387.38,30.163,19.147,2.78E+05,128.33,1.87E+06,325.4,4.73E+06,
032019Abl_EU8,32,I,24073,468.89,214.66,31.413,19.379,4.67E+05,166.5,4.01E+06,376.6,9.07E+06,
032019Abl_EU8,33,I,14965,180.88,77.86,30.515,19.749,2.96E+05,363.17,5.43E+06,394.81,5.91E+06,
032019Abl_EU8,34,I,16326,76.96,147.45,29.698,19.785,3.23E+05,198.33,3.24E+06,365.38,5.97E+06,
032019Abl_EU8,35,I,8216,25.545,183.74,33.772,19.366,1.59E+05,254.25,2.09E+06,403.64,3.32E+06,
032019Abl_EU8,36,I,9273,44.959,337.01,33.263,19.668,1.82E+05,268.38,2.49E+06,369.64,3.43E+06,
032019Abl_EU8,37,I,16406,38.527,286.19,35.462,19.238,3.16E+05,209.09,3.43E+06,317.51,5.21E+06,
032019Abl_EU8,38,I,14112,39.745,224.77,36.54,19.321,2.73E+05,215.08,3.04E+06,315.67,4.45E+06,
032019Abl_EU8,39,I,17949,393.79,435.6,37.455,19.397,3.48E+05,196.1,3.52E+06,435.3,7.81E+06,
032019Abl_EU8,40,I,21387,460.07,364.06,38.343,19.335,4.14E+05,235.51,5.04E+06,394.17,8.43E+06,
032019Abl_EU8,41,M,16072,115.6,260.15,37.006,18.528,2.98E+05,67.03,1.08E+06,301.19,4.84E+06,
032019Abl_EU8,42,I,13969,56.759,183.24,41.318,18.883,2.64E+05,144.01,2.01E+06,302.56,4.23E+06,
032019Abl_EU8,43,I,18103,88.017,331.79,42.114,18.935,3.43E+05,135.33,2.45E+06,392.06,7.10E+06,
032019Abl_EU8,44,I,26540,360.57,73.917,45,18.951,5.03E+05,130.14,3.45E+06,364.15,9.66E+06,
032019Abl_EU8,45,I,18337,109.86,112.44,46.267,18.823,3.45E+05,149.61,2.74E+06,358.31,6.57E+06,
032019Abl_EU8,46,I,12816,92.629,148.73,42.586,18.92,2.42E+05,144.19,1.85E+06,377.07,4.83E+06,
032019Abl_EU8,48,I,11713,62.413,273.61,44.839,18.792,2.20E+05,155.11,1.82E+06,276.19,3.24E+06,
032019Abl_EU8,49,I,21869,256.87,472.77,48.943,18.87,4.13E+05,147.62,3.23E+06,347.23,7.59E+06,
032019Abl_EU8,50,I,12070,337.39,471.88,50.631,18.838,2.27E+05,126.32,1.52E+06,313.36,3.78E+06,
032019Abl_EU8,51,I,14555,489.49,198.44,51.963,18.871,2.75E+05,118.63,1.73E+06,256.91,3.74E+06,
032019Abl_EU8,52,I,25342,68.125,232.29,53.561,18.572,4.71E+05,83.53,2.12E+06,280.4,7.11E+06,
032019Abl_EU8,53,I,17841,126.66,404.81,52.715,18.455,3.29E+05,86.673,1.55E+06,317.8,5.67E+06,
032019Abl_EU8,54,I,12264,489.25,334.79,55.863,18.723,2.30E+05,112.01,1.37E+06,297.85,3.65E+06,
032019Abl_EU8,55,I,22203,80.962,310.29,57.354,18.382,4.08E+05,106.38,2.36E+06,336.08,7.46E+06,
032019Abl_EU8,56,I,19367,374.4,451.85,59.908,18.595,3.60E+05,83.484,1.62E+06,232.56,4.50E+06,
032019Abl_EU8,57,I,17631,113.03,132.32,62.621,18.349,3.24E+05,87.249,1.54E+06,300.87,5.30E+06,
032019Abl_EU8,58,I,24714,217.44,67.905,67.853,18.7,4.62E+05,116.76,2.89E+06,420.64,1.04E+07,
032019Abl_EU8,59,I,19618,435.59,139.24,67.618,18.656,3.66E+05,105.3,2.07E+06,400.86,7.86E+06,
032019Abl_EU8,60,I,24354,85.95,201.71,68.793,18.36,4.47E+05,75.516,1.84E+06,241.53,5.88E+06,
032019Abl_EU8,61,I,20233,210,445.79,68.021,18.429,3.73E+05,69.979,1.42E+06,355.92,7.20E+06,
032019Abl_EU8,63,I,25516,416.58,402.3,73.335,18.692,4.77E+05,112.85,2.88E+06,407.12,1.04E+07,
032019Abl_EU8,64,I,19760,466.74,240.1,75.533,18.719,3.70E+05,87.705,1.73E+06,360.85,7.13E+06,
032019Abl_EU8,65,I,16738,473.41,300.55,73.658,18.679,3.13E+05,82.67,1.38E+06,465.5,7.79E+06,
032019Abl_EU8,66,I,36502,351.96,111.03,78.764,18.496,6.75E+05,72.73,2.65E+06,384.25,1.40E+07,
032019Abl_EU8,67,I,14356,225.02,107.39,81.466,18.432,2.65E+05,91.204,1.31E+06,351.03,5.04E+06,
032019Abl_EU8,68,I,32026,331.9,394.29,85.08,18.502,5.93E+05,89.508,2.87E+06,365.86,1.17E+07,
032019Abl_EU8,69,I,17398,261.5,402.79,85.371,18.395,3.20E+05,66.767,1.16E+06,300.83,5.23E+06,
032019Abl_EU8,70,I,45355,171.04,316.7,88.55,18.189,8.25E+05,56.079,2.54E+06,374.63,1.70E+07,
032019Abl_EU8,71,I,42919,388.56,226.05,92.534,18.316,7.86E+05,80.179,3.44E+06,388.63,1.67E+07,
032019Abl_EU8,72,I,29266,188.24,193.18,91.532,18.244,5.34E+05,68.869,2.02E+06,327.2,9.58E+06,
032019Abl_EU8,73,I,21440,374.38,315.91,93.81,18.203,3.90E+05,75.127,1.61E+06,376.9,8.08E+06,
032019Abl_EU8,74,I,14245,256.13,176.27,94.715,18.322,2.61E+05,83.186,1.19E+06,403.95,5.75E+06,
032019Abl_EU8,75,I,18913,304.28,194.11,95.387,18.163,3.44E+05,66.867,1.26E+06,382.08,7.23E+06,
032019Abl_EU8,76,I,20351,284.51,294.59,96.265,18.186,3.70E+05,65.274,1.33E+06,379.9,7.73E+06,
