Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
102218Abl_DV2,1,I,1169,507.2,178.02,2.8931,15.61,18248,28.621,33458,347.82,4.07E+05,TE
102218Abl_DV2,2,I,6050,414.46,322.22,3.5917,15.611,94444,29.655,1.79E+05,347.93,2.11E+06,TE
102218Abl_DV2,3,I,8363,480.58,342.98,3.9261,16.165,1.35E+05,57.179,4.78E+05,330.63,2.77E+06,TE
102218Abl_DV2,4,I,16180,260.33,372.21,4.0777,69.382,1.12E+06,112.84,1.83E+06,365.6,5.92E+06,PRE
102218Abl_DV2,5,I,10837,349.37,410.95,4.044,16.682,1.81E+05,116.96,1.27E+06,345.46,3.74E+06,TE
102218Abl_DV2,8,I,13375,168.57,257.96,6.2945,90.932,1.22E+06,200.02,2.68E+06,319.24,4.27E+06,PRE
102218Abl_DV2,9,I,40205,355.14,62.49,8.6414,16.413,6.60E+05,88.915,3.57E+06,351.98,1.42E+07,TE
102218Abl_DV2,10,I,15139,466.69,82.104,6.7579,16.872,2.55E+05,124.11,1.88E+06,327.61,4.96E+06,TE
102218Abl_DV2,11,I,15151,234.77,106.16,6.6783,16.983,2.57E+05,112.71,1.71E+06,352.99,5.35E+06,TE
102218Abl_DV2,12,I,12597,125.44,276.01,5.9651,16.955,2.14E+05,126.03,1.59E+06,352.6,4.44E+06,TE
102218Abl_DV2,13,I,28642,249.29,433.14,9.0427,17.059,4.89E+05,101.99,2.92E+06,324.02,9.28E+06,TE
102218Abl_DV2,14,I,17952,145.37,203.28,8.4723,20.63,3.70E+05,135.12,2.43E+06,336.42,6.04E+06,EPI
102218Abl_DV2,15,I,13266,154.47,320.42,9.9501,75.054,9.96E+05,139.57,1.85E+06,322.23,4.27E+06,PRE
102218Abl_DV2,16,I,29734,109.41,178.84,11.68,17.185,5.11E+05,97.682,2.90E+06,435.08,1.29E+07,TE
