Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
012318Abl_CJ1,1,I,15453,260.34,297.94,6.7569,67.371,1.04E+06,133.69,2.07E+06,DP
012318Abl_CJ1,2,I,20224,211.46,260.53,7.2813,138.06,2.79E+06,145.58,2.94E+06,PRE
012318Abl_CJ1,3,I,16801,285.65,230.33,8.2566,52.864,8.88E+05,135.76,2.28E+06,DP
012318Abl_CJ1,4,I,20168,312.49,288.1,10.317,62.086,1.25E+06,136.98,2.76E+06,DP
012318Abl_CJ1,5,I,16239,273.9,172.87,12.669,185.17,3.01E+06,140.35,2.28E+06,PRE
012318Abl_CJ1,6,I,15571,335.32,217.58,15.128,106.87,1.66E+06,151.36,2.36E+06,DP
012318Abl_CJ1,7,I,7968,228.8,226.53,13.349,77.295,6.16E+05,139.52,1.11E+06,DP
012318Abl_CJ1,8,I,14468,178.08,225.05,16.898,130.75,1.89E+06,147.17,2.13E+06,PRE
012318Abl_CJ1,9,I,16155,231.94,323.54,17.148,56.976,9.20E+05,130.31,2.11E+06,DP
012318Abl_CJ1,10,I,11096,265.53,277.43,19.6,56.044,6.22E+05,141.25,1.57E+06,EPI
012318Abl_CJ1,11,I,29858,175.03,309.01,22.562,66.829,2.00E+06,150.37,4.49E+06,DP
012318Abl_CJ1,13,I,11079,311.5,206.05,23.303,131.8,1.46E+06,142.62,1.58E+06,PRE
012318Abl_CJ1,14,I,8365,204.99,272.92,20.924,78.031,6.53E+05,145.68,1.22E+06,DP
012318Abl_CJ1,15,I,15808,334.65,281.13,22.411,165.53,2.62E+06,124.58,1.97E+06,PRE
012318Abl_CJ1,16,I,16296,357.14,229.46,27.674,51.562,8.40E+05,144.98,2.36E+06,DP
012318Abl_CJ1,17,I,27556,164.91,196.04,28.991,60.816,1.68E+06,145.2,4.00E+06,DP
012318Abl_CJ1,18,I,10992,255.84,283.98,30.241,58.444,6.42E+05,149.32,1.64E+06,DP
012318Abl_CJ1,19,I,14665,295.39,163.74,33.7,64.894,9.52E+05,137.36,2.01E+06,DP
012318Abl_CJ1,20,I,19069,191.18,272.39,33.211,121.12,2.31E+06,143.68,2.74E+06,PRE
012318Abl_CJ1,21,I,16503,268.71,208.81,33.532,50.817,,131.63,,DP
012318Abl_CJ1,21.2,I,16503,282,238,27,74.157,1.22E+06,128.07,2.11E+06,DP
012318Abl_CJ1,23,I,12851,220.91,225.28,38.56,46.202,5.94E+05,138.42,1.78E+06,DP
012318Abl_CJ1,24,I,11582,329.92,221.4,38.057,42.809,4.96E+05,138.18,1.60E+06,EPI
012318Abl_CJ1,25,I,18562,226.08,165.75,37.131,31.626,5.87E+05,126.48,2.35E+06,EPI
012318Abl_CJ1,26,I,9232,287.64,259.18,43.544,48,4.43E+05,120.62,1.11E+06,PRE
012318Abl_CJ1,27,I,8889,237,244.95,44.258,46.276,4.11E+05,118.64,1.05E+06,DP
