Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
072518Abl_DR2,1,I,9016,318.4,219.2,3.3417,15.338,1.38E+05,53.994,4.87E+05,336.5,3.03E+06,TE
072518Abl_DR2,2,I,2152,261.94,247.94,2.6942,19.289,41511,64.539,1.39E+05,314.16,6.76E+05,TE
072518Abl_DR2,3,I,27262,379.46,299.61,5.4437,14.831,4.04E+05,45.03,1.23E+06,304.93,8.31E+06,TE
072518Abl_DR2,4,I,26193,135.98,310.38,5.4957,16.232,4.25E+05,45.968,1.20E+06,357.31,9.36E+06,TE
072518Abl_DR2,5,I,16574,185.7,231.56,6.2854,19.328,3.20E+05,39.635,6.57E+05,350.35,5.81E+06,EPI
072518Abl_DR2,6,I,24588,217.13,130.58,7.1649,17.901,4.40E+05,50.054,1.23E+06,341.07,8.39E+06,TE
072518Abl_DR2,7,M,7481,136.08,213.62,6.8166,17.421,1.30E+05,30.791,2.30E+05,340.63,2.55E+06,EPI
072518Abl_DR2,8,I,18421,241.8,249.05,7.3821,91.672,1.69E+06,86.099,1.59E+06,288.38,5.31E+06,PRE
072518Abl_DR2,9,I,13963,295.65,338.97,6.423,15.018,2.10E+05,64.32,8.98E+05,323.23,4.51E+06,TE
072518Abl_DR2,10,I,25589,294.17,147.67,8.2088,14.882,3.81E+05,37.615,9.63E+05,302.27,7.73E+06,TE
072518Abl_DR2,11,I,16058,235.35,174.66,7.3681,120.04,1.93E+06,40.82,6.55E+05,341.2,5.48E+06,PRE
072518Abl_DR2,12,I,23782,416.05,192.6,7.0436,14.919,3.55E+05,60.762,1.45E+06,335.54,7.98E+06,TE
072518Abl_DR2,14,I,23439,182.25,288.63,8.7143,35.646,8.36E+05,35.871,8.41E+05,323.74,7.59E+06,DP
072518Abl_DR2,15,I,17151,107.94,263.83,10.581,18.904,3.24E+05,40.183,6.89E+05,315.66,5.41E+06,EPI
072518Abl_DR2,16,I,20564,229.63,344.21,8.3089,16.839,3.46E+05,39.196,8.06E+05,346.67,7.13E+06,TE
072518Abl_DR2,17,I,18134,69.399,219.07,9.2929,15.558,2.82E+05,53.93,9.78E+05,404.03,7.33E+06,TE
072518Abl_DR2,18,I,31342,383.57,369.84,9.9537,14.946,4.68E+05,35.035,1.10E+06,359.87,1.13E+07,TE
072518Abl_DR2,19,I,8599,136.98,148.8,12.373,16.166,1.39E+05,73.822,6.35E+05,385.59,3.32E+06,TE
072518Abl_DR2,20,I,9578,254.79,320.45,13.407,105.77,1.01E+06,44.203,4.23E+05,290.8,2.79E+06,PRE
072518Abl_DR2,21,I,15677,181.22,188.92,16.528,64.947,1.02E+06,38.636,6.06E+05,341.37,5.35E+06,PRE
072518Abl_DR2,22,I,13315,229.93,207.74,15.122,83.044,1.11E+06,61.094,8.13E+05,281.32,3.75E+06,PRE
072518Abl_DR2,23,I,18748,146.49,290.96,18.375,71.069,1.33E+06,41.703,7.82E+05,323.01,6.06E+06,PRE
072518Abl_DR2,24,I,38376,410.01,123.68,15.166,14.775,5.67E+05,33.43,1.28E+06,359.96,1.38E+07,TE
072518Abl_DR2,25,I,9677,204.59,154.13,19.269,85.571,8.28E+05,44.533,4.31E+05,356.78,3.45E+06,PRE
072518Abl_DR2,26,I,12675,201.46,270.62,19.995,64.77,8.21E+05,38.228,4.85E+05,339.02,4.30E+06,PRE
072518Abl_DR2,27,I,22396,175.53,335.93,21.468,15.946,3.57E+05,49.965,1.12E+06,318.36,7.13E+06,EPI
072518Abl_DR2,28,I,13684,79.236,298.46,21.266,15.492,2.12E+05,55.111,7.54E+05,357.87,4.90E+06,TE
072518Abl_DR2,29,I,28936,224.71,88.812,15.856,14.99,4.34E+05,39.812,1.15E+06,328.44,9.50E+06,TE
072518Abl_DR2,30,I,19060,237.81,143.2,22.768,98.053,1.87E+06,41.967,8.00E+05,285.58,5.44E+06,PRE
072518Abl_DR2,31,I,30075,459.65,161.12,20.733,15.655,4.71E+05,33.656,1.01E+06,332.78,1.00E+07,TE
072518Abl_DR2,32,I,26615,463.92,308.07,21.398,14.71,3.92E+05,38.152,1.02E+06,382.94,1.02E+07,TE
072518Abl_DR2,33,I,17467,313.4,401.74,22.075,14.597,2.55E+05,45.477,7.94E+05,420.74,7.35E+06,TE
072518Abl_DR2,34,I,19795,172.59,131.35,24.722,60.22,1.19E+06,34.179,6.77E+05,306.83,6.07E+06,PRE
