Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity,targeted
052819Abl_FD5,1,I,9022,290.06,262.79,3.5478,22.925,2.07E+05,156.25,1.41E+06,216.08,1.95E+06,TE,F
052819Abl_FD5,3,I,13773,328.03,167.55,5.4319,21.423,2.95E+05,166.63,2.29E+06,217.27,2.99E+06,TE,F
052819Abl_FD5,4,I,17863,242.08,183.72,6.1743,21.98,3.93E+05,165.79,2.96E+06,195.17,3.49E+06,TE,F
052819Abl_FD5,5,I,13746,145.7,215.13,4.9425,22.099,3.04E+05,172.3,2.37E+06,259.46,3.57E+06,TE,F
052819Abl_FD5,6,I,13412,369.88,226.82,4.7284,22.414,3.01E+05,136.76,1.83E+06,202.32,2.71E+06,TE,F
052819Abl_FD5,7,I,11502,192.85,257.75,6.3179,21.422,2.46E+05,149.85,1.72E+06,170.26,1.96E+06,TE,F
052819Abl_FD5,8,I,18767,303.42,330.96,7.746,20.925,3.93E+05,106.36,2.00E+06,220.92,4.15E+06,TE,F
052819Abl_FD5,9,I,14382,174.76,137.47,8.1442,22.544,3.24E+05,147.31,2.12E+06,195.93,2.82E+06,TE,F
052819Abl_FD5,10,I,14541,427.97,249.49,8.6132,21.199,3.08E+05,136.56,1.99E+06,207.88,3.02E+06,TE,F
052819Abl_FD5,11,I,20362,306.26,107.06,10.206,21.304,4.34E+05,117.2,2.39E+06,215.22,4.38E+06,TE,F
052819Abl_FD5,12,I,16532,201.29,168.13,11.691,49.908,8.25E+05,169.3,2.80E+06,224.39,3.71E+06,PRE,F
052819Abl_FD5,13,I,15881,422.73,182.54,9.3619,21.298,3.38E+05,141.49,2.25E+06,192.45,3.06E+06,TE,F
052819Abl_FD5,14,I,15023,112.28,207.26,12.614,22.833,3.43E+05,178.84,2.69E+06,195.99,2.94E+06,EPI,F
052819Abl_FD5,15,M,34812,123.36,253.04,13.623,22.843,7.95E+05,131.28,4.57E+06,200.92,6.99E+06,EPI,F
052819Abl_FD5,16,I,13326,404.56,306.09,10.427,22.253,2.97E+05,116.34,1.55E+06,208.87,2.78E+06,TE,F
052819Abl_FD5,17,M,10100,262.67,73.311,14.088,21.272,2.15E+05,116.3,1.17E+06,235.33,2.38E+06,TE,F
052819Abl_FD5,18,I,15038,42.951,258.84,13.669,22.388,3.37E+05,186.71,2.81E+06,196.68,2.96E+06,TE,F
052819Abl_FD5,19,I,24925,176.91,321.27,12.019,21.653,5.40E+05,121.93,3.04E+06,193.98,4.84E+06,TE,F
052819Abl_FD5,20,M,5235,125.75,293.45,17.377,49.047,2.57E+05,121.4,6.36E+05,195.5,1.02E+06,PRE,F
052819Abl_FD5,21,I,16838,55.388,174.42,15.685,21.891,3.69E+05,171.39,2.89E+06,216.43,3.64E+06,TE,F
052819Abl_FD5,22,M,11523,172.64,90.676,16.429,21.261,2.45E+05,116.49,1.34E+06,206.77,2.38E+06,TE,F
052819Abl_FD5,23,I,16800,117.47,153.32,19.799,24.716,4.15E+05,155.75,2.62E+06,224.95,3.78E+06,EPI,F
052819Abl_FD5,24,I,6838,38.053,234.28,20.394,32.479,2.22E+05,240.15,1.64E+06,206.23,1.41E+06,DP,F
052819Abl_FD5,25,I,6542,67.66,276.94,19.374,23.212,1.52E+05,213.47,1.40E+06,202.6,1.33E+06,EPI,F
052819Abl_FD5,26,I,8159,465.4,208.18,21.091,22.043,1.80E+05,257.85,2.10E+06,216.59,1.77E+06,TE,F
052819Abl_FD5,27,I,10132,97.12,323.97,21.437,21.841,2.21E+05,287.58,2.91E+06,170.68,1.73E+06,TE,F
052819Abl_FD5,28,I,14312,107.53,115.6,24.353,22.171,3.17E+05,160.55,2.30E+06,232.83,3.33E+06,TE,F
052819Abl_FD5,29,I,12467,425.6,121.45,21.535,21.67,2.70E+05,156.87,1.96E+06,226.23,2.82E+06,TE,F
052819Abl_FD5,30,I,10643,174.26,185.58,22.904,52.899,5.63E+05,115.07,1.22E+06,181.51,1.93E+06,PRE,T
