Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,targeted
100719Abl_FL2,1,I,22504,167.15,189.48,5.7256,22.912,5.16E+05,279.08,6.28E+06,312.76,7.04E+06,F
100719Abl_FL2,2,I,28935,320.96,328.17,5.3665,22.167,6.41E+05,221.3,6.40E+06,379.7,1.10E+07,F
100719Abl_FL2,3,M,9883,344.81,245.46,4.909,21.731,2.15E+05,130.29,1.29E+06,355.25,3.51E+06,F
100719Abl_FL2,4,I,15197,196.62,285.32,5.1973,23.038,3.50E+05,330.12,5.02E+06,318.59,4.84E+06,F
100719Abl_FL2,6,M,19826,266.27,220.84,6.063,21.909,4.34E+05,124.66,2.47E+06,297.41,5.90E+06,F
100719Abl_FL2,7,I,15372,122.95,291.93,6.8344,23.28,3.58E+05,405.45,6.23E+06,356.5,5.48E+06,F
100719Abl_FL2,8,I,14986,133.04,194.57,10.487,22.833,3.42E+05,315.9,4.73E+06,306.21,4.59E+06,F
100719Abl_FL2,9,I,32565,368.85,173.84,8.377,21.712,7.07E+05,144.04,4.69E+06,403.45,1.31E+07,F
100719Abl_FL2,10,I,18765,212.83,366.15,9.0875,22.954,4.31E+05,357.02,6.70E+06,307.4,5.77E+06,F
100719Abl_FL2,11,I,9967,93.338,156.67,10.98,22.687,2.26E+05,235.98,2.35E+06,372.69,3.71E+06,F
100719Abl_FL2,12,I,11483,184.22,221.78,12.655,23.134,2.66E+05,368.73,4.23E+06,260.3,2.99E+06,F
100719Abl_FL2,14,I,18132,196.5,143.52,12.231,22.464,4.07E+05,288.76,5.24E+06,283.04,5.13E+06,F
100719Abl_FL2,15,I,14922,158.71,327.21,15.43,23.067,3.44E+05,365,5.45E+06,290.42,4.33E+06,F
100719Abl_FL2,17,I,10523,100.71,181.09,17.991,22.711,2.39E+05,299.94,3.16E+06,321.1,3.38E+06,F
100719Abl_FL2,19,I,10592,138.33,226.28,18.084,22.7,2.40E+05,261.38,2.77E+06,270.53,2.87E+06,F
100719Abl_FL2,22,I,9531,102.87,318.56,19.595,22.984,2.19E+05,365.05,3.48E+06,333.11,3.17E+06,F
100719Abl_FL2,23,I,12916,77.091,244.58,20.855,22.466,2.90E+05,243.15,3.14E+06,292.29,3.78E+06,F
100719Abl_FL2,24,I,9084,158.53,366.82,22.825,22.812,2.07E+05,313.13,2.84E+06,302.26,2.75E+06,F
100719Abl_FL2,25,I,10292,120.22,380.01,22.974,23.319,2.40E+05,432.32,4.45E+06,377.23,3.88E+06,F
100719Abl_FL2,26,I,17036,241.32,426.62,23.145,22.146,3.77E+05,279.41,4.76E+06,387.43,6.60E+06,F
100719Abl_FL2,27,I,13589,56.619,306.21,23.749,23.093,3.14E+05,371.32,5.05E+06,303.79,4.13E+06,F
100719Abl_FL2,28,I,10592,429.76,366.54,23.112,22.096,2.34E+05,263.08,2.79E+06,370.39,3.92E+06,F
100719Abl_FL2,29,I,10645,159.82,163.81,23.206,22.338,2.38E+05,267.56,2.85E+06,309.25,3.29E+06,F
100719Abl_FL2,30,I,16731,468.74,255.53,27.749,22.389,3.75E+05,289.68,4.85E+06,331.16,5.54E+06,F
100719Abl_FL2,31,I,15781,338.12,96.398,26.334,22.547,3.56E+05,332.35,5.24E+06,335.99,5.30E+06,F
100719Abl_FL2,32,I,9305,129.03,189.63,26.63,22.716,2.11E+05,291.42,2.71E+06,304.42,2.83E+06,F
100719Abl_FL2,35,I,13723,148.72,312.94,27.78,21.665,2.97E+05,182.8,2.51E+06,254.26,3.49E+06,F
100719Abl_FL2,37,I,10742,105.54,346.45,31.642,22.652,2.43E+05,259.75,2.79E+06,337.42,3.62E+06,F
100719Abl_FL2,38,I,15318,25.996,238.74,35.5,21.871,3.35E+05,219.02,3.36E+06,247.21,3.79E+06,F
100719Abl_FL2,39,I,10477,414.16,411.78,33.223,21.773,2.28E+05,198.09,2.08E+06,330.57,3.46E+06,F
100719Abl_FL2,40,M,14453,126.78,133.91,34.661,21.269,3.07E+05,152.73,2.21E+06,314.92,4.55E+06,F
100719Abl_FL2,41,I,18717,65.981,195.2,36.532,21.335,3.99E+05,142.92,2.67E+06,303.39,5.68E+06,F
100719Abl_FL2,43,I,8542,74.623,269.26,34.634,21.646,1.85E+05,161.87,1.38E+06,262.14,2.24E+06,F
