Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
110817Abl_BY1,2,I,11842,164.71,242.14,7.9171,450.78,5.34E+06,308.32,3.65E+06,PRE
110817Abl_BY1,3,I,9055,167.29,308.29,8.5852,318.39,2.88E+06,335.15,3.03E+06,PRE
110817Abl_BY1,4,I,14196,174.19,183.51,16.267,361.45,5.13E+06,328.04,4.66E+06,PRE
110817Abl_BY1,5,I,7486,133.74,284.11,17.811,358.35,2.68E+06,339.59,2.54E+06,PRE
110817Abl_BY1,6,I,7284,186.42,369.49,22.32,276.66,2.02E+06,347.7,2.53E+06,PRE
110817Abl_BY1,7,I,5932,160.03,301.05,23.839,271.62,1.61E+06,298.56,1.77E+06,PRE
110817Abl_BY1,9,I,15448,124,230,26,383.096,,383.718,,PRE
110817Abl_BY1,9.2,I,15448,141,216,26,316.426,,313.255,,PRE
110817Abl_BY1,10,I,2967,139.02,275.7,26.538,227.04,6.74E+05,321.27,9.53E+05,PRE
110817Abl_BY1,11,I,8047,164.62,355.34,32.34,178.66,1.44E+06,330.33,2.66E+06,PRE
110817Abl_BY1,12,I,6381,156.58,187.95,34.362,227.91,1.45E+06,331.04,2.11E+06,PRE
110817Abl_BY1,14,I,11411,126,290.65,36.309,158.07,1.80E+06,312.08,3.56E+06,PRE
110817Abl_BY1,15,I,6280,130.25,246.65,40.393,155.28,9.75E+05,344.23,2.16E+06,PRE
110817Abl_BY1,16,I,9759,145.11,321.36,45.155,118.66,1.16E+06,314.65,3.07E+06,PRE
110817Abl_BY1,17,I,13113,183.48,367.25,45.914,92.821,1.22E+06,307.13,4.03E+06,PRE
110817Abl_BY1,18,I,8974,159.34,181.11,48.357,145.1,1.30E+06,294.92,2.65E+06,PRE
110817Abl_BY1,19,I,965,137.35,195.4,47.976,131.22,1.27E+05,305.47,2.95E+05,PRE
110817Abl_BY1,20,I,4374,144.49,233.05,51.678,124.05,5.43E+05,284.04,1.24E+06,PRE
110817Abl_BY1,21,I,5041,136.94,294.64,52.101,92.281,4.65E+05,288.73,1.46E+06,PRE
