Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
081517Abl_BK4,1,TE,I,14939,274.3,178.64,7.0366,2314.8,3.46E+07,46.314,6.92E+05,258.77,3.87E+06,552.57,8.25E+06,1130.4,1.69E+07,
081517Abl_BK4,2,TE,I,10814,169.79,246.4,6.088,2535.7,2.74E+07,43.68,4.72E+05,118.29,1.28E+06,569,6.15E+06,1210.2,1.31E+07,
081517Abl_BK4,4,TE,I,16146,306.16,211.35,7.0548,2023.1,3.27E+07,34.016,5.49E+05,64.933,1.05E+06,577.51,9.32E+06,859.1,1.39E+07,
081517Abl_BK4,5,ICM,I,22772,282,262,19,2546.755,,297.206,,136.308,,523.208,,1337.628,,
081517Abl_BK4,5.2,ICM,I,22772,290,268,12,2870.271,,58.626,,269.523,,526.437,,1052.195,,
081517Abl_BK4,6,ICM,I,11508,208.31,185.62,14.384,1641.1,1.89E+07,75.03,8.63E+05,714.96,8.23E+06,651.67,7.50E+06,541.45,6.23E+06,
081517Abl_BK4,7,ICM,I,11734,238.24,208.35,12.177,2213.4,2.60E+07,232.19,2.72E+06,392.92,4.61E+06,544.1,6.38E+06,1149.9,1.35E+07,
081517Abl_BK4,8,TE,I,6205,236.24,241.33,11.512,2660.6,1.65E+07,40.621,2.52E+05,93.689,5.81E+05,564.03,3.50E+06,915.54,5.68E+06,
081517Abl_BK4,9,TE,I,18575,358.1,258.32,11.499,2213.9,4.11E+07,31.933,5.93E+05,149.72,2.78E+06,626.6,1.16E+07,519.27,9.65E+06,
081517Abl_BK4,10,ICM,I,15279,208.54,263.47,13.274,2576.8,3.94E+07,62.377,9.53E+05,254.28,3.89E+06,610.14,9.32E+06,1470.6,2.25E+07,
081517Abl_BK4,11,ICM,I,11280,171.3,274.79,15.218,2270.5,2.56E+07,256.75,2.90E+06,128.23,1.45E+06,539.04,6.08E+06,1222.1,1.38E+07,
081517Abl_BK4,13,TE,I,9903,201.86,145.4,17.959,2070.9,2.05E+07,34.498,3.42E+05,78.869,7.81E+05,582.21,5.77E+06,851.89,8.44E+06,
081517Abl_BK4,14,ICM,I,11087,259.08,169.98,17.813,1849.8,2.05E+07,104.11,1.15E+06,452.32,5.01E+06,525.51,5.83E+06,965.88,1.07E+07,
081517Abl_BK4,15,ICM,I,7477,158.52,222.59,16.831,2048.7,1.53E+07,77.979,5.83E+05,761.61,5.69E+06,511.96,3.83E+06,568.79,4.25E+06,
081517Abl_BK4,16,TE,I,14389,265.27,314.75,18.282,2684.8,3.86E+07,36.819,5.30E+05,81.508,1.17E+06,565.02,8.13E+06,674.52,9.71E+06,
081517Abl_BK4,17,TE,I,12576,272.84,137.5,21.714,1775.7,2.23E+07,31.393,3.95E+05,63.121,7.94E+05,594.12,7.47E+06,798.19,1.00E+07,
081517Abl_BK4,18,TE,I,14303,147.87,197.81,22.049,1746.1,2.50E+07,40.472,5.79E+05,99.414,1.42E+06,564.58,8.08E+06,548.22,7.84E+06,
081517Abl_BK4,19,ICM,I,5086,276.48,224.89,18.968,1515.7,7.71E+06,203.95,1.04E+06,155.09,7.89E+05,567.07,2.88E+06,1359.4,6.91E+06,
081517Abl_BK4,21,ICM,I,10467,190.66,304.14,23.331,1468.2,1.54E+07,167.94,1.76E+06,54.456,5.70E+05,560.63,5.87E+06,572.29,5.99E+06,
081517Abl_BK4,22,TE,I,15606,255.64,360.8,24.66,2320.4,3.62E+07,31.837,4.97E+05,76.648,1.20E+06,581.44,9.07E+06,766.38,1.20E+07,
081517Abl_BK4,23,ICM,I,6244,251.45,289.17,24.945,1821.5,1.14E+07,38.561,2.41E+05,676.23,4.22E+06,617.47,3.86E+06,279.4,1.74E+06,
081517Abl_BK4,24,TE,I,17274,348.17,339.13,28.028,2326.6,4.02E+07,31.603,5.46E+05,74.864,1.29E+06,640.17,1.11E+07,445.84,7.70E+06,
081517Abl_BK4,25,ICM,I,6893,233.99,337.18,25.254,1879.6,1.30E+07,35.96,2.48E+05,471.72,3.25E+06,586.73,4.04E+06,183.61,1.27E+06,
081517Abl_BK4,26,ICM,I,12695,235.41,183.63,25.645,1459.3,1.85E+07,213.39,2.71E+06,178.39,2.26E+06,532.2,6.76E+06,894.88,1.14E+07,
081517Abl_BK4,27,ICM,I,11168,213.6,271.19,25.372,1628,1.82E+07,160.28,1.79E+06,115.91,1.29E+06,599.91,6.70E+06,1191.4,1.33E+07,
081517Abl_BK4,28,ICM,I,12145,248.29,222.21,28.067,1069.5,1.30E+07,148.95,1.81E+06,173.06,2.10E+06,565.92,6.87E+06,805.61,9.78E+06,
081517Abl_BK4,29,ICM,I,12363,284.79,312.34,29.596,1670.7,2.07E+07,173.81,2.15E+06,207.04,2.56E+06,621.59,7.68E+06,1051.7,1.30E+07,
081517Abl_BK4,31,ICM,I,9155,185.32,210.87,31.593,873.29,8.00E+06,47.198,4.32E+05,240.5,2.20E+06,570.01,5.22E+06,265.85,2.43E+06,
081517Abl_BK4,31.2,ICM,I,9155,210,188,30,848.128,,106.566,,97.107,,551.983,,620.668,,
081517Abl_BK4,32,ICM,I,7623,272.27,279.64,31.938,1225.2,9.34E+06,36.417,2.78E+05,467.17,3.56E+06,551.92,4.21E+06,214.74,1.64E+06,
081517Abl_BK4,33,ICM,I,7975,188.54,154.84,32.605,911.65,7.27E+06,39.411,3.14E+05,441.97,3.52E+06,551.15,4.40E+06,226.51,1.81E+06,
081517Abl_BK4,34,TE,I,18962,398.55,244.46,36.597,1587.3,3.01E+07,24.337,4.61E+05,107.14,2.03E+06,580.16,1.10E+07,454.56,8.62E+06,
081517Abl_BK4,35,TE,I,14258,244.51,133.94,37.872,1084.9,1.55E+07,25.882,3.69E+05,63.188,9.01E+05,582.78,8.31E+06,371.2,5.29E+06,
