Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
121818Abl_EE2,2,TE,I,10746,290.21,195.94,6.0985,1813.8,1.95E+07,25.373,2.73E+05,51.749,5.56E+05,1275.3,1.37E+07,609.93,6.55E+06,
121818Abl_EE2,3,TE,I,12268,209.83,227.56,5.991,1989.8,2.44E+07,26.366,3.23E+05,38.578,4.73E+05,1226.8,1.51E+07,104.57,1.28E+06,
121818Abl_EE2,4,TE,I,9208,300.3,241.1,6.2205,2237.2,2.06E+07,29.321,2.70E+05,65.522,6.03E+05,1265.1,1.16E+07,445.93,4.11E+06,
121818Abl_EE2,6,TE,I,19966,264.25,165.96,7.1507,1408.7,2.81E+07,23.025,4.60E+05,37.727,7.53E+05,1268.1,2.53E+07,259.98,5.19E+06,
121818Abl_EE2,8,TE,I,18895,288.43,293.29,7.5666,1542.2,2.91E+07,20.769,3.92E+05,31.74,6.00E+05,1306,2.47E+07,158.41,2.99E+06,
121818Abl_EE2,10,TE,I,20270,341.91,262.71,9.2996,1279.4,2.59E+07,22.173,4.49E+05,30.904,6.26E+05,1284.6,2.60E+07,82.318,1.67E+06,
121818Abl_EE2,12,TE,I,18053,197.29,287.43,11.299,1786.5,3.23E+07,37.153,6.71E+05,31.701,5.72E+05,1220.4,2.20E+07,129.18,2.33E+06,
121818Abl_EE2,15,TE,I,19729,165,235,11,2312.776,,33.493,,30.984,,1154.295,,108.415,,
121818Abl_EE2,15.2,ICM,I,19729,167,237,20,2347.055,,358.414,,56.376,,1156.284,,1015.593,,
121818Abl_EE2,16,TE,I,10567,344.92,179.12,14.577,2253.2,2.38E+07,27.131,2.87E+05,45.898,4.85E+05,1235.9,1.31E+07,120.98,1.28E+06,
121818Abl_EE2,18,TE,I,11659,164,167,17,2374.098,,25.323,,30.223,,1175.234,,95.159,,
121818Abl_EE2,18.2,TE,I,11659,149,187,17,2479.189,,28.37,,28.242,,1246.901,,115.323,,
121818Abl_EE2,19,TE,I,12210,249.4,335.64,18.507,2003,2.45E+07,22.224,2.71E+05,31.681,3.87E+05,1264.6,1.54E+07,239.7,2.93E+06,
121818Abl_EE2,22,TE,I,12497,300.47,132.45,20.368,1821.7,2.28E+07,24.283,3.03E+05,42.693,5.34E+05,1206.5,1.51E+07,192.48,2.41E+06,
121818Abl_EE2,23,ICM,I,10767,186.64,194.86,21.563,1919.4,2.07E+07,387.27,4.17E+06,49.71,5.35E+05,1217.8,1.31E+07,819.63,8.83E+06,
121818Abl_EE2,24,TE,I,9249,287.88,352.38,23.871,2406.2,2.23E+07,26.92,2.49E+05,46.002,4.25E+05,1258.9,1.16E+07,631.74,5.84E+06,
121818Abl_EE2,25,TE,I,13002,243.69,115.42,25.616,1703.7,2.22E+07,21.256,2.76E+05,31.67,4.12E+05,1205.4,1.57E+07,164.19,2.13E+06,
121818Abl_EE2,26,TE,I,5457,381.69,171.81,23.328,1686.3,9.20E+06,25.687,1.40E+05,39.107,2.13E+05,1223.7,6.68E+06,107.51,5.87E+05,
121818Abl_EE2,27,TE,I,3771,389.04,191.89,22.402,1680.9,6.34E+06,24.043,90668,39.115,1.48E+05,1273.7,4.80E+06,89.635,3.38E+05,
121818Abl_EE2,29,TE,I,15053,124,251,22,2183.454,,34.727,,29.397,,1399.22,,111.632,,
121818Abl_EE2,29.2,ICM,I,15053,129,250,30,2220.085,,362.986,,49.993,,1464.546,,1034.028,,
121818Abl_EE2,30,ICM,I,4542,161.62,273.96,25.205,2088.2,9.48E+06,383.08,1.74E+06,51.941,2.36E+05,1213.4,5.51E+06,1149.7,5.22E+06,
121818Abl_EE2,31,ICM,I,5230,192.17,305.08,24.008,2293,1.20E+07,450.34,2.36E+06,56.732,2.97E+05,1215.1,6.36E+06,1359.6,7.11E+06,
121818Abl_EE2,32,TE,I,9494,407.47,243.23,25.441,1847.8,1.75E+07,25.626,2.43E+05,39.515,3.75E+05,1163.2,1.10E+07,108.58,1.03E+06,
121818Abl_EE2,33,TE,I,8407,384.79,301.37,25.979,2211.1,1.86E+07,26.226,2.20E+05,50.85,4.28E+05,1187,9.98E+06,216.63,1.82E+06,
121818Abl_EE2,34,TE,I,8500,151.02,316.86,26.45,1764.3,1.50E+07,24.485,2.08E+05,27.216,2.31E+05,1324.1,1.13E+07,87.582,7.44E+05,
121818Abl_EE2,35,TE,I,7356,324.63,347.79,25.896,2393.7,1.76E+07,27.01,1.99E+05,48.054,3.53E+05,1235.1,9.09E+06,441.71,3.25E+06,
121818Abl_EE2,36,TE,I,9406,349.71,132.44,28.565,1811.6,1.70E+07,23.33,2.19E+05,38.726,3.64E+05,1237.1,1.16E+07,165.33,1.56E+06,
121818Abl_EE2,39,TE,I,12111,165.4,125.37,33.809,1706.8,2.07E+07,34.029,4.12E+05,26.91,3.26E+05,1333.2,1.61E+07,118.2,1.43E+06,
121818Abl_EE2,40,ICM,I,9455,174.19,154.68,31.037,1579.2,1.49E+07,254.41,2.41E+06,49.7,4.70E+05,1177.8,1.11E+07,958.53,9.06E+06,
121818Abl_EE2,41,ICM,I,5537,184.61,320.19,31.031,1912.5,1.06E+07,295.93,1.64E+06,42.244,2.34E+05,1234,6.83E+06,667.35,3.70E+06,
121818Abl_EE2,42,TE,I,11467,357.16,341.15,33.413,1755,2.01E+07,24.019,2.75E+05,41.718,4.78E+05,1294.5,1.48E+07,229.65,2.63E+06,
121818Abl_EE2,43,TE,I,6807,251.84,364.92,32.703,1712.4,1.17E+07,21.983,1.50E+05,29.216,1.99E+05,1271.1,8.65E+06,119.11,8.11E+05,
121818Abl_EE2,44,TE,I,14789,114.13,171.34,38.222,1622.7,2.40E+07,28.207,4.17E+05,25.188,3.73E+05,1249.3,1.85E+07,89.206,1.32E+06,
121818Abl_EE2,45,ICM,I,7039,134.19,188.34,33.076,1660.4,1.17E+07,375.82,2.65E+06,42.721,3.01E+05,1260,8.87E+06,682.81,4.81E+06,
121818Abl_EE2,46,TE,I,15400,93.845,243.78,36.047,2214.6,3.41E+07,50.125,7.72E+05,42.841,6.60E+05,1200.9,1.85E+07,73.201,1.13E+06,
121818Abl_EE2,47,TE,I,10277,401.37,150.55,37.986,1550.1,1.59E+07,22.356,2.30E+05,35.652,3.66E+05,1291.6,1.33E+07,98.494,1.01E+06,
121818Abl_EE2,48,ICM,I,7094,164.5,312.8,36.78,1691.4,1.20E+07,241.48,1.71E+06,40.081,2.84E+05,1303.8,9.25E+06,688.65,4.89E+06,
121818Abl_EE2,49,TE,I,6539,418.09,279.1,37.193,1330.1,8.70E+06,24.081,1.57E+05,38.186,2.50E+05,1324.9,8.66E+06,105.8,6.92E+05,
121818Abl_EE2,50,TE,I,18054,318.23,96.531,40.797,1218.2,2.20E+07,17.296,3.12E+05,20.474,3.70E+05,1335,2.41E+07,61.271,1.11E+06,
121818Abl_EE2,51,TE,I,7416,428.27,218.85,38.8,1852.7,1.37E+07,20.998,1.56E+05,39.585,2.94E+05,1278.4,9.48E+06,484.96,3.60E+06,
121818Abl_EE2,52,ICM,I,8872,128.48,250.9,40.606,1746.7,1.55E+07,292.6,2.60E+06,39.441,3.50E+05,1440.2,1.28E+07,696.73,6.18E+06,
