Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
121917Abl_CE4,1,TE,I,4801,139.07,255.35,3.7592,1647.8,7.91E+06,48.63,2.33E+05,111.05,5.33E+05,634.2,3.04E+06,1106.5,5.31E+06,
121917Abl_CE4,2,TE,I,14914,302.47,190.98,6.0625,1697.2,2.53E+07,36.461,5.44E+05,58.799,8.77E+05,644.78,9.62E+06,128.58,1.92E+06,
121917Abl_CE4,3,TE,I,16464,184.4,243.25,6.8952,1525.1,2.51E+07,37.271,6.14E+05,92.502,1.52E+06,583.4,9.61E+06,116.03,1.91E+06,
121917Abl_CE4,5,TE,I,10452,345.71,219.85,8.2399,2084.5,2.18E+07,33.29,3.48E+05,51.639,5.40E+05,663.64,6.94E+06,126.94,1.33E+06,
121917Abl_CE4,7,TE,I,16321,272.37,250.12,8.9187,1700.1,2.77E+07,35.934,5.86E+05,53.365,8.71E+05,640.16,1.04E+07,157.18,2.57E+06,
121917Abl_CE4,8,TE,I,6851,119.78,280.9,9.5929,1366,9.36E+06,37.497,2.57E+05,128.66,8.81E+05,655.54,4.49E+06,124.05,8.50E+05,
121917Abl_CE4,9,TE,I,28276,232.35,311.28,11.846,1664.2,4.71E+07,88.678,2.51E+06,44.711,1.26E+06,640.39,1.81E+07,203.78,5.76E+06,
121917Abl_CE4,9.2,TE,I,28276,238,328,16,1895.393,,43.868,,48.395,,640.781,,154.892,,
121917Abl_CE4,10,TE,I,6510,285.42,284.96,10.863,1862.6,1.21E+07,31.947,2.08E+05,58.052,3.78E+05,630.88,4.11E+06,145.94,9.50E+05,
121917Abl_CE4,11,TE,I,10304,137.24,198.71,14.402,1095.9,1.13E+07,48.756,5.02E+05,86.123,8.87E+05,610.24,6.29E+06,696.77,7.18E+06,
121917Abl_CE4,12,ICM,I,4266,155.68,284.76,10.88,1276.5,5.45E+06,54.487,2.32E+05,660.89,2.82E+06,623.85,2.66E+06,118.18,5.04E+05,
