Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
031919Abl_ET2,5,TE,I,9226,239.86,228.28,4.5391,2387.2,2.20E+07,28.638,2.64E+05,47.61,4.39E+05,1219,1.12E+07,638.43,5.89E+06
031919Abl_ET2,8,TE,I,40086,326.13,262.51,6.8191,2344.6,9.40E+07,29.502,1.18E+06,50.651,2.03E+06,1212.8,4.86E+07,188.08,7.54E+06
031919Abl_ET2,8.2,TE,I,40086,342,274,7,3632.613,,35.586,,67.101,,1181.019,,271.956,
031919Abl_ET2,9,TE,I,8841,270.13,325.96,5.7948,2539,2.24E+07,34.822,3.08E+05,75.313,6.66E+05,1228.7,1.09E+07,412.71,3.65E+06
031919Abl_ET2,11,TE,I,15001,240.81,287.98,7.1499,1781.9,2.67E+07,26.773,4.02E+05,36.725,5.51E+05,1226,1.84E+07,107.53,1.61E+06
031919Abl_ET2,12,TE,I,12175,313.15,170.64,9.6709,2132.5,2.60E+07,23.482,2.86E+05,44.141,5.37E+05,1230.1,1.50E+07,550.58,6.70E+06
031919Abl_ET2,13,TE,I,12501,189.35,244.9,9.1253,2264,2.83E+07,24.846,3.11E+05,37.261,4.66E+05,1270.3,1.59E+07,123.19,1.54E+06
031919Abl_ET2,15,TE,I,8175,356.79,167.8,12.416,2713.8,2.22E+07,26.35,2.15E+05,48.688,3.98E+05,1228.3,1.00E+07,585.55,4.79E+06
031919Abl_ET2,17,TE,I,8192,314.19,345.97,13.411,2444.8,2.00E+07,27.041,2.22E+05,49.408,4.05E+05,1213.8,9.94E+06,173.23,1.42E+06
031919Abl_ET2,18,TE,I,12272,335.96,319.99,14.233,2530,3.10E+07,27.618,3.39E+05,47.009,5.77E+05,1202.4,1.48E+07,172.74,2.12E+06
031919Abl_ET2,19,TE,I,9405,206.18,341.75,14.794,2399.7,2.26E+07,27.509,2.59E+05,42.51,4.00E+05,1222.8,1.15E+07,138.23,1.30E+06
031919Abl_ET2,21,TE,I,10463,169.51,300.15,16.872,2405.7,2.52E+07,26.475,2.77E+05,39.041,4.08E+05,1222.9,1.28E+07,127.12,1.33E+06
031919Abl_ET2,22,TE,I,7382,245.47,393.93,16.1,2235.5,1.65E+07,26.402,1.95E+05,47.604,3.51E+05,1237.1,9.13E+06,532.45,3.93E+06
031919Abl_ET2,23,TE,I,12267,371.69,294.97,18.15,2444.7,3.00E+07,29.84,3.66E+05,43.421,5.33E+05,1211.1,1.49E+07,162.85,2.00E+06
031919Abl_ET2,24,TE,I,6607,399.36,182.32,18.883,3112,2.06E+07,27.445,1.81E+05,50.164,3.31E+05,1135,7.50E+06,440.53,2.91E+06
031919Abl_ET2,26,TE,I,12749,126.3,208.47,18.501,2918.8,3.72E+07,32.495,4.14E+05,41.635,5.31E+05,1092.3,1.39E+07,115.34,1.47E+06
031919Abl_ET2,29,ICM,I,8634,154.79,187.22,20.269,2886.6,2.49E+07,35.39,3.06E+05,713.26,6.16E+06,1159.2,1.00E+07,140.76,1.22E+06
031919Abl_ET2,30,ICM,I,14489,126.29,261.81,18.993,2251.2,3.26E+07,37.321,5.41E+05,532.26,7.71E+06,1201.2,1.74E+07,128.79,1.87E+06
031919Abl_ET2,32,TE,I,10991,178.91,157.45,21.672,2864.7,3.15E+07,24.073,2.65E+05,36.495,4.01E+05,1278.9,1.41E+07,109.01,1.20E+06
031919Abl_ET2,33,TE,I,7352,228.69,137.77,21.893,2901.4,2.13E+07,25.373,1.87E+05,43.045,3.16E+05,1253.1,9.21E+06,615.77,4.53E+06
031919Abl_ET2,34,TE,I,12027,108.1,287.01,23.223,2768.5,3.33E+07,32.788,3.94E+05,46.225,5.56E+05,1165.2,1.40E+07,137.1,1.65E+06
031919Abl_ET2,35,TE,I,11693,393.33,336.49,22.951,2683.6,3.14E+07,30.598,3.58E+05,43.462,5.08E+05,1194.4,1.40E+07,167.25,1.96E+06
031919Abl_ET2,36,TE,I,12109,330.96,118.21,24.241,2486.9,3.01E+07,22.277,2.70E+05,40.79,4.94E+05,1218.8,1.48E+07,505.75,6.12E+06
031919Abl_ET2,37,TE,I,6811,108.68,196.99,29.884,2388.1,1.63E+07,43.217,2.94E+05,90.33,6.15E+05,1149,7.83E+06,70.131,4.78E+05
