Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
080117Abl_BA8,2,TE,I,13278,208.2,225.31,7.0129,2773,3.68E+07,444.46,5.90E+06,63.624,8.45E+05,737.6,9.79E+06,342.76,4.55E+06,
080117Abl_BA8,3,TE,I,12457,260.56,276.41,7.5503,2770.9,3.45E+07,547.28,6.82E+06,66.217,8.25E+05,775.77,9.66E+06,239.86,2.99E+06,
080117Abl_BA8,4,TE,I,12455,297.19,215.98,7.6743,2852,3.55E+07,443.86,5.53E+06,70.891,8.83E+05,702.21,8.75E+06,377.97,4.71E+06,
080117Abl_BA8,5,TE,I,5607,246.44,213.1,7.7102,2448.3,1.37E+07,433.93,2.43E+06,47.16,2.64E+05,870.16,4.88E+06,280.19,1.57E+06,
080117Abl_BA8,7,TE,I,6209,246.16,169.31,11.627,3012.1,1.87E+07,472.49,2.93E+06,64.028,3.98E+05,702.49,4.36E+06,341.97,2.12E+06,
080117Abl_BA8,8,TE,I,6022,206.55,188.06,11.309,2673.5,1.61E+07,478.26,2.88E+06,47.214,2.84E+05,808.97,4.87E+06,414.82,2.50E+06,
080117Abl_BA8,9,TE,I,13088,340.96,208,12.12,2459.2,3.22E+07,464.41,6.08E+06,76.286,9.98E+05,736.24,9.64E+06,238.09,3.12E+06,
080117Abl_BA8,10,TE,I,11819,314.97,293.26,12.036,2938.6,3.47E+07,313.16,3.70E+06,182.7,2.16E+06,806.72,9.53E+06,253.53,3.00E+06,
080117Abl_BA8,11,TE,I,5350,221.36,164.51,12.936,3254.7,1.74E+07,601.55,3.22E+06,48.768,2.61E+05,725.81,3.88E+06,454.44,2.43E+06,
080117Abl_BA8,12,TE,I,4295,281.37,175.86,12.368,3374.7,1.45E+07,407.18,1.75E+06,41.529,1.78E+05,693.14,2.98E+06,275.93,1.19E+06,
080117Abl_BA8,13,ICM,I,7157,192.82,256.21,12.873,2161.1,1.55E+07,26.311,1.88E+05,646.72,4.63E+06,747.51,5.35E+06,222.61,1.59E+06,
080117Abl_BA8,15,TE,I,9876,371.55,244.33,16.721,3217.5,3.18E+07,318.52,3.15E+06,97.997,9.68E+05,730.27,7.21E+06,222.21,2.19E+06,
080117Abl_BA8,16,TE,I,12994,186.46,301.92,16.582,2763.3,3.59E+07,477.3,6.20E+06,54.629,7.10E+05,766.87,9.96E+06,456.58,5.93E+06,
080117Abl_BA8,17,TE,I,11395,305.17,166.8,18.668,2355.6,2.68E+07,331.5,3.78E+06,41.83,4.77E+05,795.07,9.06E+06,165.02,1.88E+06,
080117Abl_BA8,19,TE,I,10325,285.02,290.07,17.288,2434.4,2.51E+07,392.8,4.06E+06,56.639,5.85E+05,755.11,7.80E+06,346.56,3.58E+06,
080117Abl_BA8,20,ICM,I,9814,265.55,241.46,18.433,1290.3,1.27E+07,189.76,1.86E+06,282.55,2.77E+06,744.78,7.31E+06,302.14,2.97E+06,
080117Abl_BA8,21,ICM,I,8767,216.5,220.2,19.096,1764.6,1.55E+07,37.374,3.28E+05,101.69,8.91E+05,714.8,6.27E+06,608.24,5.33E+06,
080117Abl_BA8,21.2,ICM,I,8767,206,239,26,983.89,,26.12,,234.673,,764.856,,367.537,,
080117Abl_BA8,22,TE,I,6967,359.81,300.18,24.103,3045.9,2.12E+07,264.26,1.84E+06,35.105,2.45E+05,734.89,5.12E+06,150.93,1.05E+06,
080117Abl_BA8,23,TE,I,5943,240.61,156.37,21.486,2209.9,1.31E+07,390.47,2.32E+06,83.143,4.94E+05,756.05,4.49E+06,347.34,2.06E+06,
080117Abl_BA8,24,TE,I,6073,165.54,174.71,24.126,2474.5,1.50E+07,474.46,2.88E+06,42.355,2.57E+05,832.78,5.06E+06,346,2.10E+06,
080117Abl_BA8,25,ICM,I,12297,209.19,190.6,23.827,1681.4,2.07E+07,38.636,4.75E+05,78.514,9.65E+05,794.48,9.77E+06,696.8,8.57E+06,
080117Abl_BA8,26,TE,I,8088,137.2,249.95,26.799,2077.4,1.68E+07,342.46,2.77E+06,41.915,3.39E+05,817.26,6.61E+06,242.97,1.97E+06,
080117Abl_BA8,27,ICM,I,7812,167.63,266.09,23.578,1784.8,1.39E+07,24.444,1.91E+05,348.47,2.72E+06,748.62,5.85E+06,602.64,4.71E+06,
080117Abl_BA8,28,ICM,I,5070,253.8,295.03,22.515,1758.2,8.91E+06,35.394,1.79E+05,281.07,1.43E+06,711.62,3.61E+06,532.27,2.70E+06,
080117Abl_BA8,28.2,ICM,I,5070,232,280,21,1382.747,,76.464,,103.592,,761.677,,523.14,,
080117Abl_BA8,29,TE,I,4286,292.44,145.35,24.722,2058.8,8.82E+06,262.29,1.12E+06,42.176,1.81E+05,785.33,3.37E+06,232.97,9.99E+05,
080117Abl_BA8,30,ICM,I,16404,172,201,27,1849.135,,27.648,,463.735,,816.705,,379.961,,
080117Abl_BA8,30.2,ICM,I,16404,199,189,38,1061.848,,20.759,,84.602,,737.778,,396.599,,
080117Abl_BA8,31,TE,I,7552,361.93,218.85,29.825,1113.4,8.41E+06,231.96,1.75E+06,80.229,6.06E+05,723.6,5.46E+06,205.2,1.55E+06,
080117Abl_BA8,32,TE,I,9133,268.08,142.73,32.376,1560.7,1.43E+07,242.7,2.22E+06,31.916,2.91E+05,807.28,7.37E+06,202.04,1.85E+06,
080117Abl_BA8,33,TE,I,10242,340.4,178.27,31.183,1440.8,1.48E+07,190.68,1.95E+06,35.891,3.68E+05,742.98,7.61E+06,110.02,1.13E+06,
080117Abl_BA8,34,ICM,I,2143,205.62,279.63,26.216,955.8,2.05E+06,26.237,56225,188.77,4.05E+05,660,1.41E+06,413.25,8.86E+05,
080117Abl_BA8,35,TE,I,13816,299.36,310.76,32.711,1264,1.75E+07,232.98,3.22E+06,39.169,5.41E+05,778.64,1.08E+07,222.65,3.08E+06,
080117Abl_BA8,36,TE,I,13349,200.16,153.26,35.808,1418.5,1.89E+07,254.24,3.39E+06,32.532,4.34E+05,768.66,1.03E+07,222.87,2.98E+06,
080117Abl_BA8,37,TE,I,5560,315.28,156.21,31.484,1444.6,8.03E+06,247.92,1.38E+06,48.314,2.69E+05,773.85,4.30E+06,175.07,9.73E+05,
080117Abl_BA8,39,ICM,I,8494,261.75,305.49,31.759,1105.6,9.39E+06,26.685,2.27E+05,355.59,3.02E+06,755.15,6.41E+06,141.52,1.20E+06,
080117Abl_BA8,40,ICM,I,10300,207.17,311.75,33.369,1267.9,1.31E+07,26.328,2.71E+05,409.19,4.21E+06,739.42,7.62E+06,182.79,1.88E+06,
080117Abl_BA8,41,ICM,I,1846,187.68,230.11,31.391,1025.4,1.89E+06,19.161,35372,80.505,1.49E+05,693.98,1.28E+06,402.67,7.43E+05,
080117Abl_BA8,42,ICM,I,14040,240,272,32,969.819,,30.056,,224.65,,718.501,,369.983,,
080117Abl_BA8,43,TE,I,7721,150.3,295.29,36.596,1725.3,1.33E+07,265.48,2.05E+06,49.922,3.85E+05,767.95,5.93E+06,227.06,1.75E+06,
080117Abl_BA8,44,ICM,I,8004,188.43,291.65,40.078,954.71,7.64E+06,18.021,1.44E+05,115.92,9.28E+05,751.26,6.01E+06,284.28,2.28E+06,
080117Abl_BA8,45,ICM,I,13969,237.63,204.03,42.574,574.32,8.02E+06,18.128,2.53E+05,38.345,5.36E+05,701.2,9.80E+06,255.18,3.56E+06,
080117Abl_BA8,46,TE,I,13555,232.49,324.36,44.232,912.54,1.24E+07,152.63,2.07E+06,49.724,6.74E+05,735.61,9.97E+06,156.1,2.12E+06,
080117Abl_BA8,47,ICM,I,20757,154.33,234.43,43.222,807.39,1.68E+07,19.515,4.05E+05,251.25,5.22E+06,748.62,1.55E+07,109.97,2.28E+06,
080117Abl_BA8,48,TE,I,11767,344.83,180.33,42.684,1099.7,1.29E+07,158.26,1.86E+06,62.345,7.34E+05,664.03,7.81E+06,135.6,1.60E+06,
080117Abl_BA8,49,ICM,I,8254,210.56,230.05,37.865,656.18,5.42E+06,18.557,1.53E+05,125.75,1.04E+06,762.68,6.30E+06,177.65,1.47E+06,
080117Abl_BA8,50,ICM,I,5174,185.24,255.01,40.879,681.41,3.53E+06,18.435,95381,66.478,3.44E+05,725.96,3.76E+06,320.02,1.66E+06,
080117Abl_BA8,51,TE,I,7565,295.66,147.01,42.853,710.78,5.38E+06,130.75,9.89E+05,26.104,1.97E+05,664.81,5.03E+06,112.61,8.52E+05,
080117Abl_BA8,52,ICM,I,1739,267.01,268.52,41.706,599.14,1.04E+06,20.564,35761,72.945,1.27E+05,791.98,1.38E+06,275.81,4.80E+05,
080117Abl_BA8,53,TE,I,11116,356.61,228.73,44.98,507.73,5.64E+06,98.699,1.10E+06,42.946,4.77E+05,570.05,6.34E+06,112,1.25E+06,
080117Abl_BA8,54,TE,I,13734,348.78,264.16,48.357,588.01,8.08E+06,86.633,1.19E+06,26.705,3.67E+05,843.65,1.16E+07,113.08,1.55E+06,
080117Abl_BA8,55,TE,I,14699,309.67,299.84,46.11,640.32,9.41E+06,131.5,1.93E+06,47.191,6.94E+05,670.76,9.86E+06,115.62,1.70E+06,
080117Abl_BA8,56,TE,I,13222,260.11,153.41,46.978,676.83,8.95E+06,134.63,1.78E+06,25.039,3.31E+05,708.36,9.37E+06,98.898,1.31E+06,
080117Abl_BA8,57,ICM,I,14950,171,207,46,766.892,,19.839,,225.141,,771.123,,106.244,,
080117Abl_BA8,57.2,TE,I,14950,177,182,52,724.851,,131.268,,59.458,,786.052,,137.16,,
080117Abl_BA8,59,ICM,I,1933,219.91,286.49,48.646,528.639,,19.222,,168.267,,630.238,,83.006,,
080117Abl_BA8,60,ICM,I,10921,234.59,252.59,51.853,436.6,4.77E+06,20.284,2.22E+05,75.99,8.30E+05,656.45,7.17E+06,208.34,2.28E+06,
