Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
080117Abl_BD1,1,TE,I,11700,255.8,209.8,4.2355,2584.1,3.02E+07,39.999,4.68E+05,55.472,6.49E+05,962.93,1.13E+07,697.91,8.17E+06,
080117Abl_BD1,2,TE,I,8170,182.45,266.13,4.3807,2153.8,1.76E+07,37.497,3.06E+05,44.391,3.63E+05,914.81,7.47E+06,436.18,3.56E+06,
080117Abl_BD1,3,TE,I,9771,251.56,333,4.5902,2102.3,2.05E+07,35.466,3.47E+05,36.21,3.54E+05,939.06,9.18E+06,175.32,1.71E+06,
080117Abl_BD1,4,TE,I,7954,307.13,217.49,4.9246,2593.1,2.06E+07,45.742,3.64E+05,250.06,1.99E+06,946.27,7.53E+06,540.01,4.30E+06,
080117Abl_BD1,5,TE,I,10613,321.2,303.54,5.1787,2094.8,2.22E+07,38.909,4.13E+05,178.18,1.89E+06,925.31,9.82E+06,399.87,4.24E+06,
080117Abl_BD1,6,TE,I,14859,356.17,228.46,7.3194,2899.2,4.31E+07,36.119,5.37E+05,43.448,6.46E+05,900.19,1.34E+07,427.07,6.35E+06,
080117Abl_BD1,7,TE,I,6928,376.68,281.06,10.999,2785.5,1.93E+07,36.208,2.51E+05,55.507,3.85E+05,948.38,6.57E+06,309.87,2.15E+06,
080117Abl_BD1,8,TE,I,10902,317.43,156.02,12.299,2775.7,3.03E+07,34.785,3.79E+05,52.478,5.72E+05,958.51,1.05E+07,353.27,3.85E+06,
080117Abl_BD1,9,TE,I,26228,127.3,306.91,13.271,1395.2,3.66E+07,33.526,8.79E+05,38.794,1.02E+06,869.88,2.28E+07,75.656,1.98E+06,
080117Abl_BD1,10,TE,I,8176,383.85,315.37,17.258,2447.5,2.00E+07,35.594,2.91E+05,97.935,8.01E+05,967.2,7.91E+06,358,2.93E+06,
080117Abl_BD1,11,TE,I,7885,175.96,363.82,17.529,1933.6,1.52E+07,33.455,2.64E+05,30.856,2.43E+05,921.83,7.27E+06,134.53,1.06E+06,
080117Abl_BD1,12,TE,I,6749,329.82,377.6,17.983,2809.3,1.90E+07,38.115,2.57E+05,52.624,3.55E+05,917.74,6.19E+06,481,3.25E+06,
080117Abl_BD1,13,TE,I,9071,170.56,173.3,20.263,1803.6,1.64E+07,31.238,2.83E+05,37.982,3.45E+05,903.19,8.19E+06,405.74,3.68E+06,
080117Abl_BD1,14,TE,I,7274,136.8,205.8,19.135,2019,1.47E+07,49.861,3.63E+05,36.359,2.64E+05,909.96,6.62E+06,306.02,2.23E+06,
080117Abl_BD1,15,ICM,I,10614,117.76,253.52,18.673,1205.5,1.28E+07,38.57,4.09E+05,263.02,2.79E+06,876.32,9.30E+06,68.145,7.23E+05,
080117Abl_BD1,16,TE,I,8395,248.22,128.13,20.894,2112.1,1.77E+07,34.402,2.89E+05,40.623,3.41E+05,969.22,8.14E+06,372.82,3.13E+06,
080117Abl_BD1,17,ICM,I,10597,153.33,264.79,21.778,1607.7,1.70E+07,558.04,5.91E+06,41.231,4.37E+05,866.85,9.19E+06,473.37,5.02E+06,
080117Abl_BD1,18,TE,I,8017,417.56,246.45,23.204,2547.7,2.04E+07,34.73,2.78E+05,63.779,5.11E+05,977.58,7.84E+06,285.44,2.29E+06,
080117Abl_BD1,19,TE,I,11876,404.49,170.76,27.139,3057.2,3.63E+07,31.724,3.77E+05,33.709,4.00E+05,976.69,1.16E+07,209.18,2.48E+06,
080117Abl_BD1,20,TE,I,6613,311.97,111.74,26.16,2587.7,1.71E+07,30.245,2.00E+05,38.73,2.56E+05,1001.6,6.62E+06,280.63,1.86E+06,
080117Abl_BD1,21,TE,I,11381,79.247,221.39,27.815,1595.3,1.82E+07,30.902,3.52E+05,48.782,5.55E+05,890.88,1.01E+07,120.24,1.37E+06,
080117Abl_BD1,22,TE,I,10465,249.02,412.59,28.314,1671.4,1.75E+07,30.569,3.20E+05,33.532,3.51E+05,892.51,9.34E+06,334.89,3.50E+06,
080117Abl_BD1,23,ICM,I,10984,94.499,310.66,28.072,1302,1.43E+07,38.028,4.18E+05,137.59,1.51E+06,886.31,9.74E+06,73.893,8.12E+05,
080117Abl_BD1,24,ICM,I,7624,145.23,223.32,26.519,1378.7,1.05E+07,457.71,3.49E+06,45.302,3.45E+05,877.53,6.69E+06,706.96,5.39E+06,
080117Abl_BD1,25,ICM,I,14169,134.24,319.97,28.083,1323.3,1.88E+07,30.632,4.34E+05,165.62,2.35E+06,807.62,1.14E+07,55.637,7.88E+05,
080117Abl_BD1,26,ICM,I,12094,83.721,260.9,31.941,1418.7,1.72E+07,323.96,3.92E+06,50.756,6.14E+05,885.11,1.07E+07,620.39,7.50E+06,
