Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
102218Abl_DX6,2,TE,I,19857,265.61,192.93,6.3672,2138,4.25E+07,29.268,5.81E+05,86.9,1.73E+06,1303.9,2.59E+07,666.68,1.32E+07,
102218Abl_DX6,4,TE,I,15939,328.67,257.14,7.0364,1452,2.31E+07,32.096,5.12E+05,58.231,9.28E+05,1287.5,2.05E+07,419.97,6.69E+06,
102218Abl_DX6,5,TE,I,14671,261.74,326.57,6.7578,1951.5,2.86E+07,32.739,4.80E+05,82.77,1.21E+06,1284.5,1.88E+07,403.38,5.92E+06,
102218Abl_DX6,6,TE,I,24021,184.94,356.2,10.062,1578.4,3.79E+07,23.493,5.64E+05,39.98,9.60E+05,1277.1,3.07E+07,483.49,1.16E+07,
102218Abl_DX6,7,TE,I,11950,323.63,318.92,10.022,1742.6,2.08E+07,29.863,3.57E+05,34.837,4.16E+05,1318,1.58E+07,496.32,5.93E+06,
102218Abl_DX6,8,TE,I,11613,341.73,192.61,14.32,2550.6,2.96E+07,32.821,3.81E+05,52.434,6.09E+05,1329,1.54E+07,309.81,3.60E+06,
102218Abl_DX6,9,TE,I,17836,153.82,273.43,14.563,1851.7,3.30E+07,26.791,4.78E+05,55.738,9.94E+05,1252.9,2.23E+07,843.58,1.50E+07,
102218Abl_DX6,10,TE,I,16596,241.74,171.56,15.305,2143,3.56E+07,27.469,4.56E+05,77.984,1.29E+06,1315.2,2.18E+07,627.88,1.04E+07,
102218Abl_DX6,11,TE,I,8821,254.15,386.24,15.611,2559.9,2.26E+07,36.909,3.26E+05,152.89,1.35E+06,1251.7,1.10E+07,626.03,5.52E+06,
102218Abl_DX6,13,TE,I,7534,373.1,331.17,18.29,2543.2,1.92E+07,31.361,2.36E+05,413.65,3.12E+06,1282.7,9.66E+06,476.54,3.59E+06,
102218Abl_DX6,14,TE,I,7863,389.07,225.62,20.312,2491.6,1.96E+07,32.334,2.54E+05,228.23,1.79E+06,1313.7,1.03E+07,528.42,4.16E+06,
102218Abl_DX6,15,TE,I,8837,398.29,275.74,21.76,2141.2,1.89E+07,31.018,2.74E+05,156.09,1.38E+06,1311.8,1.16E+07,447.09,3.95E+06,
102218Abl_DX6,16,TE,I,14889,142.26,182.51,23.16,1883.5,2.80E+07,26.107,3.89E+05,35.871,5.34E+05,1294.8,1.93E+07,697.31,1.04E+07,
102218Abl_DX6,17,TE,I,7887,93.21,284.86,26.728,1878.5,1.48E+07,31.496,2.48E+05,54.62,4.31E+05,1338.3,1.06E+07,346.92,2.74E+06,
102218Abl_DX6,18,TE,I,12020,336.85,133.22,29.494,2221.9,2.67E+07,27.026,3.25E+05,39.529,4.75E+05,1276.9,1.53E+07,243.62,2.93E+06,
102218Abl_DX6,21,TE,I,7834,386.38,358.1,30.281,2161.5,1.69E+07,27.687,2.17E+05,222.4,1.74E+06,1338.1,1.05E+07,430.65,3.37E+06,
102218Abl_DX6,22,ICM,I,13142,112.68,258.48,35.511,1506.4,1.98E+07,198.91,2.61E+06,45.266,5.95E+05,1372.6,1.80E+07,1164.9,1.53E+07,
102218Abl_DX6,24,TE,I,14534,86.954,215.08,35.9,1678.8,2.44E+07,56.215,8.17E+05,36.832,5.35E+05,1323.9,1.92E+07,492.24,7.15E+06,
102218Abl_DX6,26,TE,I,9186,324.06,400.66,33.407,1618.5,1.49E+07,26.493,2.43E+05,396.2,3.64E+06,1251.8,1.15E+07,475.39,4.37E+06,
102218Abl_DX6,27,TE,I,11389,207.66,109.53,37.222,2045.7,2.33E+07,25.69,2.93E+05,32.445,3.70E+05,1328.5,1.51E+07,290.11,3.30E+06,
102218Abl_DX6,28,TE,I,9674,146.49,405.44,35.759,2146.5,2.08E+07,22.146,2.14E+05,34.696,3.36E+05,1281.2,1.24E+07,727.54,7.04E+06,
102218Abl_DX6,29,TE,I,12164,275.15,434.18,37.603,2173.3,2.64E+07,22.421,2.73E+05,178.62,2.17E+06,1273,1.55E+07,468.58,5.70E+06,
102218Abl_DX6,30,TE,I,27526,413.65,178.37,43.661,2214.5,6.10E+07,22.937,6.31E+05,110.84,3.05E+06,1342.6,3.70E+07,280.81,7.73E+06,
102218Abl_DX6,30.2,TE,I,27526,414,170,48,2146.289,,22.206,,111.368,,1272.032,,283.668,,
102218Abl_DX6,31,TE,I,11839,197.52,432.8,39.694,1973.6,2.34E+07,22.525,2.67E+05,48.635,5.76E+05,1279.9,1.52E+07,653.24,7.73E+06,
102218Abl_DX6,32,TE,I,9358,284.67,103.48,41.065,1672.4,1.57E+07,26.286,2.46E+05,63.842,5.97E+05,1319.6,1.23E+07,256.01,2.40E+06,
102218Abl_DX6,33,ICM,I,11021,74.902,271.17,39.609,1204.6,1.33E+07,48.846,5.38E+05,870.49,9.59E+06,1285.1,1.42E+07,178.43,1.97E+06,
102218Abl_DX6,34,TE,I,9101,102.13,368.86,41.201,1286.7,1.17E+07,20.407,1.86E+05,27.027,2.46E+05,1344.1,1.22E+07,264.38,2.41E+06,
102218Abl_DX6,35,TE,I,9447,340.87,405.59,43.528,1661.1,1.57E+07,23.767,2.25E+05,351.39,3.32E+06,1274.6,1.20E+07,427.57,4.04E+06,
102218Abl_DX6,36,ICM,I,17140,110.45,314,45.514,680.43,1.17E+07,112.29,1.92E+06,35.465,6.08E+05,1157.8,1.98E+07,832.44,1.43E+07,
102218Abl_DX6,37,TE,I,11836,441.65,299.39,47.668,1213.9,1.44E+07,21.062,2.49E+05,31.765,3.76E+05,1295,1.53E+07,208.75,2.47E+06,
102218Abl_DX6,38,TE,I,14960,144.51,127.13,51.315,1526.1,2.28E+07,19.785,2.96E+05,28.255,4.23E+05,1330.7,1.99E+07,467.78,7.00E+06,
102218Abl_DX6,39,TE,I,10776,401.09,374.37,49.728,1203.8,1.30E+07,20.729,2.23E+05,34.331,3.70E+05,1410.4,1.52E+07,189.61,2.04E+06,
