Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
012318Abl_CJ7,1,TE,I,4544,247.64,201.4,5.9974,2198.1,9.99E+06,158.82,7.22E+05,115.42,5.24E+05,549.92,2.50E+06,127.11,5.78E+05,
012318Abl_CJ7,2,TE,I,9496,269.94,224.76,5.986,2494.3,2.37E+07,146.42,1.39E+06,177.86,1.69E+06,624.49,5.93E+06,716.7,6.81E+06,
012318Abl_CJ7,3,TE,I,7849,170,239.05,6.1864,2541.6,1.99E+07,161.94,1.27E+06,166.93,1.31E+06,658.79,5.17E+06,881.12,6.92E+06,
012318Abl_CJ7,4,TE,M,12044,312.34,105.46,7.749,2483.6,2.99E+07,107.21,1.29E+06,102.74,1.24E+06,613.35,7.39E+06,262.3,3.16E+06,
012318Abl_CJ7,5,TE,M,14530,246.41,129.65,9.1964,2258.3,3.28E+07,102.36,1.49E+06,109.23,1.59E+06,606.41,8.81E+06,226.46,3.29E+06,
012318Abl_CJ7,6,TE,I,13565,328.5,170.56,6.9627,2381.6,3.23E+07,137.06,1.86E+06,159.49,2.16E+06,592.25,8.03E+06,786.89,1.07E+07,
012318Abl_CJ7,8,ICM,I,6220,283.63,255.34,7.7889,2534.9,1.58E+07,163.21,1.02E+06,610,3.79E+06,573.82,3.57E+06,1864.1,1.16E+07,
012318Abl_CJ7,9,TE,I,7654,348.6,274.03,6.0993,1929.9,1.48E+07,120.15,9.20E+05,162.58,1.24E+06,593.54,4.54E+06,908.03,6.95E+06,
012318Abl_CJ7,10,TE,I,7919,226.98,280.12,5.7213,2622.6,2.08E+07,211.99,1.68E+06,210.91,1.67E+06,617.22,4.89E+06,872.11,6.91E+06,
012318Abl_CJ7,11,ICM,I,12672,262.04,293.95,8.2236,2535.8,3.21E+07,1541.2,1.95E+07,205.24,2.60E+06,661.91,8.39E+06,490.15,6.21E+06,
012318Abl_CJ7,12,TE,I,6586,211.79,301.68,8.4453,2866.1,1.89E+07,134.4,8.85E+05,155.58,1.02E+06,661.22,4.35E+06,833.7,5.49E+06,
012318Abl_CJ7,13,TE,I,4746,277.22,340.17,8.5067,2864.2,1.36E+07,96.613,4.59E+05,174.18,8.27E+05,611.49,2.90E+06,902.33,4.28E+06,
012318Abl_CJ7,14,TE,I,6057,250.62,354.6,8.5868,2657.3,1.61E+07,124.86,7.56E+05,166.29,1.01E+06,681.66,4.13E+06,871.14,5.28E+06,
012318Abl_CJ7,15,ICM,I,9603,290.93,154.89,9.9267,2607.3,2.50E+07,386.12,3.71E+06,409.51,3.93E+06,628.54,6.04E+06,1352.8,1.30E+07,
012318Abl_CJ7,16,ICM,I,8545,250.03,174.2,11.195,2518.1,2.15E+07,191.5,1.64E+06,523.9,4.48E+06,600.87,5.13E+06,1365,1.17E+07,
012318Abl_CJ7,17,TE,I,11945,381.55,213.19,10.688,2291.5,2.74E+07,81.332,9.72E+05,166.09,1.98E+06,625.65,7.47E+06,896.44,1.07E+07,
012318Abl_CJ7,18,TE,I,7857,269.36,383.4,10.32,1959.6,1.54E+07,103.21,8.11E+05,145.46,1.14E+06,615.97,4.84E+06,793.57,6.24E+06,
012318Abl_CJ7,19,ICM,I,11792,314.1,295.68,12.758,2314.8,2.73E+07,463.42,5.46E+06,228.9,2.70E+06,645.6,7.61E+06,1583.6,1.87E+07,
012318Abl_CJ7,20,ICM,I,13411,317.54,206.15,14.21,1748.3,2.34E+07,792.69,1.06E+07,262.23,3.52E+06,567.13,7.61E+06,1369.7,1.84E+07,
012318Abl_CJ7,21,TE,I,11788,370.74,285.53,14.93,2121.4,2.50E+07,234.26,2.76E+06,140.48,1.66E+06,623.04,7.34E+06,822.99,9.70E+06,
012318Abl_CJ7,22,ICM,I,10022,309.25,263.79,14.807,2148.6,2.15E+07,1232.5,1.24E+07,177.38,1.78E+06,572.58,5.74E+06,382.35,3.83E+06,
012318Abl_CJ7,23,ICM,I,14754,193.23,192.34,18.429,2600.8,3.84E+07,1431.1,2.11E+07,211.92,3.13E+06,616.13,9.09E+06,637.63,9.41E+06,
012318Abl_CJ7,23.2,ICM,I,14754,203,194,24,1827.523,,337.067,,259.881,,604.333,,962.678,,
012318Abl_CJ7,24,ICM,I,9185,241.24,271.97,15.105,2356.8,2.16E+07,245.98,2.26E+06,504.47,4.63E+06,685.64,6.30E+06,1652.8,1.52E+07,
012318Abl_CJ7,25,TE,I,12172,316.29,340.19,14.979,2087.6,2.54E+07,101.77,1.24E+06,152.06,1.85E+06,640.37,7.79E+06,643.17,7.83E+06,
012318Abl_CJ7,26,ICM,I,7815,205.45,219.36,14.949,2513.5,1.96E+07,292.08,2.28E+06,341.87,2.67E+06,629.4,4.92E+06,1108,8.66E+06,
012318Abl_CJ7,27,ICM,I,7294,280.21,225.23,15.361,2248.3,1.64E+07,232.34,1.69E+06,296.91,2.17E+06,641.45,4.68E+06,1586,1.16E+07,
012318Abl_CJ7,28,ICM,I,11315,345.03,241.94,17.731,1979.3,2.24E+07,2027.8,2.29E+07,162.45,1.84E+06,627.8,7.10E+06,540.01,6.11E+06,
012318Abl_CJ7,29,ICM,I,7773,204.23,280.65,16.824,2697.6,2.10E+07,431.85,3.36E+06,250.93,1.95E+06,649.62,5.05E+06,2004,1.56E+07,
012318Abl_CJ7,30,TE,I,5698,159.5,221.44,18.479,2541.3,1.45E+07,102.89,5.86E+05,126.65,7.22E+05,641.44,3.65E+06,671.76,3.83E+06,
012318Abl_CJ7,31,ICM,I,6260,220.19,305.2,17.979,2417.9,1.51E+07,590.04,3.69E+06,158.21,9.90E+05,562.14,3.52E+06,1045.5,6.54E+06,
012318Abl_CJ7,32,ICM,I,5106,196.48,255.35,19.956,1966.8,1.00E+07,706.69,3.61E+06,128.82,6.58E+05,664.59,3.39E+06,762.12,3.89E+06,
012318Abl_CJ7,32.2,ICM,I,5106,234,263,24,1043.397,,166.602,,189.832,,617.865,,816.823,,
012318Abl_CJ7,33,ICM,I,8122,281.32,195.21,21.127,1285.4,1.04E+07,151.75,1.23E+06,110.81,9.00E+05,632.58,5.14E+06,645.4,5.24E+06,
012318Abl_CJ7,34,TE,I,7004,241.16,351.46,20.876,1651.7,1.16E+07,97.897,6.86E+05,121.74,8.53E+05,587.9,4.12E+06,499.42,3.50E+06,
012318Abl_CJ7,35,ICM,I,3127,241.58,228.79,18.726,1066.2,3.33E+06,109.2,3.41E+05,177.45,5.55E+05,672.53,2.10E+06,574.76,1.80E+06,
012318Abl_CJ7,36,ICM,I,8601,174.44,270.03,24.517,1973.5,1.70E+07,1319.6,1.14E+07,123.7,1.06E+06,604.83,5.20E+06,273.9,2.36E+06,
012318Abl_CJ7,38,ICM,I,11536,287.19,315.58,24.312,1239.8,1.43E+07,207.11,2.39E+06,196.5,2.27E+06,656.2,7.57E+06,888.89,1.03E+07,
012318Abl_CJ7,39,TE,I,5200,204.96,134.48,25.446,2577.2,1.34E+07,88.421,4.60E+05,97.786,5.08E+05,623.66,3.24E+06,595.49,3.10E+06,
012318Abl_CJ7,40,ICM,I,11665,263.62,167.98,24.694,1085,1.27E+07,679.97,7.93E+06,86.402,1.01E+06,578.84,6.75E+06,146.11,1.70E+06,
012318Abl_CJ7,41,TE,I,11434,356.63,241.56,26.59,1399,1.60E+07,259.68,2.97E+06,113.89,1.30E+06,625.14,7.15E+06,469.56,5.37E+06,
012318Abl_CJ7,42,ICM,I,10962,301.33,251.62,25.766,1166.9,1.28E+07,129.52,1.42E+06,301.21,3.30E+06,569.68,6.24E+06,896.13,9.82E+06,
012318Abl_CJ7,43,TE,I,16940,286.31,375.1,27.447,728.1,1.23E+07,62.987,1.07E+06,73.772,1.25E+06,514.96,8.72E+06,204.55,3.47E+06,
012318Abl_CJ7,44,ICM,I,8790,215.68,165.51,28.761,1323.8,1.16E+07,727.7,6.40E+06,89.784,7.89E+05,629.56,5.53E+06,217.11,1.91E+06,
012318Abl_CJ7,45,TE,I,6603,187.49,322.73,27.754,1630.8,1.08E+07,60.99,4.03E+05,113.15,7.47E+05,669.05,4.42E+06,476.25,3.14E+06,
012318Abl_CJ7,46,TE,I,5657,190.27,358.25,29.442,2125.6,1.20E+07,84.047,4.75E+05,89.788,5.08E+05,655.93,3.71E+06,427.94,2.42E+06,
012318Abl_CJ7,47,TE,I,3474,183.28,231.62,27.316,1320.4,4.59E+06,83.1,2.89E+05,78.289,2.72E+05,638.14,2.22E+06,608.67,2.11E+06,
012318Abl_CJ7,48,ICM,I,9802,231.86,325.2,28.9,1222.6,1.20E+07,849.66,8.33E+06,91.864,9.00E+05,687.81,6.74E+06,171.4,1.68E+06,
012318Abl_CJ7,49,TE,M,9117,263.77,118.65,32.006,1841.1,1.68E+07,53.65,4.89E+05,55.142,5.03E+05,585.91,5.34E+06,159.12,1.45E+06,
012318Abl_CJ7,50,ICM,I,785,260.21,305.17,26.066,1090.6,8.56E+05,450.14,3.53E+05,73.585,57764,615.59,4.83E+05,598.26,4.70E+05,
012318Abl_CJ7,51,TE,I,6593,260.14,400.48,32,983.78,6.49E+06,56.742,3.74E+05,98.156,6.47E+05,544.3,3.59E+06,293.16,1.93E+06,
012318Abl_CJ7,52,TE,I,3405,223.35,221.9,30.413,654.15,2.23E+06,71.915,2.45E+05,69.578,2.37E+05,653.19,2.22E+06,495.54,1.69E+06,
012318Abl_CJ7,53,TE,I,7656,264.98,208.89,32.886,549.26,4.21E+06,70.307,5.38E+05,91.315,6.99E+05,518.15,3.97E+06,269.09,2.06E+06,
012318Abl_CJ7,54,TE,I,13514,161.2,242.28,36.525,1037.8,1.40E+07,85.116,1.15E+06,68.814,9.30E+05,554.03,7.49E+06,269.43,3.64E+06,
012318Abl_CJ7,55,TE,I,5072,175.01,180.41,36.362,1208.4,6.13E+06,50.762,2.57E+05,55.607,2.82E+05,560.31,2.84E+06,230.46,1.17E+06,
012318Abl_CJ7,56,ICM,I,12455,201.48,289.3,35.566,754.35,9.40E+06,172.49,2.15E+06,87.16,1.09E+06,617.54,7.69E+06,501.24,6.24E+06,
012318Abl_CJ7,57,TE,I,13170,300.78,235.57,39.155,490.43,6.46E+06,39.877,5.25E+05,61.815,8.14E+05,609.39,8.03E+06,181.59,2.39E+06,
012318Abl_CJ7,58,ICM,I,13844,241.39,279.15,34.455,632.34,8.75E+06,339.4,4.70E+06,74.182,1.03E+06,631.33,8.74E+06,331.37,4.59E+06,
012318Abl_CJ7,59,TE,I,11905,230.12,388.35,40.492,1189.8,1.42E+07,83.908,9.99E+05,70.125,8.35E+05,675.84,8.05E+06,301.26,3.59E+06,
012318Abl_CJ7,60,TE,I,10762,165.76,311.44,38.902,1279.6,1.38E+07,43.157,4.64E+05,66.55,7.16E+05,684.22,7.36E+06,404.8,4.36E+06,
