Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
082819Abl_FJ10,1,TE,M,17166,293.46,185.81,6.9257,2485.2,4.27E+07,94.291,1.62E+06,94.895,1.63E+06,1168.3,2.01E+07,244.71,4.20E+06,
082819Abl_FJ10,2,TE,I,15303,265.99,272.88,7.1419,2362.4,3.62E+07,367.27,5.62E+06,175.25,2.68E+06,1117.5,1.71E+07,496.5,7.60E+06,
082819Abl_FJ10,3,TE,I,10002,191.79,257.61,8.8601,2092.8,2.09E+07,442.63,4.43E+06,329.92,3.30E+06,1174.2,1.17E+07,529.73,5.30E+06,
082819Abl_FJ10,4,ICM,I,20841,233.94,226,11.646,1974.5,4.12E+07,22.963,4.79E+05,821.48,1.71E+07,1053.4,2.20E+07,338.17,7.05E+06,
082819Abl_FJ10,5,TE,I,13678,185.12,174.41,11.17,1735.3,2.37E+07,321.16,4.39E+06,285.64,3.91E+06,1109,1.52E+07,422.97,5.79E+06,
082819Abl_FJ10,7,TE,I,14640,171.94,312.39,19.381,1353.4,1.98E+07,332.29,4.86E+06,114,1.67E+06,1073,1.57E+07,440.3,6.45E+06,
082819Abl_FJ10,8,ICM,M,10312,223.44,270.52,21.347,2163.1,2.23E+07,21.347,2.20E+05,210.51,2.17E+06,1101.3,1.14E+07,106.04,1.09E+06,
082819Abl_FJ10,9,ICM,I,21495,184.44,219.99,21.828,1508.5,3.24E+07,25.127,5.40E+05,700.42,1.51E+07,1124,2.42E+07,561.7,1.21E+07,
082819Abl_FJ10,10,TE,I,20277,349.39,314.94,21.911,2011,4.08E+07,304.69,6.18E+06,157.83,3.20E+06,1118.7,2.27E+07,454.74,9.22E+06,
082819Abl_FJ10,11,TE,I,10127,194.87,139.82,22.26,1982.6,2.01E+07,315.56,3.20E+06,174.25,1.76E+06,1134.9,1.15E+07,504.57,5.11E+06,
082819Abl_FJ10,12,ICM,I,10115,244.99,158.61,22.418,1940.3,1.96E+07,133.24,1.35E+06,669.53,6.77E+06,1107.8,1.12E+07,667.27,6.75E+06,
082819Abl_FJ10,13,ICM,I,19528,147.99,259.23,23.703,1670.7,3.26E+07,28.864,5.64E+05,498.23,9.73E+06,1099.1,2.15E+07,823.96,1.61E+07,
082819Abl_FJ10,14,TE,I,13459,248.59,344.97,21.908,1859.9,2.50E+07,296.42,3.99E+06,125.64,1.69E+06,1067.2,1.44E+07,498.92,6.72E+06,
082819Abl_FJ10,15,ICM,I,8883,216.87,190.41,23.92,1716.7,1.52E+07,97.112,8.63E+05,487.43,4.33E+06,1126,1.00E+07,605.47,5.38E+06,
082819Abl_FJ10,16,TE,I,11444,282.88,128.86,27.977,1883.9,2.16E+07,274.51,3.14E+06,197,2.25E+06,1151.6,1.32E+07,407.87,4.67E+06,
082819Abl_FJ10,17,ICM,I,9680,217.28,305.18,28,1273.2,1.23E+07,23.254,2.25E+05,851.96,8.25E+06,1056.7,1.02E+07,242.49,2.35E+06,
082819Abl_FJ10,18,TE,I,7706,288.09,358.85,28.278,1951,1.50E+07,252.46,1.95E+06,96.063,7.40E+05,1153.9,8.89E+06,350.82,2.70E+06,
082819Abl_FJ10,19,ICM,I,18527,161.47,171.97,30.064,1547.2,2.87E+07,34.26,6.35E+05,354.25,6.56E+06,1131.6,2.10E+07,485.38,8.99E+06,
082819Abl_FJ10,20,ICM,I,8493,183,281.91,29.264,1295.4,1.10E+07,25.05,2.13E+05,787.47,6.69E+06,1148.8,9.76E+06,235.19,2.00E+06,
082819Abl_FJ10,21,TE,I,14736,118.07,219.31,32.122,1181.2,1.74E+07,210.63,3.10E+06,161.22,2.38E+06,1125.9,1.66E+07,255.65,3.77E+06,
082819Abl_FJ10,22,TE,I,15761,371.61,167.98,35.988,1536.4,2.42E+07,227.58,3.59E+06,83.691,1.32E+06,1160.4,1.83E+07,240.65,3.79E+06,
082819Abl_FJ10,23,ICM,I,8859,215.77,154.99,34.767,1413.8,1.25E+07,26.199,2.32E+05,634.14,5.62E+06,1151.3,1.02E+07,472.51,4.19E+06,
082819Abl_FJ10,24,ICM,I,7534,206.59,207.25,34.02,1386.4,1.04E+07,23.089,1.74E+05,547.16,4.12E+06,1089.7,8.21E+06,386.07,2.91E+06,
082819Abl_FJ10,25,ICM,I,18893,194.55,333.68,35.84,1073.5,2.03E+07,23.355,4.41E+05,474.84,8.97E+06,1136.1,2.15E+07,156.78,2.96E+06,
