Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072817Abl_AY3,52,ICM,M,5262,155.6,228.17,48.861,1334.3,7.02E+06,384.12,2.02E+06,33.037,1.74E+05,382.22,2.01E+06,252.78,1.33E+06,
072817Abl_AY3,1,TE,I,13231,260.05,278.56,4.9561,2950.4,3.90E+07,58.063,7.68E+05,53.064,7.02E+05,482.19,6.38E+06,264,3.49E+06,
072817Abl_AY3,3,TE,I,9802,228.94,226.3,7.4864,2109.4,2.07E+07,42.22,4.14E+05,35.516,3.48E+05,480.05,4.71E+06,78.15,7.66E+05,
072817Abl_AY3,4,TE,I,20076,337.54,255.82,7.3084,1594.5,3.20E+07,42.174,8.47E+05,42.976,8.63E+05,458.33,9.20E+06,91.448,1.84E+06,
072817Abl_AY3,5,TE,I,9204,290.97,326.69,7.3024,2192,2.02E+07,49.423,4.55E+05,53.784,4.95E+05,467.99,4.31E+06,428.49,3.94E+06,
072817Abl_AY3,6,TE,I,18020,300.07,194.56,8.2322,2005.1,3.61E+07,40.53,7.30E+05,43.228,7.79E+05,460.91,8.31E+06,243.78,4.39E+06,
072817Abl_AY3,7,TE,I,8902,203.95,272.26,8.8086,2582.4,2.30E+07,89.944,8.01E+05,40.176,3.58E+05,458.64,4.08E+06,152.9,1.36E+06,
072817Abl_AY3,8,TE,I,8397,237.62,331.39,9.3027,2427.1,2.04E+07,44.299,3.72E+05,41.445,3.48E+05,479.23,4.02E+06,164.84,1.38E+06,
072817Abl_AY3,9,TE,I,8914,177.14,211.82,16.825,2558.4,2.28E+07,80.683,7.19E+05,45.988,4.10E+05,433.57,3.86E+06,299.37,2.67E+06,
072817Abl_AY3,10,TE,I,6888,181.3,309.25,14.75,2966.6,2.04E+07,50.546,3.48E+05,52.587,3.62E+05,424.37,2.92E+06,350.45,2.41E+06,
072817Abl_AY3,11,TE,I,10185,153.45,256.7,17.1,2568.7,2.62E+07,79.097,8.06E+05,83.69,8.52E+05,483.7,4.93E+06,105.22,1.07E+06,
072817Abl_AY3,12,ICM,I,9830,197.86,238.42,19.401,3256,3.20E+07,1055.1,1.04E+07,65.286,6.42E+05,435.62,4.28E+06,1028.5,1.01E+07,
072817Abl_AY3,13,TE,I,15600,333.37,361.35,18.217,1951.7,3.04E+07,40.905,6.38E+05,42.226,6.59E+05,481.09,7.51E+06,187.09,2.92E+06,
072817Abl_AY3,14,TE,I,8058,324.28,160.4,18.272,2526.4,2.04E+07,58.094,4.68E+05,47.479,3.83E+05,445.14,3.59E+06,212.19,1.71E+06,
072817Abl_AY3,15,TE,I,10776,387.89,239.97,18.94,1010.1,1.09E+07,30.751,3.31E+05,32.117,3.46E+05,421.03,4.54E+06,68.804,7.41E+05,
072817Abl_AY3,16,ICM,I,17831,191,270,18,3087.289,,811.071,,80.756,,402.912,,1524.716,,
072817Abl_AY3,16.2,ICM,I,17831,171,255,25,2763.041,,1061.191,,64.299,,428.514,,1069.318,,
072817Abl_AY3,17,TE,I,25879,206.53,152.46,25.048,2628.2,6.80E+07,37.815,9.79E+05,36.145,9.35E+05,458.13,1.19E+07,99.81,2.58E+06,
072817Abl_AY3,18,TE,I,9573,365.04,174.83,21.998,2276.6,2.18E+07,46.918,4.49E+05,39.802,3.81E+05,420.55,4.03E+06,90.647,8.68E+05,
072817Abl_AY3,19,TE,I,7236,209.57,368.22,21.242,2663.7,1.93E+07,46.603,3.37E+05,55.586,4.02E+05,435.37,3.15E+06,666.48,4.82E+06,
072817Abl_AY3,20,TE,I,6907,270.06,395.27,26.041,2398.9,1.66E+07,38.239,2.64E+05,42.936,2.97E+05,463.31,3.20E+06,383.62,2.65E+06,
