Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072817Abl_AY5,1,TE,I,7822,204.04,230.39,5.9018,2553.1,2.00E+07,504.81,3.95E+06,99.518,7.78E+05,244.59,1.91E+06,531.67,4.16E+06,
072817Abl_AY5,2,TE,I,9917,284.69,269.48,5.2796,1942.1,1.93E+07,363.39,3.60E+06,42.399,4.20E+05,290.97,2.89E+06,340.46,3.38E+06,
072817Abl_AY5,3,TE,I,15224,245.41,207.11,7.8171,2307.1,3.51E+07,576.15,8.77E+06,45.001,6.85E+05,295.01,4.49E+06,312.96,4.76E+06,
072817Abl_AY5,4,TE,I,14923,211.67,279.46,8.9201,2626.2,3.92E+07,503.79,7.52E+06,54.084,8.07E+05,276.93,4.13E+06,417.34,6.23E+06,
072817Abl_AY5,5,TE,I,9332,137.69,246.49,9.4626,1614.5,1.51E+07,433.58,4.05E+06,44.864,4.19E+05,279.18,2.61E+06,322.45,3.01E+06,
072817Abl_AY5,6,TE,I,6791,163.23,291.98,10.574,2401.7,1.63E+07,735.91,5.00E+06,64.212,4.36E+05,249.18,1.69E+06,372.12,2.53E+06,
072817Abl_AY5,7,TE,I,12372,290.32,317.97,12.278,2920,3.61E+07,572.95,7.09E+06,52.162,6.45E+05,273.35,3.38E+06,239.82,2.97E+06,
072817Abl_AY5,8,TE,I,9888,189.73,187.59,12.406,1727.5,1.71E+07,467.14,4.62E+06,42.44,4.20E+05,269.24,2.66E+06,429.21,4.24E+06,
072817Abl_AY5,9,ICM,I,16428,181.78,227.7,16.379,1510.8,2.48E+07,30.445,5.00E+05,911.45,1.50E+07,263.81,4.33E+06,97.651,1.60E+06,
072817Abl_AY5,10,TE,I,11872,239.76,163.63,17.403,2400.3,2.85E+07,580.9,6.90E+06,42.759,5.08E+05,277.98,3.30E+06,389.23,4.62E+06,
072817Abl_AY5,11,TE,M,8810,113.98,268.76,18.273,2627.9,2.32E+07,168.03,1.48E+06,34.085,3.00E+05,254.82,2.24E+06,130.32,1.15E+06,
072817Abl_AY5,12,TE,I,14925,342.94,240.21,18.696,2378.9,3.55E+07,394.81,5.89E+06,40.385,6.03E+05,291.93,4.36E+06,199.21,2.97E+06,
072817Abl_AY5,13,TE,I,12904,248.05,349.23,19.908,2465.1,3.18E+07,435.87,5.62E+06,63.023,8.13E+05,259.39,3.35E+06,248.47,3.21E+06,
072817Abl_AY5,15,TE,I,5398,351.21,308.19,20.556,3168.5,1.71E+07,436.94,2.36E+06,59.185,3.19E+05,265.07,1.43E+06,323.24,1.74E+06,
072817Abl_AY5,16,TE,I,5330,198.13,334.46,20.784,2655.9,1.42E+07,472.35,2.52E+06,46.958,2.50E+05,249.29,1.33E+06,277.28,1.48E+06,
072817Abl_AY5,17,ICM,I,8214,187.59,283.1,19.178,1587.3,1.30E+07,44.507,3.66E+05,52.92,4.35E+05,283.91,2.33E+06,706.54,5.80E+06,
072817Abl_AY5,18,TE,I,5474,205.18,148.44,22.543,2140.4,1.17E+07,516.79,2.83E+06,42.95,2.35E+05,268.08,1.47E+06,393.62,2.15E+06,
072817Abl_AY5,19,ICM,I,13740,201.62,193.51,23.205,1600,2.20E+07,47.878,6.58E+05,52.281,7.18E+05,265.43,3.65E+06,966.24,1.33E+07,
072817Abl_AY5,20,ICM,I,11960,110.46,207,22.702,1204.3,1.44E+07,28.521,3.41E+05,136.64,1.63E+06,257.09,3.07E+06,404.73,4.84E+06,
072817Abl_AY5,21,TE,I,13973,313.93,162.46,27.32,1977.5,2.76E+07,342.66,4.79E+06,57.3,8.01E+05,288.05,4.02E+06,205.13,2.87E+06,
072817Abl_AY5,22,ICM,I,11629,133.76,298.49,28.649,1246.5,1.45E+07,35.573,4.14E+05,46.688,5.43E+05,263.49,3.06E+06,731.53,8.51E+06,
072817Abl_AY5,23,TE,I,6444,170.4,349.83,27.136,2087.2,1.35E+07,405.37,2.61E+06,36.877,2.38E+05,298.75,1.93E+06,181.01,1.17E+06,
072817Abl_AY5,24,ICM,I,14053,168.19,314.18,28.836,1256.6,1.77E+07,26.032,3.66E+05,654.26,9.19E+06,267.84,3.76E+06,127.07,1.79E+06,
