Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
072817Abl_AZ8,1,TE,I,15584,271.34,238.81,6.4913,2439.9,3.80E+07,493.61,7.69E+06,219.18,3.42E+06,273.26,4.26E+06,313.68,4.89E+06,
072817Abl_AZ8,2,TE,M,5623,315.1,277.05,6.4453,2818.8,1.59E+07,403.56,2.27E+06,39.38,2.21E+05,264.78,1.49E+06,295.08,1.66E+06,
072817Abl_AZ8,3,TE,I,16497,227.96,298.45,6.528,2474,4.08E+07,539.04,8.89E+06,40.322,6.65E+05,265.46,4.38E+06,197.84,3.26E+06,
072817Abl_AZ8,4,TE,M,4843,288.05,299,6.255,2958.4,1.43E+07,478.13,2.32E+06,48.417,2.34E+05,254.16,1.23E+06,320.72,1.55E+06,
072817Abl_AZ8,5,TE,I,14767,323.29,231.31,8.6227,2288.4,3.38E+07,373.81,5.52E+06,41.14,6.08E+05,274.87,4.06E+06,205.68,3.04E+06,
072817Abl_AZ8,6,TE,I,5381,356.92,248.48,14.253,2446.7,1.32E+07,459.29,2.47E+06,38.861,2.09E+05,260.94,1.40E+06,246.77,1.33E+06,
072817Abl_AZ8,7,TE,I,11463,315.11,332.38,15.148,2392.3,2.74E+07,539.01,6.18E+06,49.841,5.71E+05,272.32,3.12E+06,217.17,2.49E+06,
072817Abl_AZ8,8,TE,I,14391,178.36,256.81,16.872,2796.5,4.02E+07,424.25,6.11E+06,51.12,7.36E+05,300.58,4.33E+06,180.98,2.60E+06,
072817Abl_AZ8,9,TE,I,10492,358.5,295.42,19.641,2091.2,2.19E+07,486.6,5.11E+06,35.307,3.70E+05,259.88,2.73E+06,182.3,1.91E+06,
072817Abl_AZ8,10,TE,I,13346,186.82,339.27,19.492,2715.8,3.62E+07,459.28,6.13E+06,70.418,9.40E+05,274.6,3.66E+06,313.58,4.19E+06,
072817Abl_AZ8,11,TE,M,14029,203.82,196.4,23.536,2414.9,3.39E+07,106.27,1.49E+06,26.453,3.71E+05,274.88,3.86E+06,159.37,2.24E+06,
072817Abl_AZ8,12,TE,M,11862,268.97,169.21,23.003,2490.6,2.95E+07,138.83,1.65E+06,27.712,3.29E+05,273.94,3.25E+06,96.287,1.14E+06,
072817Abl_AZ8,13,ICM,I,8566,164.35,274.73,25.434,2575.7,2.21E+07,43.138,3.70E+05,418.4,3.58E+06,259.9,2.23E+06,94.244,8.07E+05,
072817Abl_AZ8,14,TE,I,13345,351.14,185.2,27.65,1713.6,2.29E+07,223.35,2.98E+06,28.503,3.80E+05,251.92,3.36E+06,103.86,1.39E+06,
072817Abl_AZ8,15,TE,I,7789,155.04,346.7,31.174,1984.4,1.55E+07,380.8,2.97E+06,42.571,3.32E+05,268.94,2.09E+06,281,2.19E+06,
072817Abl_AZ8,16,ICM,I,8325,143.55,252,31.374,2028.1,1.69E+07,21.579,1.80E+05,316.17,2.63E+06,295,2.46E+06,97.202,8.09E+05,
072817Abl_AZ8,17,TE,I,14144,124.12,316.7,35.404,2410.1,3.41E+07,366.86,5.19E+06,39.393,5.57E+05,281.9,3.99E+06,191.95,2.71E+06,
072817Abl_AZ8,18,ICM,I,13513,155.58,220.64,35.369,1762.1,2.38E+07,20.297,2.74E+05,399.79,5.40E+06,257.58,3.48E+06,67.942,9.18E+05,
072817Abl_AZ8,19,TE,I,12423,179.8,163.64,36.043,2388.7,2.97E+07,353.11,4.39E+06,34.929,4.34E+05,281.83,3.50E+06,186.46,2.32E+06,
072817Abl_AZ8,20,ICM,I,12777,193.67,251.55,36.878,1463.8,1.87E+07,21.231,2.71E+05,35.143,4.49E+05,285.02,3.64E+06,543.99,6.95E+06,
072817Abl_AZ8,21,TE,I,7965,308.41,141.84,36.727,1550.1,1.23E+07,221.09,1.76E+06,36.42,2.90E+05,270.17,2.15E+06,149.95,1.19E+06,
072817Abl_AZ8,22,TE,I,14737,106.77,240.36,38.84,2498.8,3.68E+07,437.27,6.44E+06,35.334,5.21E+05,297.85,4.39E+06,194.74,2.87E+06,
072817Abl_AZ8,23,ICM,I,12860,181.47,306.73,36.973,1306.8,1.68E+07,20.458,2.63E+05,34.437,4.43E+05,262.86,3.38E+06,440.51,5.66E+06,
072817Abl_AZ8,24,TE,I,15529,298.88,377.91,38,1118.8,1.74E+07,189.42,2.94E+06,25.97,4.03E+05,256.56,3.98E+06,137.73,2.14E+06,
072817Abl_AZ8,25,TE,I,6423,400,227.16,36.556,1357.3,8.72E+06,331.25,2.13E+06,32.451,2.08E+05,257.04,1.65E+06,164.02,1.05E+06,
072817Abl_AZ8,26,TE,I,13982,396.4,287.48,42.701,1126,1.57E+07,186.1,2.60E+06,54.95,7.68E+05,251.4,3.52E+06,160.44,2.24E+06,
072817Abl_AZ8,27,TE,M,11879,241.85,386.98,41.159,1684.2,2.00E+07,90.959,1.08E+06,22.507,2.67E+05,274.09,3.26E+06,75.632,8.98E+05,
072817Abl_AZ8,28,ICM,I,7391,142.02,277.04,39.181,1584.7,1.17E+07,18.319,1.35E+05,226.64,1.68E+06,276.22,2.04E+06,112.03,8.28E+05,
