Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
062817Abl_AR1,1,TE,I,6728,213.9,193.56,5.5419,2544.7,1.71E+07,80.099,5.39E+05,37.7,2.54E+05,435.85,2.93E+06,107.12,7.21E+05,
062817Abl_AR1,2,TE,I,8531,340.26,221.46,5.9572,2127.2,1.81E+07,58.023,4.95E+05,31.937,2.72E+05,558.39,4.76E+06,192.58,1.64E+06,
062817Abl_AR1,3,TE,I,17956,392.27,250.54,11.002,2324.1,4.17E+07,74.679,1.34E+06,36.05,6.47E+05,500.19,8.98E+06,93.881,1.69E+06,
062817Abl_AR1,4,TE,I,5063,325.34,273.59,5.5923,3039,1.54E+07,82.602,4.18E+05,38.821,1.97E+05,566.74,2.87E+06,124.55,6.31E+05,
062817Abl_AR1,5,TE,I,5258,279.01,288.51,5.5205,3042.7,1.60E+07,81.488,4.28E+05,37.983,2.00E+05,568.97,2.99E+06,123.93,6.52E+05,
062817Abl_AR1,6,TE,I,6727,264.14,230.41,7.0529,2609.3,1.76E+07,69.266,4.66E+05,39.435,2.65E+05,555.19,3.73E+06,480.64,3.23E+06,
062817Abl_AR1,7,TE,I,5531,205.38,246.67,6.8928,2417.7,1.34E+07,100.96,5.58E+05,36.572,2.02E+05,646.5,3.58E+06,106.46,5.89E+05,
062817Abl_AR1,8,TE,M,13228,221.18,300.97,9.6551,2482.4,3.28E+07,70.287,9.30E+05,32.813,4.34E+05,555.42,7.35E+06,77.341,1.02E+06,
062817Abl_AR1,9,TE,I,4968,265.38,205.73,9.6159,2498.6,1.24E+07,69.237,3.44E+05,42.511,2.11E+05,543.54,2.70E+06,526.59,2.62E+06,
062817Abl_AR1,10,TE,I,6232,182.37,205.51,10.397,2664,1.66E+07,101.12,6.30E+05,34.999,2.18E+05,519.11,3.24E+06,133.19,8.30E+05,
062817Abl_AR1,11,TE,I,10769,136.29,279.9,10.384,2231,2.40E+07,64.064,6.90E+05,51.434,5.54E+05,659.19,7.10E+06,82.631,8.90E+05,
062817Abl_AR1,12,ICM,I,11591,160,269,13,2614.816,,96.816,,233.616,,518.969,,97.008,,
062817Abl_AR1,12.2,TE,I,11591,186,277,11,3704.261,,75.496,,38.88,,592.066,,81.871,,
062817Abl_AR1,13,TE,I,7235,333.01,332.74,15.328,3152.4,2.28E+07,60.389,4.37E+05,34.127,2.47E+05,576.93,4.17E+06,259.95,1.88E+06,
062817Abl_AR1,15,TE,I,10186,269.62,329.38,16.129,2831.3,2.88E+07,62.7,6.39E+05,32.729,3.33E+05,601.82,6.13E+06,91.8,9.35E+05,
062817Abl_AR1,16,ICM,I,7483,199.1,245.48,17.143,2188.7,1.64E+07,893.13,6.68E+06,43.877,3.28E+05,541.07,4.05E+06,796.14,5.96E+06,
062817Abl_AR1,17,ICM,I,13956,174.6,320.05,18.016,2539.3,3.54E+07,86.606,1.21E+06,225.22,3.14E+06,576,8.04E+06,97.425,1.36E+06,
062817Abl_AR1,18,TE,I,5173,180.6,169.4,18.623,2482.3,1.28E+07,84.964,4.40E+05,29.599,1.53E+05,602.08,3.11E+06,85.294,4.41E+05,
062817Abl_AR1,19,ICM,I,12110,128.34,258.69,20.313,2287.3,2.77E+07,71.72,8.69E+05,188.67,2.28E+06,559.1,6.77E+06,84.673,1.03E+06,
062817Abl_AR1,20,ICM,I,9687,140.81,218.1,20.019,2265.4,2.19E+07,75.157,7.28E+05,217.95,2.11E+06,616.39,5.97E+06,87.874,8.51E+05,
062817Abl_AR1,21,TE,I,10123,350.9,174.5,23.25,1508.6,1.53E+07,51.138,5.18E+05,29.02,2.94E+05,663.99,6.72E+06,154.4,1.56E+06,
062817Abl_AR1,23,ICM,I,4460,206.62,209.53,20.813,1668.9,7.44E+06,745.83,3.33E+06,41.876,1.87E+05,621.12,2.77E+06,804.02,3.59E+06,
062817Abl_AR1,25,TE,I,7181,378.09,320.53,23.515,1921.6,1.38E+07,55.558,3.99E+05,30.535,2.19E+05,547.43,3.93E+06,138.28,9.93E+05,
062817Abl_AR1,26,TE,I,6913,209.88,343.04,23.687,2521.5,1.74E+07,55.873,3.86E+05,30.486,2.11E+05,602.56,4.17E+06,140.59,9.72E+05,
062817Abl_AR1,27,TE,I,5185,287.47,149.94,22.919,2282.3,1.18E+07,59.161,3.07E+05,33.968,1.76E+05,561.91,2.91E+06,370.01,1.92E+06,
062817Abl_AR1,28,TE,I,6856,143.86,181.91,24.706,3070.3,2.11E+07,57.002,3.91E+05,32.895,2.26E+05,573.87,3.93E+06,248.39,1.70E+06,
062817Abl_AR1,29,ICM,I,5790,172.28,234.08,22.067,1859.1,1.08E+07,335.32,1.94E+06,38.601,2.24E+05,735.79,4.26E+06,577.61,3.34E+06,
