Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
062817Abl_AR6,1,TE,I,8199,207.26,273.1,4.1332,2026.9,1.66E+07,439.89,3.61E+06,35.691,2.93E+05,492.2,4.04E+06,581.34,4.77E+06,
062817Abl_AR6,2,TE,I,9553,258.3,225.75,4.7129,1803.3,1.72E+07,316.49,3.02E+06,36.768,3.51E+05,494.64,4.73E+06,750.47,7.17E+06,
062817Abl_AR6,3,TE,I,13408,308.02,288.1,5.7936,2021.7,2.71E+07,364.3,4.88E+06,35.109,4.71E+05,488.57,6.55E+06,259.62,3.48E+06,
062817Abl_AR6,4,TE,I,14480,183.7,207.05,8.368,1405.6,2.04E+07,320.1,4.64E+06,28.217,4.09E+05,466.91,6.76E+06,350.02,5.07E+06,
062817Abl_AR6,5,TE,I,11636,149.52,266.52,9.4332,1870.8,2.18E+07,305.35,3.55E+06,31,3.61E+05,494.82,5.76E+06,285.95,3.33E+06,
062817Abl_AR6,6,TE,I,11565,195.11,335.42,10.713,2404.8,2.78E+07,373.97,4.32E+06,35.022,4.05E+05,485.91,5.62E+06,539.33,6.24E+06,
062817Abl_AR6,7,TE,I,7421,309.66,188.24,13.844,1616.2,1.20E+07,221.64,1.64E+06,29.013,2.15E+05,482.72,3.58E+06,479.74,3.56E+06,
062817Abl_AR6,8,TE,I,9705,288.94,360.22,14.764,2488.7,2.42E+07,331.14,3.21E+06,30.928,3.00E+05,486.29,4.72E+06,262.87,2.55E+06,
062817Abl_AR6,9,TE,I,16879,83.711,205.98,19.99,1961.8,3.31E+07,417.91,7.05E+06,37.815,6.38E+05,493.4,8.33E+06,468.92,7.92E+06,
062817Abl_AR6,10,ICM,I,9144,129.12,236.21,18.602,2121.4,1.94E+07,22.753,2.08E+05,261.42,2.39E+06,502.77,4.60E+06,118.36,1.08E+06,
062817Abl_AR6,11,ICM,I,4311,114.61,251.71,17.129,3029.1,1.31E+07,22.306,96161,213.72,9.21E+05,435.99,1.88E+06,1269.6,5.47E+06,
