Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
013118Abl_CN6,1,TE,I,8839,274.74,231.55,5.7329,2842.8,2.51E+07,63.359,5.60E+05,97.765,8.64E+05,650.07,5.75E+06,116.67,1.03E+06,
013118Abl_CN6,2,TE,I,13183,193.32,240.36,7.3172,2965.7,3.91E+07,57.62,7.60E+05,70.251,9.26E+05,598.31,7.89E+06,153.84,2.03E+06,
013118Abl_CN6,3,TE,I,11226,270.98,275.34,6.5482,3334.2,3.74E+07,42.131,4.73E+05,56.525,6.35E+05,684.63,7.69E+06,123.6,1.39E+06,
013118Abl_CN6,4,TE,I,11785,259.88,184.77,9.1159,3129.1,3.69E+07,50.252,5.92E+05,64.875,7.65E+05,660.09,7.78E+06,125.18,1.48E+06,
013118Abl_CN6,5,ICM,I,7750,223.58,209.14,8.7105,2679.9,2.08E+07,70.808,5.49E+05,338,2.62E+06,621.97,4.82E+06,162.82,1.26E+06,
013118Abl_CN6,6,TE,I,11197,136.99,244.49,7.2237,2496.1,2.79E+07,104.19,1.17E+06,78.533,8.79E+05,603.16,6.75E+06,114.47,1.28E+06,
013118Abl_CN6,7,TE,I,16223,230.84,251.81,10.298,2799.6,4.54E+07,52.518,8.52E+05,247.22,4.01E+06,652.9,1.06E+07,569.86,9.24E+06,
013118Abl_CN6,7.2,ICM,I,16223,226,257,15,2405.172,,41.258,,531.708,,639.854,,1171.001,,
013118Abl_CN6,8,TE,I,10031,305.74,265.75,8.5184,2855.3,2.86E+07,92.206,9.25E+05,58.584,5.88E+05,664.24,6.66E+06,125.14,1.26E+06,
013118Abl_CN6,9,TE,I,13166,193.72,185.38,11.364,2677.8,3.53E+07,50.399,6.64E+05,143.54,1.89E+06,684.13,9.01E+06,154.29,2.03E+06,
013118Abl_CN6,10,TE,I,7266,284.23,204.89,11.122,2892.1,2.10E+07,402.52,2.92E+06,161.87,1.18E+06,669.68,4.87E+06,137.93,1.00E+06,
013118Abl_CN6,11,TE,I,16439,322.1,212.67,10.577,2736.3,4.50E+07,44.334,7.29E+05,42.739,7.03E+05,676.58,1.11E+07,99.321,1.63E+06,
013118Abl_CN6,12,TE,I,13259,345.28,256.08,9.5892,2894.9,3.84E+07,55.269,7.33E+05,38.993,5.17E+05,663.05,8.79E+06,97.334,1.29E+06,
