Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
040317Abl_Q3,9,ICM,TE,8456,272.97,128.69,15.358,2240.5,1.89E+07,179.87,1.52E+06,260.81,2.21E+06,638.58,5.40E+06,50.915,4.31E+05,
040317Abl_Q3,15,ICM,TE,10757,261.11,109.79,23.726,1584,1.70E+07,124.1,1.33E+06,198.93,2.14E+06,667.94,7.19E+06,46.526,5.00E+05,
040317Abl_Q3,19,ICM,TE,5664,288.74,153.55,28.157,1576.6,8.93E+06,800.02,4.53E+06,30.94,1.75E+05,709.9,4.02E+06,294.16,1.67E+06,
040317Abl_Q3,24,ICM,TE,4184,282.2,115.58,31.96,1258.9,5.27E+06,74.897,3.13E+05,114.71,4.80E+05,600.44,2.51E+06,37.343,1.56E+05,
040317Abl_Q3,28,ICM,TE,6661,275.79,150.76,37.558,1043.9,6.95E+06,520.17,3.46E+06,27.395,1.82E+05,650.19,4.33E+06,211.11,1.41E+06,
040317Abl_Q3,1,TE,TE,11715,298.35,214.8,4.263,2610.5,3.06E+07,94.749,1.11E+06,38.921,4.56E+05,737.52,8.64E+06,85.517,1.00E+06,
040317Abl_Q3,2,TE,TE,11962,263.94,260.57,6.2917,2902.9,3.47E+07,99.269,1.19E+06,38.083,4.56E+05,773.5,9.25E+06,60.045,7.18E+05,
040317Abl_Q3,3,TE,TE,9807,238.56,218.47,10.038,2292.3,2.25E+07,90.055,8.83E+05,32.485,3.19E+05,786.7,7.72E+06,50.131,4.92E+05,
040317Abl_Q3,4,TE,TE,10985,260.18,309.55,8.0757,2582.8,2.84E+07,102.76,1.13E+06,38.361,4.21E+05,740.54,8.13E+06,58.851,6.46E+05,
040317Abl_Q3,5,TE,TE,8577,270.37,167.52,10.038,2369.6,2.03E+07,104.11,8.93E+05,40.466,3.47E+05,747.48,6.41E+06,63.681,5.46E+05,
040317Abl_Q3,6,TE,TE,18787,324.27,293.6,11.692,1615.9,3.04E+07,82.355,1.55E+06,33.569,6.31E+05,816.2,1.53E+07,44.587,8.38E+05,
040317Abl_Q3,7,TE,TE,11007,315.93,167.46,14.051,2433.7,2.68E+07,105.59,1.16E+06,36.124,3.98E+05,628.92,6.92E+06,58.39,6.43E+05,
040317Abl_Q3,11,TE,TE,14384,223.61,333.64,20.306,2405.2,3.46E+07,80.103,1.15E+06,31.303,4.50E+05,763.93,1.10E+07,47.03,6.76E+05,
040317Abl_Q3,12,TE,TE,14526,383.98,235.34,19.051,1262,1.83E+07,88.341,1.28E+06,30.714,4.46E+05,774.39,1.12E+07,40.943,5.95E+05,
040317Abl_Q3,13,TE,TE,9878,312.37,119.33,22.792,2363.3,2.33E+07,91.565,9.04E+05,40.244,3.98E+05,725.25,7.16E+06,58.932,5.82E+05,
040317Abl_Q3,14,TE,TE,25828,237.2,157.92,24.511,2036,5.26E+07,84.643,2.19E+06,31.129,8.04E+05,672.11,1.74E+07,55.399,1.43E+06,
040317Abl_Q3,16,TE,TE,9177,223.01,227.33,22.865,1681.4,1.54E+07,73.026,6.70E+05,28.517,2.62E+05,774.77,7.11E+06,43.128,3.96E+05,
040317Abl_Q3,17,TE,TE,10812,146.6,255.75,28.899,2795.1,3.02E+07,63.662,6.88E+05,26.005,2.81E+05,735.45,7.95E+06,37.139,4.02E+05,
040317Abl_Q3,18,TE,TE,10764,350.24,185.35,29.218,1911.7,2.06E+07,73.691,7.93E+05,29.458,3.17E+05,830.02,8.93E+06,80.985,8.72E+05,
040317Abl_Q3,20,TE,TE,13546,243.38,335.05,32.248,1459.5,1.98E+07,62.154,8.42E+05,27.577,3.74E+05,742.48,1.01E+07,37.123,5.03E+05,
040317Abl_Q3,21,TE,TE,9845,285.45,375.04,32.889,2809.5,2.77E+07,44.895,4.42E+05,21.976,2.16E+05,776.82,7.65E+06,32.567,3.21E+05,
040317Abl_Q3,22,TE,TE,23836,212,284,33,1803.753,,49.099,,25.431,,800.168,,40.68,,
040317Abl_Q3,22.2,TE,TE,23836,201,284,43,1351.356,,46.286,,21.999,,780.795,,33.011,,
040317Abl_Q3,23,TE,TE,8606,136.43,313.25,33.372,3004.2,2.59E+07,59.746,5.14E+05,24.662,2.12E+05,785.05,6.76E+06,40.039,3.45E+05,
040317Abl_Q3,25,TE,TE,15700,190,192,43,2346.969,,51.058,,22.651,,766.486,,39.176,,
040317Abl_Q3,25.2,TE,TE,15700,191,204,36,2953.845,,65.595,,25.57,,835.637,,46.936,,
040317Abl_Q3,26,TE,TE,4120,218.25,390.41,36.145,3119.3,1.29E+07,43.584,1.80E+05,23.88,98386,942.24,3.88E+06,29.288,1.21E+05,
040317Abl_Q3,27,TE,TE,11639,313.93,142.78,38.431,1021.9,1.19E+07,57.043,6.64E+05,26.085,3.04E+05,668.38,7.78E+06,37.249,4.34E+05,
040317Abl_Q3,29,TE,TE,12258,370.88,242.65,37.983,829.7,1.02E+07,40.734,4.99E+05,20.51,2.51E+05,685.15,8.40E+06,37,4.54E+05,
040317Abl_Q3,30,TE,TE,9176,267.49,399.4,39.496,2563.2,2.35E+07,32.654,3.00E+05,17.563,1.61E+05,987.22,9.06E+06,23.898,2.19E+05,
040317Abl_Q3,32,TE,TE,8931,148.69,360.89,39.93,2673.6,2.39E+07,53.336,4.76E+05,23.864,2.13E+05,799.05,7.14E+06,34.077,3.04E+05,
040317Abl_Q3,33,TE,TE,11320,360.69,309.98,42.856,1260,1.43E+07,44.063,4.99E+05,22.48,2.54E+05,759.35,8.60E+06,35.801,4.05E+05,
040317Abl_Q3,34,TE,TE,4851,213.89,168.36,40.296,1580.6,7.67E+06,50.537,2.45E+05,21.762,1.06E+05,713.08,3.46E+06,32.477,1.58E+05,
040317Abl_Q3,35,TE,TE,9435,209.06,239.41,42.319,723.96,6.83E+06,37.843,3.57E+05,20.005,1.89E+05,709.46,6.69E+06,28.307,2.67E+05,
040317Abl_Q3,36,TE,TE,9500,163.66,222.69,45.622,1949.9,1.85E+07,52.804,5.02E+05,24.287,2.31E+05,797.85,7.58E+06,36.951,3.51E+05,
040317Abl_Q3,37,TE,TE,11534,159.5,257.04,44.402,1315.1,1.52E+07,62.413,7.20E+05,28.566,3.29E+05,884.26,1.02E+07,34.081,3.93E+05,
040317Abl_Q3,38,TE,TE,3699,189.85,408.14,45.731,2694.1,9.97E+06,31.792,1.18E+05,17.948,66390,899.2,3.33E+06,21.902,81014,
040317Abl_Q3,39,TE,TE,11352,289.14,169.93,47.241,730.57,8.29E+06,52.167,5.92E+05,20.044,2.28E+05,685.44,7.78E+06,34.206,3.88E+05,
040317Abl_Q3,40,TE,TE,10427,348.8,345.35,48.359,1339.1,1.40E+07,42.235,4.40E+05,21.209,2.21E+05,808.98,8.44E+06,32.286,3.37E+05,
040317Abl_Q3,42,TE,TE,7337,237.07,346.5,50.187,584.52,4.29E+06,38.572,2.83E+05,19.42,1.42E+05,852.38,6.25E+06,26.355,1.93E+05,
040317Abl_Q3,43,TE,TE,7630,202.11,378.76,49.472,946.39,7.22E+06,49.522,3.78E+05,22.303,1.70E+05,879.2,6.71E+06,42.787,3.26E+05,
040317Abl_Q3,44,TE,TE,12492,313.86,380.66,51.551,1197.1,1.50E+07,27.722,3.46E+05,17.487,2.18E+05,839.51,1.05E+07,23.82,2.98E+05,
040317Abl_Q3,45,TE,TE,16508,346.95,193.83,50.574,639.04,1.05E+07,36.82,6.08E+05,19.532,3.22E+05,679.04,1.12E+07,35.51,5.86E+05,
040317Abl_Q3,46,TE,TE,10968,118.71,295.46,53.344,1392.2,1.53E+07,38.514,4.22E+05,20.133,2.21E+05,786.83,8.63E+06,28.473,3.12E+05,
040317Abl_Q3,47,TE,TE,10477,216.62,211.93,54.715,437.42,4.58E+06,28.19,2.95E+05,16.954,1.78E+05,673.36,7.05E+06,25.204,2.64E+05,
040317Abl_Q3,48,TE,TE,14126,309.35,331.2,57.659,763.48,1.08E+07,34.316,4.85E+05,18.611,2.63E+05,825.96,1.17E+07,26.033,3.68E+05,
040317Abl_Q3,49,TE,TE,11267,262.25,171.18,56.851,580.53,6.54E+06,30.283,3.41E+05,17.492,1.97E+05,609.04,6.86E+06,25.131,2.83E+05,
040317Abl_Q3,50,TE,TE,11534,172.71,192.72,57.399,1231.4,1.42E+07,37.106,4.28E+05,18.909,2.18E+05,746.26,8.61E+06,32.209,3.72E+05,
040317Abl_Q3,52,TE,TE,1373,256.16,311.76,54.449,573.92,7.88E+05,111.99,1.54E+05,29.491,40491,785.15,1.08E+06,30.583,41991,
040317Abl_Q3,53,TE,TE,9472,270.24,399.13,56.15,812.95,7.70E+06,41.356,3.92E+05,19.571,1.85E+05,847.72,8.03E+06,35.393,3.35E+05,
