Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
020618Abl_CQ1,1,TE,I,13107,180.42,266.32,5.884,2151.1,2.82E+07,26.863,3.52E+05,27.111,3.55E+05,801,1.05E+07,44.214,5.80E+05,
020618Abl_CQ1,2,TE,I,20255,248.29,280.83,5.8684,2158.4,4.37E+07,27.161,5.50E+05,28.042,5.68E+05,804.35,1.63E+07,40.688,8.24E+05,
020618Abl_CQ1,3,TE,I,22978,236.43,192.13,7.1142,2239.7,5.15E+07,27.524,6.32E+05,29.742,6.83E+05,799.95,1.84E+07,47.404,1.09E+06,
020618Abl_CQ1,4,TE,I,12478,164.38,194.25,10.609,2079.7,2.60E+07,26.344,3.29E+05,26.459,3.30E+05,802.17,1.00E+07,51.552,6.43E+05,
020618Abl_CQ1,5,TE,I,12308,283.4,342.29,12.198,2455.8,3.02E+07,26.733,3.29E+05,38.599,4.75E+05,794.75,9.78E+06,87.929,1.08E+06,
020618Abl_CQ1,6,TE,M,12450,196.15,341.72,14.361,2821.9,3.51E+07,25.656,3.19E+05,21.15,2.63E+05,801.23,9.98E+06,27.002,3.36E+05,
020618Abl_CQ1,7,TE,I,28212,92.822,233.48,13.695,1892.3,5.34E+07,28.087,7.92E+05,38.22,1.08E+06,785.99,2.22E+07,116.17,3.28E+06,
020618Abl_CQ1,8,TE,I,16696,122.4,290.71,16.999,2706.6,4.52E+07,150.97,2.52E+06,42.42,7.08E+05,837.72,1.40E+07,180.56,3.01E+06,
020618Abl_CQ1,8.2,ICM,I,16696,118,294,26,2529.413,,946.389,,28.446,,812.545,,68.81,,
020618Abl_CQ1,9,TE,I,13494,335.82,313.09,14.48,2669.6,3.60E+07,27.958,3.77E+05,34.662,4.68E+05,791.94,1.07E+07,67.573,9.12E+05,
020618Abl_CQ1,10,TE,I,15175,341.82,200.44,16.928,2866.8,4.35E+07,33.358,5.06E+05,49.01,7.44E+05,789.47,1.20E+07,117.02,1.78E+06,
020618Abl_CQ1,11,TE,I,7152,232.62,146.24,17.575,3056,2.19E+07,27.433,1.96E+05,25.11,1.80E+05,802.47,5.74E+06,36.36,2.60E+05,
020618Abl_CQ1,12,TE,I,10288,306.59,154.54,19.023,3052.6,3.14E+07,29.538,3.04E+05,41.577,4.28E+05,811.85,8.35E+06,101.91,1.05E+06,
020618Abl_CQ1,13,ICM,I,1921,95.758,279.7,18.61,2857.2,5.49E+06,231.88,4.45E+05,70.737,1.36E+05,692.71,1.33E+06,444.95,8.55E+05,
020618Abl_CQ1,14,TE,I,12514,236.54,393.16,22.093,2654.2,3.32E+07,24.564,3.07E+05,25.605,3.20E+05,800.76,1.00E+07,41.655,5.21E+05,
020618Abl_CQ1,15,ICM,I,11832,121.39,219.1,22.577,2644.9,3.13E+07,48.932,5.79E+05,61.085,7.23E+05,728.6,8.62E+06,392.32,4.64E+06,
020618Abl_CQ1,16,TE,I,7754,224.22,124.63,24.454,2651.7,2.06E+07,25.718,1.99E+05,23.85,1.85E+05,803.91,6.23E+06,34.573,2.68E+05,
020618Abl_CQ1,17,TE,I,12526,123.98,344.49,24.604,1832.8,2.30E+07,29.684,3.72E+05,27.553,3.45E+05,738.35,9.25E+06,45.096,5.65E+05,
020618Abl_CQ1,18,ICM,I,9518,83.65,247.95,25.072,2792.8,2.66E+07,45.868,4.37E+05,69.694,6.63E+05,834.54,7.94E+06,458.14,4.36E+06,
020618Abl_CQ1,19,TE,I,12480,390.31,305.39,26.619,2872,3.58E+07,31.859,3.98E+05,35.705,4.46E+05,775.97,9.68E+06,73.109,9.12E+05,
020618Abl_CQ1,20,TE,I,20783,121.81,146.47,34.069,2914.7,6.06E+07,24.447,5.08E+05,23.744,4.93E+05,765.33,1.59E+07,42.922,8.92E+05,
020618Abl_CQ1,20.2,TE,I,20783,118,140,37,2680.706,,22.253,,22.417,,811.383,,40.151,,
020618Abl_CQ1,21,ICM,I,5167,101.95,185.88,28.661,2572,1.33E+07,50.199,2.59E+05,64.926,3.35E+05,861.76,4.45E+06,438.39,2.27E+06,
020618Abl_CQ1,22,ICM,I,16362,58.064,217.21,29.657,2294.4,3.75E+07,35.047,5.73E+05,61.682,1.01E+06,797.94,1.31E+07,388,6.35E+06,
020618Abl_CQ1,23,ICM,I,1322,84.56,296.26,24.984,2457.2,3.25E+06,1366.7,1.81E+06,37.222,49208,724.2,9.57E+05,109.51,1.45E+05,
020618Abl_CQ1,24,TE,I,9879,337.33,381.76,28.779,2508.2,2.48E+07,26.007,2.57E+05,29.81,2.94E+05,785.68,7.76E+06,57.711,5.70E+05,
020618Abl_CQ1,25,TE,I,13714,393.38,188.54,32.461,2929.8,4.02E+07,28.642,3.93E+05,43.782,6.00E+05,770.14,1.06E+07,108.09,1.48E+06,
020618Abl_CQ1,26,ICM,I,4863,102.52,222.37,29.253,2822.2,1.37E+07,71.035,3.45E+05,59.806,2.91E+05,755.7,3.67E+06,417.19,2.03E+06,
020618Abl_CQ1,27,ICM,I,11104,124.43,255.69,32.989,2289.4,2.54E+07,681.49,7.57E+06,22.658,2.52E+05,821.95,9.13E+06,48.542,5.39E+05,
020618Abl_CQ1,28,ICM,I,12697,55.975,285.43,32.957,2177.6,2.77E+07,54.869,6.97E+05,56.911,7.23E+05,800.18,1.02E+07,352.51,4.48E+06,
020618Abl_CQ1,29,ICM,I,7875,90.772,326.32,31.999,2267.1,1.79E+07,269.03,2.12E+06,27.127,2.14E+05,833.31,6.56E+06,80.367,6.33E+05,
020618Abl_CQ1,31,TE,I,5213,157.9,388.96,31.033,2449.7,1.28E+07,23.783,1.24E+05,27.911,1.46E+05,741.66,3.87E+06,54.675,2.85E+05,
020618Abl_CQ1,32,TE,I,8731,413.81,227.69,35.977,3050.3,2.66E+07,27.055,2.36E+05,31.19,2.72E+05,775.16,6.77E+06,67.826,5.92E+05,
020618Abl_CQ1,33,TE,I,14591,314,101.65,38.094,2764.4,4.03E+07,25.616,3.74E+05,37.728,5.50E+05,781.99,1.14E+07,91.822,1.34E+06,
020618Abl_CQ1,34,ICM,I,4487,113.06,293.71,33.484,2438.3,1.09E+07,705.23,3.16E+06,22.232,99756,805.03,3.61E+06,43.732,1.96E+05,
020618Abl_CQ1,35,ICM,I,5707,131.93,192.96,36.8,2005.5,1.14E+07,656.51,3.75E+06,22.467,1.28E+05,823.02,4.70E+06,47.976,2.74E+05,
020618Abl_CQ1,36,ICM,I,4971,92.177,182.12,37.608,2296.4,1.14E+07,51.329,2.55E+05,54.294,2.70E+05,774.23,3.85E+06,350.99,1.74E+06,
020618Abl_CQ1,37,ICM,I,11096,71.947,249.76,38.008,1905.3,2.11E+07,62.225,6.90E+05,41.484,4.60E+05,810.89,9.00E+06,224.68,2.49E+06,
020618Abl_CQ1,38,ICM,I,3895,71.018,201.96,38.44,2357.4,9.18E+06,36.027,1.40E+05,55.197,2.15E+05,792.27,3.09E+06,359.45,1.40E+06,
020618Abl_CQ1,39,ICM,I,4938,116.47,225.23,39.552,1836,9.07E+06,575.77,2.84E+06,22.823,1.13E+05,715.65,3.53E+06,60.726,3.00E+05,
020618Abl_CQ1,40,ICM,I,4713,40.646,255.21,40.186,1799.6,8.48E+06,31.758,1.50E+05,38.764,1.83E+05,794.54,3.74E+06,218.26,1.03E+06,
020618Abl_CQ1,41,ICM,I,13599,118.92,307.34,41.8,1743.2,2.37E+07,243.47,3.31E+06,20.361,2.77E+05,762.25,1.04E+07,43.891,5.97E+05,
