
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
246.06,,Spot,2,Image 1,1,PRE,1000000000,0,
230.96,,Spot,2,Image 1,1,PRE,1000000001,1,
347.96,,Spot,2,Image 1,1,PRE,1000000002,2,
327.18,,Spot,2,Image 1,1,PRE,1000000003,3,
209,,Spot,2,Image 1,1,DP,1000000004,4,
191.87,,Spot,2,Image 1,1,DP,1000000005,5,
199.064,,Spot,2,Image 1,1,DP,1000000006,6,
152.952,,Spot,2,Image 1,1,DP,1000000007,7,
147.16,,Spot,2,Image 1,1,PRE,1000000008,8,
140.92,,Spot,2,Image 1,1,DP,1000000009,9,
212.04,,Spot,2,Image 1,1,DP,1000000010,10,
127.092,,Spot,2,Image 1,1,PRE,1000000012,12,
105.96,,Spot,2,Image 1,1,DP,1000000013,13,
103.04,,Spot,2,Image 1,2,DP,1000000013,14,
108.874,,Spot,2,Image 1,3,DP,1000000013,15,
108.936,,Spot,2,Image 1,4,DP,1000000013,16,
116.856,,Spot,2,Image 1,5,DP,1000000013,17,
127.488,,Spot,2,Image 1,6,DP,1000000013,18,
113.12,,Spot,2,Image 1,7,DP,1000000013,19,
97.08,,Spot,2,Image 1,8,DP,1000000013,20,
92.9,,Spot,2,Image 1,9,DP,1000000013,21,
89.12,,Spot,2,Image 1,10,DP,1000000013,22,
95.048,,Spot,2,Image 1,11,DP,1000000013,23,
93.042,,Spot,2,Image 1,12,DP,1000000013,24,
88.926,,Spot,2,Image 1,13,DP,1000000013,25,
98.122,,Spot,2,Image 1,14,DP,1000000013,26,
83.92,,Spot,2,Image 1,15,DP,1000000013,27,
104.088,,Spot,2,Image 1,16,DP,1000000013,28,
93.504,,Spot,2,Image 1,17,DP,1000000013,29,
88.896,,Spot,2,Image 1,18,DP,1000000013,30,
94.896,,Spot,2,Image 1,19,DP,1000000013,31,
88.088,,Spot,2,Image 1,20,DP,1000000013,32,
67.048,,Spot,2,Image 1,21,DP,1000000013,33,
63.964,,Spot,2,Image 1,22,DP,1000000013,34,
72.971,,Spot,2,Image 1,23,DP,1000000013,35,
76.092,,Spot,2,Image 1,24,DP,1000000013,36,
70.082,,Spot,2,Image 1,25,DP,1000000013,37,
62.072,,Spot,2,Image 1,26,DP,1000000013,38,
62.952,,Spot,2,Image 1,27,DP,1000000013,39,
63.908,,Spot,2,Image 1,28,DP,1000000013,40,
64.984,,Spot,2,Image 1,29,DP,1000000013,41,
53.992,,Spot,2,Image 1,30,DP,1000000013,42,
52.024,,Spot,2,Image 1,31,DP,1000000013,43,
53.06,,Spot,2,Image 1,32,DP,1000000013,44,
63.05,,Spot,2,Image 1,33,DP,1000000013,45,
62.088,,Spot,2,Image 1,34,DP,1000000013,46,
57.968,,Spot,2,Image 1,35,DP,1000000013,47,
61.072,,Spot,2,Image 1,36,DP,1000000013,48,
80.955,,Spot,2,Image 1,37,DP,1000000013,49,
79,,Spot,2,Image 1,38,DP,1000000013,50,
81.56,,Spot,2,Image 1,39,DP,1000000013,51,
76.96,,Spot,2,Image 1,40,DP,1000000013,52,
75.936,,Spot,2,Image 1,41,DP,1000000013,53,
77.04,,Spot,2,Image 1,42,DP,1000000013,54,
78.52,,Spot,2,Image 1,43,DP,1000000013,55,
71.015,,Spot,2,Image 1,44,DP,1000000013,56,
75.936,,Spot,2,Image 1,45,DP,1000000013,57,
72.05,,Spot,2,Image 1,46,DP,1000000013,58,
71.512,,Spot,2,Image 1,47,DP,1000000013,59,
70.96,,Spot,2,Image 1,48,DP,1000000013,60,
52.04,,Spot,2,Image 1,49,DP,1000000013,61,
40.976,,Spot,2,Image 1,50,DP,1000000013,62,
41.94,,Spot,2,Image 1,51,DP,1000000013,63,
43.056,,Spot,2,Image 1,52,DP,1000000013,64,
44.978,,Spot,2,Image 1,53,DP,1000000013,65,
45.022,,Spot,2,Image 1,54,DP;Mito,1000000013,66,
50,,Spot,2,Image 1,55,DP;d1,1000000013,67,
60.944,,Spot,2,Image 1,56,DP;d1,1000000013,68,
56.94,,Spot,2,Image 1,57,DP;d1,1000000013,69,
64.952,,Spot,2,Image 1,58,DP;d1,1000000013,70,
69.952,,Spot,2,Image 1,59,DP;d1,1000000013,71,
65.912,,Spot,2,Image 1,60,DP;d1,1000000013,72,
43.464,,Spot,2,Image 1,55,DP;d2,1000000013,73,
54.976,,Spot,2,Image 1,56,DP;d2,1000000013,74,
58.047,,Spot,2,Image 1,57,DP;d2,1000000013,75,
60.98,,Spot,2,Image 1,58,DP;d2,1000000013,76,
59.988,,Spot,2,Image 1,59,DP;d2,1000000013,77,
61.992,,Spot,2,Image 1,60,DP;d2,1000000013,78,
244.081,,Spot,2,Image 1,2,DP,1000000010,79,
238.6,,Spot,2,Image 1,3,DP,1000000010,80,
224.176,,Spot,2,Image 1,4,DP,1000000010,81,
217.88,,Spot,2,Image 1,5,DP,1000000010,82,
200.952,,Spot,2,Image 1,6,DP,1000000010,83,
199.979,,Spot,2,Image 1,7,DP,1000000010,84,
194.14,,Spot,2,Image 1,8,DP,1000000010,85,
212.12,,Spot,2,Image 1,9,DP,1000000010,86,
194.104,,Spot,2,Image 1,10,DP,1000000010,87,
180.952,,Spot,2,Image 1,11,DP,1000000010,88,
191.92,,Spot,2,Image 1,12,DP,1000000010,89,
172.944,,Spot,2,Image 1,13,DP,1000000010,90,
176.118,,Spot,2,Image 1,14,DP,1000000010,91,
168.536,,Spot,2,Image 1,15,DP,1000000010,92,
163.96,,Spot,2,Image 1,16,DP,1000000010,93,
178.08,,Spot,2,Image 1,17,DP,1000000010,94,
167.48,,Spot,2,Image 1,18,DP,1000000010,95,
77.064,,Spot,2,Image 1,19,DP,1000000010,96,
77.97,,Spot,2,Image 1,20,DP;Mito,1000000010,97,
92.008,,Spot,2,Image 1,21,DP;d1,1000000010,98,
119.968,,Spot,2,Image 1,22,DP;d1,1000000010,99,
129.024,,Spot,2,Image 1,23,DP;d1,1000000010,100,
127.076,,Spot,2,Image 1,24,DP;d1,1000000010,101,
126.936,,Spot,2,Image 1,25,DP;d1,1000000010,102,
115.52,,Spot,2,Image 1,26,DP;d1,1000000010,103,
119.912,,Spot,2,Image 1,27,DP;d1,1000000010,104,
106.04,,Spot,2,Image 1,28,DP;d1,1000000010,105,
118.152,,Spot,2,Image 1,29,DP;d1,1000000010,106,
113.08,,Spot,2,Image 1,30,DP;d1,1000000010,107,
113.08,,Spot,2,Image 1,31,DP;d1,1000000010,108,
