
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
35,,Spot,2,Image 1,1,PRE,1000000017,17,
14,,Spot,2,Image 1,1,PRE,1000000077,77,
27,,Spot,2,Image 1,1,DP,1000000133,133,
26,,Spot,2,Image 1,2,PRE,1000000017,135,
22,,Spot,2,Image 1,2,PRE,1000000077,136,
25,,Spot,2,Image 1,2,DP,1000000133,138,
24,,Spot,2,Image 1,3,PRE,1000000017,140,
23,,Spot,2,Image 1,3,PRE,1000000077,141,
24,,Spot,2,Image 1,3,Apoptosis;DP,1000000133,143,
21,,Spot,2,Image 1,4,PRE,1000000017,145,
27,,Spot,2,Image 1,4,PRE,1000000077,146,
18,,Spot,2,Image 1,5,PRE,1000000017,149,
21,,Spot,2,Image 1,5,PRE,1000000077,150,
21,,Spot,2,Image 1,6,PRE,1000000017,153,
34,,Spot,2,Image 1,6,PRE,1000000077,154,
23,,Spot,2,Image 1,7,PRE,1000000017,157,
19,,Spot,2,Image 1,7,PRE,1000000077,158,
21,,Spot,2,Image 1,8,PRE,1000000017,161,
18,,Spot,2,Image 1,8,PRE,1000000077,162,
24,,Spot,2,Image 1,9,PRE,1000000017,164,
21,,Spot,2,Image 1,9,PRE,1000000077,165,
25,,Spot,2,Image 1,10,PRE,1000000017,167,
24,,Spot,2,Image 1,10,PRE,1000000077,168,
21,,Spot,2,Image 1,11,PRE,1000000017,170,
15,,Spot,2,Image 1,11,PRE,1000000077,171,
27,,Spot,2,Image 1,12,PRE,1000000017,173,
20,,Spot,2,Image 1,12,PRE,1000000077,174,
24,,Spot,2,Image 1,13,PRE,1000000017,176,
18,,Spot,2,Image 1,13,PRE,1000000077,177,
23,,Spot,2,Image 1,14,PRE,1000000017,179,
23,,Spot,2,Image 1,14,PRE,1000000077,180,
15,,Spot,2,Image 1,15,PRE,1000000017,182,
16,,Spot,2,Image 1,15,PRE,1000000077,183,
20,,Spot,2,Image 1,16,PRE,1000000017,185,
23,,Spot,2,Image 1,16,PRE,1000000077,186,
16,,Spot,2,Image 1,17,PRE,1000000017,188,
16,,Spot,2,Image 1,17,PRE,1000000077,189,
20,,Spot,2,Image 1,18,PRE,1000000017,190,
15,,Spot,2,Image 1,18,PRE,1000000077,191,
21,,Spot,2,Image 1,19,PRE,1000000017,192,
13,,Spot,2,Image 1,19,PRE,1000000077,193,
22,,Spot,2,Image 1,20,PRE,1000000017,194,
18,,Spot,2,Image 1,20,PRE,1000000077,195,
20,,Spot,2,Image 1,21,PRE,1000000017,196,
21,,Spot,2,Image 1,21,PRE,1000000077,197,
15,,Spot,2,Image 1,22,PRE,1000000017,198,
18,,Spot,2,Image 1,22,PRE,1000000077,199,
