
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
169.012,,Spot,3,Image 1,1,PRE;targeted,1000000000,0,
119.48,,Spot,3,Image 1,1,PRE;targeted,1000000001,1,
185.048,,Spot,3,Image 1,1,PRE,1000000002,2,
158.048,,Spot,3,Image 1,1,PRE;targeted,1000000003,3,
149.982,,Spot,3,Image 1,1,PRE;targeted,1000000004,4,
146.04,,Spot,3,Image 1,1,PRE;targeted,1000000005,5,
94.02,,Spot,3,Image 1,1,PRE;targeted,1000000007,7,
137.054,,Spot,3,Image 1,1,DP,1000000370,370,
167.96,,Spot,3,Image 1,1,PRE,1000000378,378,
168.96,,Spot,3,Image 1,2,PRE,1000000002,379,
155.504,,Spot,3,Image 1,2,PRE;targeted,1000000000,380,
156.05,,Spot,3,Image 1,2,PRE;targeted,1000000001,381,
277.92,,Spot,3,Image 1,2,Apoptosis;PRE;targeted,1000000003,382,
172.032,,Spot,3,Image 1,2,PRE;targeted,1000000004,383,
154.496,,Spot,3,Image 1,2,PRE;targeted,1000000005,384,
116.02,,Spot,3,Image 1,2,PRE;targeted,1000000007,385,
96.016,,Spot,3,Image 1,2,DP,1000000370,386,
183.488,,Spot,3,Image 1,2,PRE,1000000378,387,
182.52,,Spot,3,Image 1,3,PRE,1000000002,388,
167.032,,Spot,3,Image 1,3,PRE;targeted,1000000000,389,
149.982,,Spot,3,Image 1,3,PRE;targeted,1000000001,390,
151.05,,Spot,3,Image 1,3,PRE;targeted,1000000004,391,
162,,Spot,3,Image 1,3,PRE;targeted,1000000005,392,
99.976,,Spot,3,Image 1,3,PRE;targeted,1000000007,393,
90.04,,Spot,3,Image 1,3,DP,1000000370,394,
210,,Spot,3,Image 1,3,PRE,1000000378,395,
161.992,,Spot,3,Image 1,4,PRE,1000000002,396,
164.912,,Spot,3,Image 1,4,PRE;targeted,1000000000,397,
152.4,,Spot,3,Image 1,4,PRE;targeted,1000000001,398,
100.04,,Spot,3,Image 1,4,PRE;targeted,1000000004,399,
204.08,,Spot,3,Image 1,4,PRE;targeted,1000000005,400,
133.52,,Spot,3,Image 1,4,PRE;targeted,1000000007,401,
124.08,,Spot,3,Image 1,4,DP,1000000370,402,
188.064,,Spot,3,Image 1,4,PRE,1000000378,403,
126.04,,Spot,3,Image 1,5,PRE,1000000002,404,
174.984,,Spot,3,Image 1,5,PRE;targeted,1000000000,405,
144.048,,Spot,3,Image 1,5,PRE;targeted,1000000001,406,
180.008,,Spot,3,Image 1,5,PRE;targeted,1000000004,407,
185.996,,Spot,3,Image 1,5,PRE;targeted,1000000005,408,
87.52,,Spot,3,Image 1,5,PRE;targeted,1000000007,409,
139.048,,Spot,3,Image 1,5,DP,1000000370,410,
170.824,,Spot,3,Image 1,5,PRE,1000000378,411,
193.096,,Spot,3,Image 1,6,PRE,1000000002,412,
188.096,,Spot,3,Image 1,6,PRE;targeted,1000000000,413,
111.96,,Spot,3,Image 1,6,PRE;targeted,1000000001,414,
164.896,,Spot,3,Image 1,6,PRE;targeted,1000000004,415,
197.988,,Spot,3,Image 1,6,PRE;targeted,1000000005,416,
111.024,,Spot,3,Image 1,6,PRE;targeted,1000000007,417,
114.032,,Spot,3,Image 1,6,DP,1000000370,418,
162.984,,Spot,3,Image 1,6,PRE,1000000378,419,
217.984,,Spot,3,Image 1,7,PRE,1000000002,420,
249.04,,Spot,3,Image 1,7,PRE;targeted,1000000000,421,
117,,Spot,3,Image 1,7,PRE;targeted,1000000001,422,
164.052,,Spot,3,Image 1,7,PRE;targeted,1000000004,423,
150.56,,Spot,3,Image 1,7,PRE;targeted,1000000005,424,
127.1,,Spot,3,Image 1,7,PRE;targeted,1000000007,425,
109.95,,Spot,3,Image 1,7,DP,1000000370,426,
154,,Spot,3,Image 1,7,PRE,1000000378,427,
215.004,,Spot,3,Image 1,8,PRE,1000000002,428,
186.012,,Spot,3,Image 1,8,PRE;targeted,1000000000,429,
136.928,,Spot,3,Image 1,8,PRE;targeted,1000000001,430,
148.512,,Spot,3,Image 1,8,PRE;targeted,1000000004,431,
164,,Spot,3,Image 1,8,PRE;targeted,1000000005,432,
111.464,,Spot,3,Image 1,8,PRE;targeted,1000000007,433,
175.016,,Spot,3,Image 1,8,Apoptosis;DP,1000000370,434,
166.92,,Spot,3,Image 1,8,PRE,1000000378,435,
200.464,,Spot,3,Image 1,9,PRE,1000000002,436,
177.072,,Spot,3,Image 1,9,PRE;targeted,1000000000,437,
130.036,,Spot,3,Image 1,9,Apoptosis;PRE;targeted,1000000001,438,
140,,Spot,3,Image 1,9,PRE;targeted,1000000004,439,
158,,Spot,3,Image 1,9,PRE;targeted,1000000005,440,
127.968,,Spot,3,Image 1,9,PRE;targeted,1000000007,441,
161.064,,Spot,3,Image 1,9,PRE,1000000378,442,
193.56,,Spot,3,Image 1,10,PRE,1000000002,443,
147.872,,Spot,3,Image 1,10,PRE;targeted,1000000000,444,
135.992,,Spot,3,Image 1,10,PRE;targeted,1000000004,445,
120.944,,Spot,3,Image 1,10,PRE;targeted,1000000005,446,
179.012,,Spot,3,Image 1,10,PRE;targeted,1000000007,447,
138.064,,Spot,3,Image 1,10,PRE,1000000378,448,
151.04,,Spot,3,Image 1,11,PRE,1000000002,449,
149.984,,Spot,3,Image 1,11,PRE;targeted,1000000000,450,
136.028,,Spot,3,Image 1,11,PRE;targeted,1000000004,451,
155.016,,Spot,3,Image 1,11,PRE;targeted,1000000005,452,
187,,Spot,3,Image 1,11,PRE,1000000378,453,
124.036,,Spot,3,Image 1,12,PRE,1000000002,454,
139.456,,Spot,3,Image 1,12,PRE;targeted,1000000000,455,
149.008,,Spot,3,Image 1,12,PRE;targeted,1000000004,456,
96,,Spot,3,Image 1,12,PRE;targeted,1000000005,457,
173.896,,Spot,3,Image 1,12,PRE,1000000378,458,
174.968,,Spot,3,Image 1,13,PRE,1000000002,459,
161.08,,Spot,3,Image 1,13,PRE;targeted,1000000000,460,
90.496,,Spot,3,Image 1,13,PRE;targeted,1000000004,461,
153.012,,Spot,3,Image 1,13,PRE;targeted,1000000005,462,
205.064,,Spot,3,Image 1,13,PRE,1000000378,463,
112.048,,Spot,3,Image 1,14,PRE,1000000002,464,
200.02,,Spot,3,Image 1,14,PRE;targeted,1000000000,465,
142.54,,Spot,3,Image 1,14,PRE;targeted,1000000004,466,
151.052,,Spot,3,Image 1,14,PRE;targeted,1000000005,467,
175.072,,Spot,3,Image 1,14,PRE,1000000378,468,
181.968,,Spot,3,Image 1,15,PRE,1000000002,469,
155.976,,Spot,3,Image 1,15,PRE;targeted,1000000000,470,
194.05,,Spot,3,Image 1,15,PRE;targeted,1000000004,471,
171.512,,Spot,3,Image 1,15,PRE;targeted,1000000005,472,
210,,Spot,3,Image 1,15,PRE,1000000378,473,
109.128,,Spot,3,Image 1,16,PRE,1000000002,474,
109.976,,Spot,3,Image 1,16,PRE;targeted,1000000000,475,
148.488,,Spot,3,Image 1,16,PRE;targeted,1000000004,476,
171.94,,Spot,3,Image 1,16,PRE;targeted,1000000005,477,
187.104,,Spot,3,Image 1,16,PRE,1000000378,478,
111.062,,Spot,3,Image 1,17,PRE,1000000002,479,
122.96,,Spot,3,Image 1,17,PRE;targeted,1000000000,480,
162.968,,Spot,3,Image 1,17,PRE;targeted,1000000004,481,
155.52,,Spot,3,Image 1,17,PRE;targeted,1000000005,482,
176.04,,Spot,3,Image 1,17,Apoptosis;PRE,1000000378,483,
167.08,,Spot,3,Image 1,18,PRE,1000000002,484,
194,,Spot,3,Image 1,18,PRE;targeted,1000000000,485,
132.976,,Spot,3,Image 1,18,PRE;targeted,1000000004,486,
122.98,,Spot,3,Image 1,18,PRE;targeted,1000000005,487,
111.936,,Spot,3,Image 1,19,PRE,1000000002,488,
152.054,,Spot,3,Image 1,19,PRE;targeted,1000000000,489,
128.52,,Spot,3,Image 1,19,PRE;targeted,1000000004,490,
185.072,,Spot,3,Image 1,19,PRE;targeted,1000000005,491,
135.02,,Spot,3,Image 1,20,PRE,1000000002,492,
129.44,,Spot,3,Image 1,20,PRE;targeted,1000000000,493,
134.984,,Spot,3,Image 1,20,PRE;targeted,1000000004,494,
190.1,,Spot,3,Image 1,20,PRE;targeted,1000000005,495,
129.88,,Spot,3,Image 1,21,PRE,1000000002,496,
170.992,,Spot,3,Image 1,21,Apoptosis;PRE;targeted,1000000000,497,
139.968,,Spot,3,Image 1,21,PRE;targeted,1000000004,498,
142.01,,Spot,3,Image 1,21,PRE;targeted,1000000005,499,
90.424,,Spot,3,Image 1,22,PRE,1000000002,500,
173.96,,Spot,3,Image 1,22,PRE;targeted,1000000004,501,
116.496,,Spot,3,Image 1,22,PRE;targeted,1000000005,502,
178.004,,Spot,3,Image 1,23,PRE,1000000002,503,
172.54,,Spot,3,Image 1,23,PRE;targeted,1000000004,504,
131.456,,Spot,3,Image 1,23,PRE;targeted,1000000005,505,
179.96,,Spot,3,Image 1,24,PRE,1000000002,506,
165.048,,Spot,3,Image 1,24,PRE;targeted,1000000004,507,
147.464,,Spot,3,Image 1,24,PRE;targeted,1000000005,508,
148.028,,Spot,3,Image 1,25,PRE,1000000002,509,
117.5,,Spot,3,Image 1,25,PRE;targeted,1000000004,510,
168.472,,Spot,3,Image 1,25,PRE;targeted,1000000005,511,
132,,Spot,3,Image 1,26,PRE,1000000002,512,
125.064,,Spot,3,Image 1,26,PRE;targeted,1000000004,513,
144.52,,Spot,3,Image 1,26,PRE;targeted,1000000005,514,
156,,Spot,3,Image 1,27,PRE,1000000002,515,
139,,Spot,3,Image 1,27,PRE;targeted,1000000004,516,
103.028,,Spot,3,Image 1,27,PRE;targeted,1000000005,517,
165.92,,Spot,3,Image 1,28,PRE,1000000002,518,
170.962,,Spot,3,Image 1,28,PRE;targeted,1000000004,519,
110.04,,Spot,3,Image 1,28,PRE;targeted,1000000005,520,
164.84,,Spot,3,Image 1,29,PRE,1000000002,521,
153.968,,Spot,3,Image 1,29,PRE;targeted,1000000004,522,
109.008,,Spot,3,Image 1,29,PRE;targeted,1000000005,523,
181.928,,Spot,3,Image 1,30,PRE,1000000002,524,
187.008,,Spot,3,Image 1,30,PRE;targeted,1000000004,525,
136.024,,Spot,3,Image 1,30,PRE;targeted,1000000005,526,
167.96,,Spot,3,Image 1,31,PRE,1000000002,527,
170.032,,Spot,3,Image 1,31,PRE;targeted,1000000004,528,
114.948,,Spot,3,Image 1,31,PRE;targeted,1000000005,529,
129.144,,Spot,3,Image 1,32,PRE,1000000002,530,
169.015,,Spot,3,Image 1,32,PRE;targeted,1000000004,531,
152.424,,Spot,3,Image 1,32,PRE;targeted,1000000005,532,
146.136,,Spot,3,Image 1,33,PRE,1000000002,533,
195,,Spot,3,Image 1,33,Apoptosis;PRE;targeted,1000000004,534,
137.816,,Spot,3,Image 1,33,PRE;targeted,1000000005,535,
129.048,,Spot,3,Image 1,34,PRE,1000000002,536,
146.92,,Spot,3,Image 1,34,PRE;targeted,1000000005,537,
180.6,,Spot,3,Image 1,35,PRE,1000000002,538,
115.968,,Spot,3,Image 1,35,PRE;targeted,1000000005,539,
178.04,,Spot,3,Image 1,36,PRE,1000000002,540,
182,,Spot,3,Image 1,36,PRE;targeted,1000000005,541,
150.024,,Spot,3,Image 1,37,PRE,1000000002,542,
167.904,,Spot,3,Image 1,37,PRE;targeted,1000000005,543,
109.06,,Spot,3,Image 1,38,PRE,1000000002,544,
165.056,,Spot,3,Image 1,38,PRE;targeted,1000000005,545,
145.496,,Spot,3,Image 1,39,PRE,1000000002,546,
136.96,,Spot,3,Image 1,39,PRE;targeted,1000000005,547,
92.032,,Spot,3,Image 1,40,PRE,1000000002,548,
121.072,,Spot,3,Image 1,40,PRE;targeted,1000000005,549,
149.488,,Spot,3,Image 1,41,PRE,1000000002,550,
162.512,,Spot,3,Image 1,41,PRE;targeted,1000000005,551,
184.032,,Spot,3,Image 1,42,PRE,1000000002,552,
142.99,,Spot,3,Image 1,42,PRE;targeted,1000000005,553,
92.056,,Spot,3,Image 1,43,PRE,1000000002,554,
137.04,,Spot,3,Image 1,43,PRE;targeted,1000000005,555,
110.96,,Spot,3,Image 1,44,PRE,1000000002,556,
175.52,,Spot,3,Image 1,44,PRE;targeted,1000000005,557,
158.08,,Spot,3,Image 1,45,PRE,1000000002,558,
123.04,,Spot,3,Image 1,45,PRE;targeted,1000000005,559,
151.04,,Spot,3,Image 1,46,PRE,1000000002,560,
141.032,,Spot,3,Image 1,46,PRE;targeted,1000000005,561,
153.096,,Spot,3,Image 1,47,PRE,1000000002,562,
211.472,,Spot,3,Image 1,47,PRE;targeted,1000000005,563,
181.528,,Spot,3,Image 1,48,PRE,1000000002,564,
