
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
1261,,Spot,3,Image 1,1,PRE;targeted,1000000000,0,
606,,Spot,3,Image 1,1,PRE;targeted,1000000001,1,
958,,Spot,3,Image 1,1,PRE;targeted,1000000002,2,
884,,Spot,3,Image 1,1,PRE;targeted,1000000003,3,
726,,Spot,3,Image 1,1,PRE;targeted,1000000004,4,
982,,Spot,3,Image 1,1,PRE;targeted,1000000005,5,
977,,Spot,3,Image 1,1,DP,1000000081,81,
768,,Spot,3,Image 1,1,DP,1000000082,82,
660,,Spot,3,Image 1,1,DP,1000000083,83,
973,,Spot,3,Image 1,1,EPI,1000000084,84,
686,,Spot,3,Image 1,1,DP,1000000085,85,
612,,Spot,3,Image 1,1,DP;Mito,1000000086,86,
627,,Spot,3,Image 1,1,DP,1000000087,87,
1020,,Spot,3,Image 1,1,DP;Mito,1000000088,88,
626,,Spot,3,Image 1,1,DP,1000000090,90,
866,,Spot,3,Image 1,1,DP,1000000091,91,
1132,,Spot,3,Image 1,1,EPI,1000000093,93,
1173,,Spot,3,Image 1,1,DP,1000000094,94,
960,,Spot,3,Image 1,1,EPI,1000000095,95,
690,,Spot,3,Image 1,1,DP,1000000096,96,
730,,Spot,3,Image 1,1,DP,1000000097,97,
759,,Spot,3,Image 1,1,DP,1000000098,98,
638,,Spot,3,Image 1,1,EPI,1000000099,99,
751,,Spot,3,Image 1,1,DP,1000001710,1710,
613,,Spot,3,Image 1,1,EPI,1000001711,1711,
963,,Spot,3,Image 1,1,EPI,1000001712,1712,
957,,Spot,3,Image 1,1,EPI,1000001794,1794,
1047,,Spot,3,Image 1,1,DP,1000001855,1855,
1087,,Spot,3,Image 1,2,PRE;targeted,1000000000,1856,
1460,,Spot,3,Image 1,2,PRE;targeted,1000000002,1857,
629,,Spot,3,Image 1,2,PRE;targeted,1000000001,1858,
617,,Spot,3,Image 1,2,PRE;targeted,1000000003,1859,
557,,Spot,3,Image 1,2,PRE;targeted,1000000004,1860,
1083,,Spot,3,Image 1,2,PRE;targeted,1000000005,1861,
935,,Spot,3,Image 1,2,DP,1000000082,1862,
