
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
377.421,,Spot,3,Image 1,1,PRE;targeted,1000000001,1,
290.288,,Spot,3,Image 1,1,PRE;targeted,1000000002,2,
304.106,,Spot,3,Image 1,1,PRE;targeted,1000000003,3,
401.949,,Spot,3,Image 1,1,PRE;targeted,1000000004,4,
407.804,,Spot,3,Image 1,1,PRE;targeted,1000000005,5,
471.532,,Spot,3,Image 1,1,PRE;targeted,1000000006,6,
350.288,,Spot,3,Image 1,1,PRE;targeted,1000000007,7,
329.328,,Spot,3,Image 1,1,DP;targeted,1000000008,8,
333.642,,Spot,3,Image 1,1,PRE;targeted,1000000009,9,
395.275,,Spot,3,Image 1,1,DP;targeted,1000000010,10,
455.011,,Spot,3,Image 1,1,PRE;targeted,1000000079,79,
355.742,,Spot,3,Image 1,1,EPI,1000000306,306,
410.18,,Spot,3,Image 1,1,EPI,1000000308,308,
377.587,,Spot,3,Image 1,1,DP,1000000310,310,
457.575,,Spot,3,Image 1,1,DP,1000000311,311,
426.361,,Spot,3,Image 1,1,EPI,1000000312,312,
424.706,,Spot,3,Image 1,1,EPI,1000000313,313,
495.426,,Spot,3,Image 1,1,EPI,1000000315,315,
335.926,,Spot,3,Image 1,1,DP,1000000316,316,
371.707,,Spot,3,Image 1,1,DP,1000000318,318,
412.312,,Spot,3,Image 1,1,DP,1000000319,319,
339.686,,Spot,3,Image 1,1,DP,1000000320,320,
330.784,,Spot,3,Image 1,2,PRE;targeted,1000000002,321,
376.316,,Spot,3,Image 1,2,PRE;targeted,1000000001,322,
414.778,,Spot,3,Image 1,2,PRE;targeted,1000000005,323,
392.591,,Spot,3,Image 1,2,PRE;targeted,1000000004,324,
469.174,,Spot,3,Image 1,2,PRE;targeted,1000000079,325,
345.607,,Spot,3,Image 1,2,PRE;targeted,1000000003,326,
504.66,,Spot,3,Image 1,2,PRE;targeted,1000000006,327,
419.393,,Spot,3,Image 1,2,DP;targeted,1000000010,328,
363.155,,Spot,3,Image 1,2,PRE;targeted,1000000009,329,
369.186,,Spot,3,Image 1,2,PRE;targeted,1000000007,330,
352.681,,Spot,3,Image 1,2,DP;targeted,1000000008,331,
354.274,,Spot,3,Image 1,2,EPI,1000000306,332,
343.348,,Spot,3,Image 1,2,DP,1000000311,405,
375.202,,Spot,3,Image 1,2,EPI;Mito,1000000312,442,
328.994,,Spot,3,Image 1,2,DP,1000000318,546,
360.024,,Spot,3,Image 1,2,DP,1000000319,587,
530.612,,Spot,3,Image 1,2,EPI,1000000313,646,
445.303,,Spot,3,Image 1,2,EPI,1000000315,724,
383.426,,Spot,3,Image 1,2,DP,1000000310,828,
443.053,,Spot,3,Image 1,2,EPI,1000000308,939,
315.344,,Spot,3,Image 1,2,DP,1000000320,1045,
321.883,,Spot,3,Image 1,2,DP,1000000316,1104,
397.718,,Spot,3,Image 1,3,PRE;targeted,1000000002,1105,
441.19,,Spot,3,Image 1,3,PRE;targeted,1000000001,1106,
398.792,,Spot,3,Image 1,3,PRE;targeted,1000000005,1107,
476.54,,Spot,3,Image 1,3,PRE;targeted,1000000004,1108,
455.213,,Spot,3,Image 1,3,PRE;targeted,1000000079,1109,
320.81,,Spot,3,Image 1,3,PRE;targeted,1000000003,1110,
415.366,,Spot,3,Image 1,3,PRE;targeted,1000000006,1111,
338.828,,Spot,3,Image 1,3,DP;targeted,1000000010,1112,
397.993,,Spot,3,Image 1,3,PRE;targeted,1000000009,1113,
305.024,,Spot,3,Image 1,3,PRE;targeted,1000000007,1114,
509.603,,Spot,3,Image 1,3,DP;targeted,1000000008,1115,
410.307,,Spot,3,Image 1,3,EPI,1000000306,1116,
361.414,,Spot,3,Image 1,3,DP,1000000311,1117,
356.278,,Spot,3,Image 1,3,EPI;d1,1000000312,1118,
479.311,,Spot,3,Image 1,3,EPI;d2,1000000312,1119,
382.684,,Spot,3,Image 1,3,DP,1000000318,1120,
375.039,,Spot,3,Image 1,3,DP,1000000319,1121,
409.831,,Spot,3,Image 1,3,EPI,1000000313,1122,
456.127,,Spot,3,Image 1,3,EPI,1000000315,1123,
378.913,,Spot,3,Image 1,3,DP,1000000310,1124,
477.058,,Spot,3,Image 1,3,EPI;d1,1000001125,1125,
