
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
5,,Spot,1,Image 1,1,DP,1000000000,0,
8,,Spot,1,Image 1,1,PRE,1000000001,1,
7,,Spot,1,Image 1,1,DP,1000000002,2,
18,,Spot,1,Image 1,1,PRE,1000000003,3,
32,,Spot,1,Image 1,1,PRE,1000000004,4,
12,,Spot,1,Image 1,1,PRE,1000000005,5,
13,,Spot,1,Image 1,1,PRE,1000000006,6,
3,,Spot,1,Image 1,1,DP,1000000007,7,
5,,Spot,1,Image 1,1,DP,1000000008,8,
6,,Spot,1,Image 1,1,DP,1000000009,9,
9,,Spot,1,Image 1,1,PRE,1000000010,10,
10,,Spot,1,Image 1,1,PRE,1000000011,11,
7,,Spot,1,Image 1,1,PRE,1000000012,12,
6,,Spot,1,Image 1,1,PRE,1000000013,13,
11,,Spot,1,Image 1,1,PRE,1000000014,14,
9,,Spot,1,Image 1,1,PRE,1000000015,15,
7,,Spot,1,Image 1,1,PRE,1000000016,16,
8,,Spot,1,Image 1,1,PRE,1000000017,17,
6,,Spot,1,Image 1,1,DP,1000000018,18,
6,,Spot,1,Image 1,1,DP,1000000019,19,
8,,Spot,1,Image 1,1,DP,1000000020,20,
6,,Spot,1,Image 1,1,DP,1000000022,22,
7,,Spot,1,Image 1,1,DP,1000000023,23,
5,,Spot,1,Image 1,1,DP,1000000024,24,
5,,Spot,1,Image 1,1,DP,1000000025,25,
8,,Spot,1,Image 1,1,DP,1000000026,26,
5,,Spot,1,Image 1,1,DP,1000000027,27,
5,,Spot,1,Image 1,1,EPI;targeted,1000003049,3049,
22,,Spot,1,Image 1,2,PRE,1000000003,3050,
9,,Spot,1,Image 1,2,PRE,1000000006,3051,
6,,Spot,1,Image 1,2,DP,1000000002,3052,
6,,Spot,1,Image 1,2,DP,1000000007,3053,
11,,Spot,1,Image 1,2,PRE,1000000005,3054,
6,,Spot,1,Image 1,2,DP,1000000008,3055,
5,,Spot,1,Image 1,2,DP;Mito,1000000000,3056,
28,,Spot,1,Image 1,2,PRE,1000000004,3057,
8,,Spot,1,Image 1,2,PRE,1000000011,3058,
5,,Spot,1,Image 1,2,PRE,1000000015,3059,
9,,Spot,1,Image 1,2,PRE,1000000014,3060,
7,,Spot,1,Image 1,2,PRE,1000000017,3061,
8,,Spot,1,Image 1,2,PRE,1000000016,3062,
7,,Spot,1,Image 1,2,PRE,1000000013,3063,
11,,Spot,1,Image 1,2,PRE,1000000012,3064,
5,,Spot,1,Image 1,2,DP,1000000009,3065,
7,,Spot,1,Image 1,2,DP,1000000018,3066,
9,,Spot,1,Image 1,2,DP,1000000020,3067,
3,,Spot,1,Image 1,2,DP,1000000019,3068,
11,,Spot,1,Image 1,2,PRE,1000000010,3069,
12,,Spot,1,Image 1,2,Mito;PRE,1000000001,3070,
6,,Spot,1,Image 1,2,DP,1000000022,3071,
4,,Spot,1,Image 1,2,DP,1000000024,3072,
7,,Spot,1,Image 1,2,DP,1000000023,3073,
5,,Spot,1,Image 1,2,DP,1000000025,3074,
8,,Spot,1,Image 1,2,DP,1000000026,3075,
6,,Spot,1,Image 1,2,DP,1000000027,3076,
8,,Spot,1,Image 1,2,EPI;targeted,1000003049,3077,
23,,Spot,1,Image 1,3,PRE,1000000003,3078,
9,,Spot,1,Image 1,3,PRE,1000000006,3079,
7,,Spot,1,Image 1,3,DP,1000000002,3080,
5,,Spot,1,Image 1,3,DP,1000000007,3081,
6,,Spot,1,Image 1,3,PRE,1000000005,3082,
4,,Spot,1,Image 1,3,DP,1000000008,3083,
5,,Spot,1,Image 1,3,DP;d1,1000000000,3084,
3,,Spot,1,Image 1,3,DP;d2,1000000000,3085,
36,,Spot,1,Image 1,3,PRE,1000000004,3086,
9,,Spot,1,Image 1,3,PRE,1000000011,3087,
9,,Spot,1,Image 1,3,PRE,1000000015,3088,
12,,Spot,1,Image 1,3,PRE,1000000014,3089,
5,,Spot,1,Image 1,3,PRE,1000000017,3090,
4,,Spot,1,Image 1,3,PRE,1000000016,3091,
3,,Spot,1,Image 1,3,PRE,1000000013,3092,
12,,Spot,1,Image 1,3,PRE,1000000012,3093,
7,,Spot,1,Image 1,3,DP,1000000009,3094,
3,,Spot,1,Image 1,3,DP,1000000018,3095,
6,,Spot,1,Image 1,3,DP,1000000020,3096,
10,,Spot,1,Image 1,3,DP,1000000019,3097,
13,,Spot,1,Image 1,3,PRE,1000000010,3098,
11,,Spot,1,Image 1,3,PRE;d2,1000000001,3099,
9,,Spot,1,Image 1,3,PRE;d1,1000000001,3100,
4,,Spot,1,Image 1,3,DP,1000000022,3101,
2,,Spot,1,Image 1,3,DP,1000000024,3102,
5,,Spot,1,Image 1,3,DP,1000000023,3103,
7,,Spot,1,Image 1,3,DP,1000000025,3104,
4,,Spot,1,Image 1,3,DP,1000000026,3105,
5,,Spot,1,Image 1,3,DP,1000000027,3106,
6,,Spot,1,Image 1,3,EPI;targeted,1000003049,3107,
17,,Spot,1,Image 1,4,PRE,1000000003,3108,
12,,Spot,1,Image 1,4,PRE,1000000006,3109,
4,,Spot,1,Image 1,4,DP,1000000002,3110,
6,,Spot,1,Image 1,4,DP,1000000007,3111,
13,,Spot,1,Image 1,4,PRE,1000000005,3112,
6,,Spot,1,Image 1,4,DP,1000000008,3113,
8,,Spot,1,Image 1,4,DP;d2,1000000000,3114,
8,,Spot,1,Image 1,4,DP;d1,1000000000,3115,
30,,Spot,1,Image 1,4,PRE,1000000004,3116,
9,,Spot,1,Image 1,4,PRE,1000000011,3117,
9,,Spot,1,Image 1,4,PRE,1000000015,3118,
9,,Spot,1,Image 1,4,PRE,1000000014,3119,
4,,Spot,1,Image 1,4,PRE,1000000017,3120,
6,,Spot,1,Image 1,4,PRE,1000000016,3121,
9,,Spot,1,Image 1,4,PRE,1000000013,3122,
8,,Spot,1,Image 1,4,PRE,1000000012,3123,
5,,Spot,1,Image 1,4,DP,1000000009,3124,
4,,Spot,1,Image 1,4,DP,1000000018,3125,
7,,Spot,1,Image 1,4,DP,1000000020,3126,
6,,Spot,1,Image 1,4,DP,1000000019,3127,
11,,Spot,1,Image 1,4,PRE,1000000010,3128,
6,,Spot,1,Image 1,4,PRE;d2,1000000001,3129,
12,,Spot,1,Image 1,4,PRE;d1,1000000001,3130,
6,,Spot,1,Image 1,4,DP,1000000022,3131,
3,,Spot,1,Image 1,4,DP,1000000024,3132,
5,,Spot,1,Image 1,4,DP,1000000023,3133,
6,,Spot,1,Image 1,4,DP,1000000025,3134,
5,,Spot,1,Image 1,4,DP,1000000026,3135,
5,,Spot,1,Image 1,4,DP,1000000027,3136,
6,,Spot,1,Image 1,4,EPI;targeted,1000003049,3137,
12,,Spot,1,Image 1,5,PRE,1000000003,3138,
6,,Spot,1,Image 1,5,PRE,1000000006,3139,
6,,Spot,1,Image 1,5,DP,1000000002,3140,
5,,Spot,1,Image 1,5,DP,1000000007,3141,
11,,Spot,1,Image 1,5,PRE,1000000005,3142,
4,,Spot,1,Image 1,5,DP,1000000008,3143,
6,,Spot,1,Image 1,5,DP;d2,1000000000,3144,
7,,Spot,1,Image 1,5,DP;d1,1000000000,3145,
36,,Spot,1,Image 1,5,PRE,1000000004,3146,
10,,Spot,1,Image 1,5,PRE,1000000011,3147,
5,,Spot,1,Image 1,5,PRE,1000000015,3148,
7,,Spot,1,Image 1,5,PRE,1000000014,3149,
7,,Spot,1,Image 1,5,PRE,1000000017,3150,
6,,Spot,1,Image 1,5,PRE,1000000016,3151,
9,,Spot,1,Image 1,5,PRE,1000000013,3152,
13,,Spot,1,Image 1,5,PRE,1000000012,3153,
5,,Spot,1,Image 1,5,DP,1000000009,3154,
4,,Spot,1,Image 1,5,DP,1000000018,3155,
7,,Spot,1,Image 1,5,DP,1000000020,3156,
7,,Spot,1,Image 1,5,DP,1000000019,3157,
8,,Spot,1,Image 1,5,PRE,1000000010,3158,
14,,Spot,1,Image 1,5,PRE;d2,1000000001,3159,
11,,Spot,1,Image 1,5,PRE;d1,1000000001,3160,
7,,Spot,1,Image 1,5,DP,1000000022,3161,
5,,Spot,1,Image 1,5,DP,1000000024,3162,
4,,Spot,1,Image 1,5,DP,1000000023,3163,
6,,Spot,1,Image 1,5,DP,1000000025,3164,
4,,Spot,1,Image 1,5,DP,1000000026,3165,
8,,Spot,1,Image 1,5,DP,1000000027,3166,
4,,Spot,1,Image 1,5,EPI;targeted,1000003049,3167,
11,,Spot,1,Image 1,6,PRE,1000000003,3168,
7,,Spot,1,Image 1,6,PRE,1000000006,3169,
5,,Spot,1,Image 1,6,DP,1000000002,3170,
5,,Spot,1,Image 1,6,DP,1000000007,3171,
3,,Spot,1,Image 1,6,PRE,1000000005,3172,
5,,Spot,1,Image 1,6,DP,1000000008,3173,
5,,Spot,1,Image 1,6,DP;d2,1000000000,3174,
5,,Spot,1,Image 1,6,DP;d1,1000000000,3175,
24,,Spot,1,Image 1,6,PRE,1000000004,3176,
9,,Spot,1,Image 1,6,PRE,1000000011,3177,
7,,Spot,1,Image 1,6,PRE,1000000015,3178,
2,,Spot,1,Image 1,6,PRE,1000000014,3179,
7,,Spot,1,Image 1,6,PRE,1000000017,3180,
5,,Spot,1,Image 1,6,PRE,1000000016,3181,
4,,Spot,1,Image 1,6,PRE,1000000013,3182,
6,,Spot,1,Image 1,6,PRE,1000000012,3183,
8,,Spot,1,Image 1,6,DP,1000000009,3184,
5,,Spot,1,Image 1,6,DP,1000000018,3185,
6,,Spot,1,Image 1,6,DP,1000000020,3186,
5,,Spot,1,Image 1,6,DP,1000000019,3187,
8,,Spot,1,Image 1,6,PRE,1000000010,3188,
9,,Spot,1,Image 1,6,PRE;d2,1000000001,3189,
8,,Spot,1,Image 1,6,PRE;d1,1000000001,3190,
3,,Spot,1,Image 1,6,DP,1000000022,3191,
5,,Spot,1,Image 1,6,DP,1000000024,3192,
4,,Spot,1,Image 1,6,DP,1000000023,3193,
6,,Spot,1,Image 1,6,DP,1000000025,3194,
8,,Spot,1,Image 1,6,DP,1000000026,3195,
5,,Spot,1,Image 1,6,DP,1000000027,3196,
3,,Spot,1,Image 1,6,EPI;targeted,1000003049,3197,
9,,Spot,1,Image 1,7,PRE,1000000003,3198,
9,,Spot,1,Image 1,7,PRE,1000000006,3199,
6,,Spot,1,Image 1,7,DP,1000000002,3200,
4,,Spot,1,Image 1,7,DP,1000000007,3201,
7,,Spot,1,Image 1,7,PRE,1000000005,3202,
5,,Spot,1,Image 1,7,DP,1000000008,3203,
5,,Spot,1,Image 1,7,DP;d2,1000000000,3204,
5,,Spot,1,Image 1,7,DP;d1,1000000000,3205,
18,,Spot,1,Image 1,7,PRE,1000000004,3206,
2,,Spot,1,Image 1,7,PRE,1000000011,3207,
11,,Spot,1,Image 1,7,PRE,1000000015,3208,
9,,Spot,1,Image 1,7,PRE,1000000014,3209,
6,,Spot,1,Image 1,7,PRE,1000000017,3210,
4,,Spot,1,Image 1,7,PRE,1000000016,3211,
5,,Spot,1,Image 1,7,PRE,1000000013,3212,
4,,Spot,1,Image 1,7,PRE,1000000012,3213,
4,,Spot,1,Image 1,7,DP,1000000009,3214,
6,,Spot,1,Image 1,7,DP,1000000018,3215,
7,,Spot,1,Image 1,7,DP,1000000020,3216,
8,,Spot,1,Image 1,7,DP,1000000019,3217,
8,,Spot,1,Image 1,7,PRE,1000000010,3218,
6,,Spot,1,Image 1,7,PRE;d2,1000000001,3219,
7,,Spot,1,Image 1,7,PRE;d1,1000000001,3220,
6,,Spot,1,Image 1,7,DP,1000000022,3221,
3,,Spot,1,Image 1,7,DP,1000000024,3222,
5,,Spot,1,Image 1,7,DP,1000000023,3223,
5,,Spot,1,Image 1,7,DP,1000000025,3224,
5,,Spot,1,Image 1,7,DP,1000000026,3225,
3,,Spot,1,Image 1,7,Apoptosis;DP,1000000027,3226,
5,,Spot,1,Image 1,7,EPI;Mito;targeted,1000003049,3227,
8,,Spot,1,Image 1,8,PRE,1000000003,3228,
6,,Spot,1,Image 1,8,PRE,1000000006,3229,
6,,Spot,1,Image 1,8,DP,1000000002,3230,
6,,Spot,1,Image 1,8,DP,1000000007,3231,
7,,Spot,1,Image 1,8,PRE,1000000005,3232,
5,,Spot,1,Image 1,8,DP,1000000008,3233,
6,,Spot,1,Image 1,8,DP;d2,1000000000,3234,
6,,Spot,1,Image 1,8,DP;d1,1000000000,3235,
10,,Spot,1,Image 1,8,PRE,1000000004,3236,
7,,Spot,1,Image 1,8,PRE,1000000011,3237,
8,,Spot,1,Image 1,8,PRE,1000000015,3238,
7,,Spot,1,Image 1,8,PRE,1000000014,3239,
3,,Spot,1,Image 1,8,PRE,1000000017,3240,
