
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
221.008,,Spot,2,Image 1,1,PRE,1000000000,0,
239.152,,Spot,2,Image 1,1,PRE,1000000001,1,
211.18,,Spot,2,Image 1,1,PRE,1000000002,2,
186.448,,Spot,2,Image 1,1,PRE,1000000003,3,
227.064,,Spot,2,Image 1,1,DP,1000000004,4,
148.408,,Spot,2,Image 1,1,PRE,1000000005,5,
130.056,,Spot,2,Image 1,1,DP,1000000006,6,
124.056,,Spot,2,Image 1,1,DP,1000000007,7,
130.1,,Spot,2,Image 1,1,PRE,1000000008,8,
189.568,,Spot,2,Image 1,1,PRE,1000000009,9,
155.416,,Spot,2,Image 1,1,DP,1000000011,11,
75.944,,Spot,2,Image 1,1,DP,1000000012,12,
115.04,,Spot,2,Image 1,1,PRE,1000000013,13,
114.488,,Spot,2,Image 1,1,DP,1000000014,14,
82.894,,Spot,2,Image 1,1,PRE,1000000015,15,
132.964,,Spot,2,Image 1,1,DP,1000000018,18,
86.944,,Spot,2,Image 1,1,PRE,1000000019,19,
118.07,,Spot,2,Image 1,2,PRE,1000000000,20,
140.032,,Spot,2,Image 1,2,PRE,1000000001,85,
101.028,,Spot,2,Image 1,2,PRE,1000000002,209,
97.914,,Spot,2,Image 1,2,PRE,1000000003,231,
89.552,,Spot,2,Image 1,2,PRE,1000000005,340,
77.936,,Spot,2,Image 1,2,PRE,1000000013,427,
75.912,,Spot,2,Image 1,2,DP,1000000006,503,
93.528,,Spot,2,Image 1,2,PRE,1000000009,534,
71.032,,Spot,2,Image 1,2,PRE,1000000008,635,
45.06,,Spot,2,Image 1,2,Mito;PRE,1000000015,798,
55.49,,Spot,2,Image 1,2,DP;Mito,1000000012,861,
75.1,,Spot,2,Image 1,2,DP,1000000014,978,
112.904,,Spot,2,Image 1,2,DP,1000000004,1007,
79.94,,Spot,2,Image 1,2,DP,1000000007,1099,
76.004,,Spot,2,Image 1,2,DP,1000000011,1106,
58.998,,Spot,2,Image 1,2,PRE,1000000019,1187,
77.12,,Spot,2,Image 1,2,DP,1000000018,1267,
123.116,,Spot,2,Image 1,3,PRE,1000000000,1268,
125.09,,Spot,2,Image 1,3,PRE,1000000001,1269,
135.012,,Spot,2,Image 1,3,PRE,1000000002,1270,
111.92,,Spot,2,Image 1,3,PRE,1000000003,1271,
87.112,,Spot,2,Image 1,3,PRE,1000000005,1273,
87.94,,Spot,2,Image 1,3,PRE,1000000013,1274,
67.09,,Spot,2,Image 1,3,DP,1000000006,1275,
48.986,,Spot,2,Image 1,3,PRE,1000000009,1276,
75.03,,Spot,2,Image 1,3,PRE,1000000008,1277,
54.964,,Spot,2,Image 1,3,PRE;d1,1000000015,1280,
43.958,,Spot,2,Image 1,3,PRE;d2,1000000015,1281,
38.952,,Spot,2,Image 1,3,DP;d1,1000000012,1282,
84.974,,Spot,2,Image 1,3,DP;d2,1000000012,1283,
79.92,,Spot,2,Image 1,3,DP,1000000014,1284,
106.008,,Spot,2,Image 1,3,DP,1000000004,1285,
73.984,,Spot,2,Image 1,3,DP,1000000007,1286,
75.01,,Spot,2,Image 1,3,DP,1000000011,1287,
51.08,,Spot,2,Image 1,3,PRE,1000000019,1288,
62.96,,Spot,2,Image 1,3,DP,1000000018,1289,
192.156,,Spot,2,Image 1,4,PRE,1000000000,1290,
196.424,,Spot,2,Image 1,4,PRE,1000000001,1291,
210.496,,Spot,2,Image 1,4,PRE,1000000002,1292,
204.064,,Spot,2,Image 1,4,PRE,1000000003,1293,
128.056,,Spot,2,Image 1,4,PRE,1000000005,1295,
121.536,,Spot,2,Image 1,4,PRE,1000000013,1296,
77.001,,Spot,2,Image 1,4,DP,1000000006,1297,
65.032,,Spot,2,Image 1,4,PRE,1000000009,1298,
133.108,,Spot,2,Image 1,4,PRE,1000000008,1299,
90.55,,Spot,2,Image 1,4,PRE;d1,1000000015,1302,
97.012,,Spot,2,Image 1,4,PRE;d2,1000000015,1303,
59.04,,Spot,2,Image 1,4,DP;d1,1000000012,1304,
122.955,,Spot,2,Image 1,4,DP;d2,1000000012,1305,
90.92,,Spot,2,Image 1,4,DP,1000000014,1306,
159.508,,Spot,2,Image 1,4,DP,1000000004,1307,
101.072,,Spot,2,Image 1,4,DP,1000000007,1308,
96.098,,Spot,2,Image 1,4,DP,1000000011,1309,
58.048,,Spot,2,Image 1,4,PRE,1000000019,1310,
84.098,,Spot,2,Image 1,4,DP,1000000018,1311,
238.6,,Spot,2,Image 1,5,PRE,1000000000,1312,
196.016,,Spot,2,Image 1,5,PRE,1000000001,1313,
230.788,,Spot,2,Image 1,5,PRE,1000000002,1314,
237.028,,Spot,2,Image 1,5,PRE,1000000003,1315,
153.026,,Spot,2,Image 1,5,PRE,1000000005,1317,
180.068,,Spot,2,Image 1,5,PRE,1000000013,1318,
86.024,,Spot,2,Image 1,5,DP,1000000006,1319,
75.924,,Spot,2,Image 1,5,Mito;PRE,1000000009,1320,
169.625,,Spot,2,Image 1,5,PRE,1000000008,1321,
92.945,,Spot,2,Image 1,5,PRE;d1,1000000015,1324,
111.007,,Spot,2,Image 1,5,PRE;d2,1000000015,1325,
89.096,,Spot,2,Image 1,5,DP;d1,1000000012,1326,
155.047,,Spot,2,Image 1,5,DP;d2,1000000012,1327,
105.464,,Spot,2,Image 1,5,DP,1000000014,1328,
200.97,,Spot,2,Image 1,5,DP,1000000004,1329,
125.472,,Spot,2,Image 1,5,DP,1000000007,1330,
130.06,,Spot,2,Image 1,5,DP,1000000011,1331,
62.04,,Spot,2,Image 1,5,PRE,1000000019,1332,
101.01,,Spot,2,Image 1,5,DP,1000000018,1333,
267.99,,Spot,2,Image 1,6,PRE,1000000000,1334,
212.156,,Spot,2,Image 1,6,PRE,1000000001,1335,
223.98,,Spot,2,Image 1,6,PRE,1000000002,1336,
268.46,,Spot,2,Image 1,6,PRE,1000000003,1337,
144.018,,Spot,2,Image 1,6,PRE,1000000005,1339,
204.08,,Spot,2,Image 1,6,PRE,1000000013,1340,
90.019,,Spot,2,Image 1,6,DP,1000000006,1341,
140.97,,Spot,2,Image 1,6,PRE;d1,1000000009,1342,
120.088,,Spot,2,Image 1,6,PRE;d2,1000000009,1343,
141.56,,Spot,2,Image 1,6,PRE,1000000008,1344,
133.122,,Spot,2,Image 1,6,PRE;d1,1000000015,1347,
140.05,,Spot,2,Image 1,6,PRE;d2,1000000015,1348,
86.108,,Spot,2,Image 1,6,DP;d1,1000000012,1349,
135,,Spot,2,Image 1,6,DP;d2,1000000012,1350,
102.054,,Spot,2,Image 1,6,DP,1000000014,1351,
204.99,,Spot,2,Image 1,6,DP,1000000004,1352,
99.962,,Spot,2,Image 1,6,DP,1000000007,1353,
135.528,,Spot,2,Image 1,6,DP,1000000011,1354,
89.1,,Spot,2,Image 1,6,PRE,1000000019,1355,
89.005,,Spot,2,Image 1,6,DP,1000000018,1356,
227.144,,Spot,2,Image 1,7,PRE,1000000000,1357,
171.401,,Spot,2,Image 1,7,PRE,1000000001,1358,
204.888,,Spot,2,Image 1,7,PRE,1000000002,1359,
229.232,,Spot,2,Image 1,7,PRE,1000000003,1360,
149.976,,Spot,2,Image 1,7,PRE,1000000005,1362,
165.88,,Spot,2,Image 1,7,PRE,1000000013,1363,
89.056,,Spot,2,Image 1,7,DP,1000000006,1364,
199.912,,Spot,2,Image 1,7,PRE;d1,1000000009,1365,
122.936,,Spot,2,Image 1,7,PRE;d2,1000000009,1366,
145.62,,Spot,2,Image 1,7,PRE,1000000008,1367,
106.948,,Spot,2,Image 1,7,PRE;d1,1000000015,1370,
124.454,,Spot,2,Image 1,7,PRE;d2,1000000015,1371,
83.042,,Spot,2,Image 1,7,DP;d1,1000000012,1372,
119.12,,Spot,2,Image 1,7,DP;d2,1000000012,1373,
86.94,,Spot,2,Image 1,7,DP,1000000014,1374,
197.045,,Spot,2,Image 1,7,DP,1000000004,1375,
87.57,,Spot,2,Image 1,7,DP,1000000007,1376,
135.528,,Spot,2,Image 1,7,DP,1000000011,1377,
104.06,,Spot,2,Image 1,7,PRE,1000000019,1378,
95.004,,Spot,2,Image 1,7,DP,1000000018,1379,
175.902,,Spot,2,Image 1,8,PRE,1000000000,1380,
98.08,,Spot,2,Image 1,8,PRE,1000000001,1381,
200.884,,Spot,2,Image 1,8,PRE,1000000002,1382,
238.132,,Spot,2,Image 1,8,PRE,1000000003,1383,
148.5,,Spot,2,Image 1,8,PRE,1000000005,1385,
180.972,,Spot,2,Image 1,8,PRE,1000000013,1386,
102,,Spot,2,Image 1,8,DP,1000000006,1387,
185.988,,Spot,2,Image 1,8,PRE;d1,1000000009,1388,
131.996,,Spot,2,Image 1,8,PRE;d2,1000000009,1389,
168.96,,Spot,2,Image 1,8,PRE,1000000008,1390,
105.032,,Spot,2,Image 1,8,PRE;d1,1000000015,1393,
