
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
162.39,,Spot,2,Image 1,1,PRE,1000000000,0,
97.1455,,Spot,2,Image 1,1,PRE,1000000001,1,
179.046,,Spot,2,Image 1,1,PRE,1000000002,2,
214.906,,Spot,2,Image 1,1,PRE,1000000003,3,
175.263,,Spot,2,Image 1,1,PRE,1000000004,4,
150.779,,Spot,2,Image 1,1,PRE,1000000005,5,
140.706,,Spot,2,Image 1,1,PRE,1000000006,6,
216.273,,Spot,2,Image 1,1,PRE,1000000007,7,
205.326,,Spot,2,Image 1,1,EPI,1000000009,9,
87.0668,,Spot,2,Image 1,1,EPI,1000000010,10,
83.1463,,Spot,2,Image 1,1,EPI,1000000011,11,
300.718,,Spot,2,Image 1,1,DP,1000000012,12,
278.449,,Spot,2,Image 1,1,DP,1000000013,13,
474.68,,Spot,2,Image 1,1,DP,1000000014,14,
357.839,,Spot,2,Image 1,1,DP,1000000015,15,
140.831,,Spot,2,Image 1,1,DP,1000000016,16,
122.526,,Spot,2,Image 1,1,DP,1000000017,17,
120.775,,Spot,2,Image 1,1,DP,1000000018,18,
96.942,,Spot,2,Image 1,1,DP,1000000019,19,
101.858,,Spot,2,Image 1,1,DP,1000000020,20,
126.829,,Spot,2,Image 1,1,DP,1000000021,21,
177.715,,Spot,2,Image 1,1,DP,1000000022,22,
97.6862,,Spot,2,Image 1,1,DP,1000000023,23,
117.895,,Spot,2,Image 1,1,DP,1000000024,24,
98.8896,,Spot,2,Image 1,1,DP,1000000026,26,
109.512,,Spot,2,Image 1,1,DP,1000001109,1109,
185.632,,Spot,2,Image 1,2,EPI,1000000009,1110,
82.2467,,Spot,2,Image 1,2,EPI,1000000010,1111,
71.865,,Spot,2,Image 1,2,EPI,1000000011,1112,
115.243,,Spot,2,Image 1,2,DP,1000000018,1113,
132.772,,Spot,2,Image 1,2,DP,1000000016,1114,
92.9116,,Spot,2,Image 1,2,DP,1000000019,1115,
95.224,,Spot,2,Image 1,2,DP,1000000026,1116,
104.792,,Spot,2,Image 1,2,DP,1000000024,1117,
102.501,,Spot,2,Image 1,2,DP,1000000020,1118,
143.216,,Spot,2,Image 1,2,DP,1000000022,1119,
83.6233,,Spot,2,Image 1,2,DP,1000000023,1120,
128.419,,Spot,2,Image 1,2,DP,1000000017,1121,
138.654,,Spot,2,Image 1,2,DP,1000000021,1122,
122.853,,Spot,2,Image 1,2,DP,1000001109,1123,
339.977,,Spot,2,Image 1,2,DP,1000000015,1142,
270.631,,Spot,2,Image 1,2,DP,1000000013,1154,
265.097,,Spot,2,Image 1,2,DP,1000000012,1182,
437.698,,Spot,2,Image 1,2,DP,1000000014,1247,
173.366,,Spot,2,Image 1,2,PRE,1000000007,1312,
115.074,,Spot,2,Image 1,2,PRE,1000000006,1395,
190.007,,Spot,2,Image 1,3,EPI,1000000009,1396,
86.3049,,Spot,2,Image 1,3,EPI,1000000010,1397,
72.1077,,Spot,2,Image 1,3,EPI,1000000011,1398,
108.169,,Spot,2,Image 1,3,DP,1000000018,1399,
135.473,,Spot,2,Image 1,3,DP,1000000016,1400,
84.2186,,Spot,2,Image 1,3,DP,1000000019,1401,
100.222,,Spot,2,Image 1,3,DP,1000000026,1402,
80.9907,,Spot,2,Image 1,3,DP,1000000024,1403,
100.547,,Spot,2,Image 1,3,DP,1000000020,1404,
145.113,,Spot,2,Image 1,3,DP,1000000022,1405,
80.5718,,Spot,2,Image 1,3,DP,1000000023,1406,
116.355,,Spot,2,Image 1,3,DP,1000000017,1407,
155.545,,Spot,2,Image 1,3,DP,1000000021,1408,
128.309,,Spot,2,Image 1,3,DP,1000001109,1409,
