
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
795,,Spot,3,Image 1,1,PRE,1000000000,0,
539,,Spot,3,Image 1,1,PRE,1000000001,1,
312,,Spot,3,Image 1,1,PRE,1000000002,2,
351,,Spot,3,Image 1,1,PRE,1000000003,3,
332,,Spot,3,Image 1,1,PRE,1000000004,4,
490,,Spot,3,Image 1,1,PRE,1000000005,5,
347,,Spot,3,Image 1,1,PRE,1000000006,6,
381,,Spot,3,Image 1,1,PRE,1000000007,7,
649,,Spot,3,Image 1,1,PRE,1000000008,8,
579,,Spot,3,Image 1,1,PRE,1000000009,9,
302,,Spot,3,Image 1,1,PRE,1000000010,10,
307,,Spot,3,Image 1,1,PRE,1000000011,11,
337,,Spot,3,Image 1,1,PRE,1000000012,12,
324,,Spot,3,Image 1,1,PRE,1000000013,13,
622,,Spot,3,Image 1,1,PRE,1000000014,14,
287,,Spot,3,Image 1,1,DP,1000000015,15,
538,,Spot,3,Image 1,1,DP,1000000016,16,
284,,Spot,3,Image 1,1,DP,1000000017,17,
418,,Spot,3,Image 1,1,DP,1000000018,18,
430,,Spot,3,Image 1,1,DP,1000000019,19,
308,,Spot,3,Image 1,1,DP,1000000020,20,
374,,Spot,3,Image 1,1,DP,1000000021,21,
513,,Spot,3,Image 1,1,DP,1000000022,22,
387,,Spot,3,Image 1,1,DP,1000000023,23,
357,,Spot,3,Image 1,1,DP,1000000024,24,
285,,Spot,3,Image 1,1,DP,1000000025,25,
567,,Spot,3,Image 1,1,DP,1000000026,26,
403,,Spot,3,Image 1,1,DP,1000000027,27,
336,,Spot,3,Image 1,1,DP,1000000028,28,
536,,Spot,3,Image 1,1,DP,1000000029,29,
363,,Spot,3,Image 1,1,DP,1000000030,30,
289,,Spot,3,Image 1,2,DP,1000000023,31,
365,,Spot,3,Image 1,2,DP,1000000025,48,
446,,Spot,3,Image 1,2,DP,1000000024,114,
225,,Spot,3,Image 1,2,DP,1000000026,134,
406,,Spot,3,Image 1,2,DP,1000000019,214,
336,,Spot,3,Image 1,2,DP,1000000021,244,
476,,Spot,3,Image 1,2,DP,1000000028,322,
346,,Spot,3,Image 1,2,DP,1000000015,349,
398,,Spot,3,Image 1,2,DP,1000000030,366,
380,,Spot,3,Image 1,2,DP,1000000027,418,
365,,Spot,3,Image 1,2,DP,1000000022,423,
320,,Spot,3,Image 1,2,DP,1000000018,477,
453,,Spot,3,Image 1,2,DP,1000000017,479,
334,,Spot,3,Image 1,2,DP,1000000016,531,
313,,Spot,3,Image 1,2,DP,1000000020,559,
294,,Spot,3,Image 1,2,PRE,1000000013,656,
433,,Spot,3,Image 1,2,PRE,1000000014,704,
355,,Spot,3,Image 1,2,PRE,1000000012,787,
309,,Spot,3,Image 1,2,PRE,1000000009,804,
636,,Spot,3,Image 1,2,PRE,1000000008,855,
443,,Spot,3,Image 1,2,DP,1000000029,941,
422,,Spot,3,Image 1,2,PRE,1000000006,957,
331,,Spot,3,Image 1,2,PRE,1000000007,1022,
290,,Spot,3,Image 1,2,PRE,1000000011,1087,
402,,Spot,3,Image 1,2,PRE,1000000005,1152,
336,,Spot,3,Image 1,2,PRE,1000000002,1182,
266,,Spot,3,Image 1,2,PRE,1000000000,1211,
