
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
101.728,,Spot,3,Image 1,1,PRE,1000000000,0,
180.996,,Spot,3,Image 1,1,PRE,1000000001,1,
128.032,,Spot,3,Image 1,1,PRE,1000000002,2,
117.016,,Spot,3,Image 1,1,PRE,1000000003,3,
150.92,,Spot,3,Image 1,1,PRE,1000000004,4,
179.096,,Spot,3,Image 1,1,PRE,1000000005,5,
187.528,,Spot,3,Image 1,1,PRE,1000000006,6,
157.92,,Spot,3,Image 1,1,PRE,1000000007,7,
180.96,,Spot,3,Image 1,1,PRE,1000000008,8,
159.045,,Spot,3,Image 1,1,PRE,1000000009,9,
172.004,,Spot,3,Image 1,1,PRE,1000000010,10,
141.064,,Spot,3,Image 1,1,PRE,1000000011,11,
175.496,,Spot,3,Image 1,1,PRE,1000000012,12,
204.96,,Spot,3,Image 1,1,PRE,1000000013,13,
170.2,,Spot,3,Image 1,1,PRE,1000000014,14,
164.12,,Spot,3,Image 1,1,DP,1000000015,15,
181.12,,Spot,3,Image 1,1,DP,1000000016,16,
161.928,,Spot,3,Image 1,1,DP,1000000017,17,
166.08,,Spot,3,Image 1,1,DP,1000000018,18,
235.856,,Spot,3,Image 1,1,DP,1000000019,19,
144.964,,Spot,3,Image 1,1,DP,1000000020,20,
153.016,,Spot,3,Image 1,1,DP,1000000021,21,
154.936,,Spot,3,Image 1,1,DP,1000000022,22,
150,,Spot,3,Image 1,1,DP,1000000023,23,
151.016,,Spot,3,Image 1,1,DP,1000000024,24,
160.022,,Spot,3,Image 1,1,DP,1000000025,25,
158.7,,Spot,3,Image 1,1,DP,1000000026,26,
183.92,,Spot,3,Image 1,1,DP,1000000027,27,
124.872,,Spot,3,Image 1,1,DP,1000000028,28,
187.88,,Spot,3,Image 1,1,DP,1000000029,29,
158.072,,Spot,3,Image 1,1,DP,1000000030,30,
137.044,,Spot,3,Image 1,2,DP,1000000023,31,
170.992,,Spot,3,Image 1,2,DP,1000000025,48,
