
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
7,,Spot,1,Image 1,1,PRE,1000000000,0,
5,,Spot,1,Image 1,1,PRE,1000000001,1,
4,,Spot,1,Image 1,1,PRE,1000000002,2,
7,,Spot,1,Image 1,1,PRE,1000000003,3,
5,,Spot,1,Image 1,1,PRE,1000000004,4,
6,,Spot,1,Image 1,1,PRE,1000000005,5,
4,,Spot,1,Image 1,1,Mito;PRE,1000000006,6,
1,,Spot,1,Image 1,1,DP,1000000007,7,
4,,Spot,1,Image 1,1,DP,1000000008,8,
6,,Spot,1,Image 1,1,DP,1000000009,9,
5,,Spot,1,Image 1,1,EPI,1000000010,10,
3,,Spot,1,Image 1,1,DP,1000000011,11,
4,,Spot,1,Image 1,1,DP,1000000012,12,
2,,Spot,1,Image 1,1,DP,1000000013,13,
2,,Spot,1,Image 1,1,DP,1000000014,14,
4,,Spot,1,Image 1,1,DP,1000000015,15,
5,,Spot,1,Image 1,1,EPI,1000000016,16,
3,,Spot,1,Image 1,1,DP,1000000017,17,
5,,Spot,1,Image 1,1,EPI,1000000018,18,
3,,Spot,1,Image 1,1,EPI,1000000019,19,
2,,Spot,1,Image 1,1,EPI,1000000020,20,
6,,Spot,1,Image 1,1,EPI,1000000021,21,
5,,Spot,1,Image 1,1,EPI,1000000022,22,
5,,Spot,1,Image 1,1,EPI,1000000023,23,
4,,Spot,1,Image 1,1,EPI,1000000024,24,
4,,Spot,1,Image 1,1,EPI,1000000025,25,
4,,Spot,1,Image 1,2,EPI,1000000025,26,
4,,Spot,1,Image 1,2,EPI,1000000024,45,
2,,Spot,1,Image 1,2,EPI,1000000023,68,
5,,Spot,1,Image 1,2,EPI,1000000022,89,
4,,Spot,1,Image 1,2,EPI,1000000021,93,
3,,Spot,1,Image 1,2,EPI,1000000020,126,
3,,Spot,1,Image 1,2,EPI,1000000018,191,
4,,Spot,1,Image 1,2,EPI,1000000016,284,
3,,Spot,1,Image 1,2,EPI,1000000019,313,
3,,Spot,1,Image 1,2,EPI,1000000010,330,
5,,Spot,1,Image 1,2,DP,1000000017,395,
3,,Spot,1,Image 1,2,DP,1000000013,419,
6,,Spot,1,Image 1,2,DP,1000000011,458,
2,,Spot,1,Image 1,2,DP,1000000014,466,
3,,Spot,1,Image 1,2,DP,1000000015,520,
3,,Spot,1,Image 1,2,DP,1000000012,585,
3,,Spot,1,Image 1,2,DP,1000000007,616,
4,,Spot,1,Image 1,2,DP,1000000009,703,
3,,Spot,1,Image 1,2,DP,1000000008,729,
6,,Spot,1,Image 1,2,PRE;d1,1000000006,1515,
8,,Spot,1,Image 1,2,PRE;d2,1000000006,1571,
8,,Spot,1,Image 1,2,PRE,1000000005,1619,
8,,Spot,1,Image 1,2,PRE,1000000003,1716,
9,,Spot,1,Image 1,2,PRE,1000000000,1737,
4,,Spot,1,Image 1,2,PRE,1000000004,1802,
10,,Spot,1,Image 1,2,PRE,1000000002,1855,
7,,Spot,1,Image 1,2,PRE,1000000001,1983,
1,,Spot,1,Image 1,3,EPI,1000000025,1984,
5,,Spot,1,Image 1,3,EPI,1000000024,1985,
2,,Spot,1,Image 1,3,EPI,1000000023,1986,
5,,Spot,1,Image 1,3,EPI,1000000022,1987,
