
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
126.908,,Spot,1,Image 1,1,PRE,1000000000,0,
184.06,,Spot,1,Image 1,1,PRE,1000000077,77,
166.484,,Spot,1,Image 1,1,PRE,1000000144,144,
125.018,,Spot,1,Image 1,2,PRE,1000000000,145,
168.2,,Spot,1,Image 1,2,PRE,1000000077,146,
151,,Spot,1,Image 1,2,PRE,1000000144,147,
115.984,,Spot,1,Image 1,3,PRE,1000000000,148,
147.504,,Spot,1,Image 1,3,PRE,1000000077,149,
130.98,,Spot,1,Image 1,3,PRE,1000000144,150,
101.01,,Spot,1,Image 1,4,PRE,1000000000,151,
136.994,,Spot,1,Image 1,4,PRE,1000000077,152,
141,,Spot,1,Image 1,4,PRE,1000000144,153,
112.576,,Spot,1,Image 1,5,PRE,1000000000,154,
170.994,,Spot,1,Image 1,5,PRE,1000000077,155,
146.92,,Spot,1,Image 1,5,PRE,1000000144,156,
105.92,,Spot,1,Image 1,6,PRE,1000000000,157,
167,,Spot,1,Image 1,6,PRE,1000000077,158,
127.6,,Spot,1,Image 1,6,PRE,1000000144,159,
104.94,,Spot,1,Image 1,7,PRE,1000000000,160,
173.962,,Spot,1,Image 1,7,PRE,1000000077,161,
126.12,,Spot,1,Image 1,7,PRE,1000000144,162,
110.016,,Spot,1,Image 1,8,PRE,1000000000,163,
166.08,,Spot,1,Image 1,8,PRE,1000000077,164,
133.988,,Spot,1,Image 1,8,PRE,1000000144,165,
114.912,,Spot,1,Image 1,9,PRE,1000000000,166,
170.966,,Spot,1,Image 1,9,PRE,1000000077,167,
164.432,,Spot,1,Image 1,9,PRE,1000000144,168,
110.588,,Spot,1,Image 1,10,PRE,1000000000,169,
175.08,,Spot,1,Image 1,10,PRE,1000000077,170,
151.512,,Spot,1,Image 1,10,PRE,1000000144,171,
109,,Spot,1,Image 1,11,PRE,1000000000,172,
171.943,,Spot,1,Image 1,11,PRE,1000000077,173,
119.92,,Spot,1,Image 1,11,PRE,1000000144,174,
96.952,,Spot,1,Image 1,12,PRE,1000000000,175,
148.08,,Spot,1,Image 1,12,PRE,1000000077,176,
139.052,,Spot,1,Image 1,12,PRE,1000000144,177,
124.939,,Spot,1,Image 1,13,PRE,1000000000,178,
135.482,,Spot,1,Image 1,13,PRE,1000000077,179,
122.056,,Spot,1,Image 1,13,PRE,1000000144,180,
120.988,,Spot,1,Image 1,14,PRE,1000000000,181,
150.124,,Spot,1,Image 1,14,PRE,1000000077,182,
115.98,,Spot,1,Image 1,14,PRE,1000000144,183,
99.01,,Spot,1,Image 1,15,PRE,1000000000,184,
135.192,,Spot,1,Image 1,15,PRE,1000000077,185,
107,,Spot,1,Image 1,15,PRE,1000000144,186,
95.55,,Spot,1,Image 1,16,PRE,1000000000,187,
169.966,,Spot,1,Image 1,16,PRE,1000000077,188,
129.04,,Spot,1,Image 1,16,PRE,1000000144,189,
104.088,,Spot,1,Image 1,17,PRE,1000000000,190,
138.904,,Spot,1,Image 1,17,PRE,1000000077,191,
108.52,,Spot,1,Image 1,17,PRE,1000000144,192,
89.03,,Spot,1,Image 1,18,PRE,1000000000,193,
181.328,,Spot,1,Image 1,18,PRE,1000000077,194,
107.52,,Spot,1,Image 1,18,PRE,1000000144,195,
106.008,,Spot,1,Image 1,19,PRE,1000000000,196,
178.898,,Spot,1,Image 1,19,PRE,1000000077,197,
97.12,,Spot,1,Image 1,19,PRE,1000000144,198,
102.96,,Spot,1,Image 1,20,PRE,1000000000,199,
200.846,,Spot,1,Image 1,20,PRE,1000000077,200,
118.485,,Spot,1,Image 1,20,PRE,1000000144,201,
90.984,,Spot,1,Image 1,21,PRE,1000000000,202,
180.036,,Spot,1,Image 1,21,PRE,1000000077,203,
105.968,,Spot,1,Image 1,21,PRE,1000000144,204,
85.045,,Spot,1,Image 1,22,PRE,1000000000,205,
203.92,,Spot,1,Image 1,22,PRE,1000000077,206,
144.999,,Spot,1,Image 1,22,PRE,1000000144,207,
83.18,,Spot,1,Image 1,23,PRE,1000000000,208,
156.028,,Spot,1,Image 1,23,PRE,1000000077,209,
128.544,,Spot,1,Image 1,23,PRE,1000000144,210,
81.99,,Spot,1,Image 1,24,PRE,1000000000,211,
185.034,,Spot,1,Image 1,24,PRE,1000000077,212,
145.871,,Spot,1,Image 1,24,PRE,1000000144,213,
75.016,,Spot,1,Image 1,25,PRE,1000000000,214,
181.002,,Spot,1,Image 1,25,PRE,1000000077,215,
141.152,,Spot,1,Image 1,25,PRE,1000000144,216,
81.972,,Spot,1,Image 1,26,PRE,1000000000,217,
159.464,,Spot,1,Image 1,26,PRE,1000000077,218,
138.438,,Spot,1,Image 1,26,PRE,1000000144,219,
88.986,,Spot,1,Image 1,27,PRE,1000000000,220,
202.018,,Spot,1,Image 1,27,PRE,1000000077,221,
167.504,,Spot,1,Image 1,27,PRE,1000000144,222,
88.968,,Spot,1,Image 1,28,PRE,1000000000,223,
218.838,,Spot,1,Image 1,28,PRE,1000000077,224,
121.6,,Spot,1,Image 1,28,PRE,1000000144,225,
75.92,,Spot,1,Image 1,29,PRE,1000000000,226,
183.08,,Spot,1,Image 1,29,PRE,1000000077,227,
129.528,,Spot,1,Image 1,29,PRE,1000000144,228,
121.104,,Spot,1,Image 1,30,PRE,1000000000,229,
188.968,,Spot,1,Image 1,30,PRE,1000000077,230,
198.136,,Spot,1,Image 1,30,PRE,1000000144,231,
146.076,,Spot,1,Image 1,31,PRE,1000000000,232,
192.136,,Spot,1,Image 1,31,PRE,1000000077,233,
190.832,,Spot,1,Image 1,31,PRE,1000000144,234,
115.584,,Spot,1,Image 1,32,PRE,1000000000,235,
170.012,,Spot,1,Image 1,32,PRE,1000000077,236,
191.104,,Spot,1,Image 1,32,PRE,1000000144,237,
114.6,,Spot,1,Image 1,33,PRE,1000000000,238,
141.208,,Spot,1,Image 1,33,PRE,1000000077,239,
199.608,,Spot,1,Image 1,33,PRE,1000000144,240,
117.506,,Spot,1,Image 1,34,PRE,1000000000,241,
136.632,,Spot,1,Image 1,34,PRE,1000000077,242,
198.6,,Spot,1,Image 1,34,PRE,1000000144,243,
119.95,,Spot,1,Image 1,35,PRE,1000000000,244,
208.888,,Spot,1,Image 1,35,PRE,1000000077,245,
197.96,,Spot,1,Image 1,35,PRE,1000000144,246,
150.512,,Spot,1,Image 1,36,PRE,1000000000,247,
220.8,,Spot,1,Image 1,36,PRE,1000000077,248,
