
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
148,,Spot,1,Image 1,1,PRE,1000000001,1,
47,,Spot,1,Image 1,1,PRE,1000000072,72,
29,,Spot,1,Image 1,1,PRE,1000000177,177,
54,,Spot,1,Image 1,1,PRE,1000000306,306,
15,,Spot,1,Image 1,1,PRE,1000000378,378,
32,,Spot,1,Image 1,1,PRE,1000000486,486,
29,,Spot,1,Image 1,1,PRE,1000000587,587,
50,,Spot,1,Image 1,1,PRE,1000000650,650,
13,,Spot,1,Image 1,1,PRE,1000000724,724,
110,,Spot,1,Image 1,2,PRE,1000000001,725,
69,,Spot,1,Image 1,2,PRE,1000000072,726,
31,,Spot,1,Image 1,2,PRE,1000000177,727,
28,,Spot,1,Image 1,2,PRE,1000000306,728,
21,,Spot,1,Image 1,2,PRE,1000000378,729,
25,,Spot,1,Image 1,2,PRE,1000000486,730,
6,,Spot,1,Image 1,2,PRE,1000000587,731,
59,,Spot,1,Image 1,2,PRE,1000000650,732,
16,,Spot,1,Image 1,2,PRE,1000000724,733,
122,,Spot,1,Image 1,3,PRE,1000000001,734,
37,,Spot,1,Image 1,3,PRE,1000000072,735,
72,,Spot,1,Image 1,3,PRE,1000000177,736,
34,,Spot,1,Image 1,3,PRE,1000000306,737,
19,,Spot,1,Image 1,3,PRE,1000000378,738,
39,,Spot,1,Image 1,3,PRE,1000000486,739,
31,,Spot,1,Image 1,3,PRE,1000000587,740,
80,,Spot,1,Image 1,3,PRE,1000000650,741,
25,,Spot,1,Image 1,3,PRE,1000000724,742,
133,,Spot,1,Image 1,4,PRE,1000000001,743,
33,,Spot,1,Image 1,4,PRE,1000000072,744,
74,,Spot,1,Image 1,4,PRE,1000000177,745,
49,,Spot,1,Image 1,4,PRE,1000000306,746,
10,,Spot,1,Image 1,4,PRE,1000000378,747,
21,,Spot,1,Image 1,4,PRE,1000000486,748,
11,,Spot,1,Image 1,4,PRE,1000000587,749,
20,,Spot,1,Image 1,4,PRE,1000000650,750,
23,,Spot,1,Image 1,4,PRE,1000000724,751,
180,,Spot,1,Image 1,5,PRE,1000000001,752,
23,,Spot,1,Image 1,5,PRE,1000000072,753,
74,,Spot,1,Image 1,5,PRE,1000000177,754,
50,,Spot,1,Image 1,5,PRE,1000000306,755,
22,,Spot,1,Image 1,5,PRE,1000000378,756,
24,,Spot,1,Image 1,5,PRE,1000000486,757,
9,,Spot,1,Image 1,5,PRE,1000000587,758,
13,,Spot,1,Image 1,5,PRE,1000000650,759,
25,,Spot,1,Image 1,5,PRE,1000000724,760,
118,,Spot,1,Image 1,6,PRE,1000000001,761,
40,,Spot,1,Image 1,6,PRE,1000000072,762,
62,,Spot,1,Image 1,6,PRE,1000000177,763,
51,,Spot,1,Image 1,6,PRE,1000000306,764,
22,,Spot,1,Image 1,6,PRE,1000000378,765,
40,,Spot,1,Image 1,6,PRE,1000000486,766,
18,,Spot,1,Image 1,6,PRE,1000000587,767,
72,,Spot,1,Image 1,6,PRE,1000000650,768,
32,,Spot,1,Image 1,6,PRE,1000000724,769,
117,,Spot,1,Image 1,7,PRE,1000000001,770,
25,,Spot,1,Image 1,7,PRE,1000000072,771,
86,,Spot,1,Image 1,7,PRE,1000000177,772,
74,,Spot,1,Image 1,7,PRE,1000000306,773,
16,,Spot,1,Image 1,7,PRE,1000000378,774,
23,,Spot,1,Image 1,7,PRE,1000000486,775,
15,,Spot,1,Image 1,7,PRE,1000000587,776,
78,,Spot,1,Image 1,7,PRE,1000000650,777,
32,,Spot,1,Image 1,7,PRE,1000000724,778,
110,,Spot,1,Image 1,8,PRE,1000000001,779,
18,,Spot,1,Image 1,8,PRE,1000000072,780,
66,,Spot,1,Image 1,8,PRE,1000000177,781,
47,,Spot,1,Image 1,8,PRE,1000000306,782,
16,,Spot,1,Image 1,8,PRE,1000000378,783,
26,,Spot,1,Image 1,8,PRE,1000000486,784,
17,,Spot,1,Image 1,8,PRE,1000000587,785,
71,,Spot,1,Image 1,8,PRE,1000000650,786,
39,,Spot,1,Image 1,8,PRE,1000000724,787,
120,,Spot,1,Image 1,9,PRE,1000000001,788,
38,,Spot,1,Image 1,9,PRE,1000000072,789,
59,,Spot,1,Image 1,9,PRE,1000000177,790,
81,,Spot,1,Image 1,9,PRE,1000000306,791,
23,,Spot,1,Image 1,9,PRE,1000000378,792,
47,,Spot,1,Image 1,9,PRE,1000000486,793,
22,,Spot,1,Image 1,9,PRE,1000000587,794,
46,,Spot,1,Image 1,9,PRE,1000000650,795,
39,,Spot,1,Image 1,9,PRE,1000000724,796,
154,,Spot,1,Image 1,10,PRE,1000000001,797,
13,,Spot,1,Image 1,10,PRE,1000000072,798,
74,,Spot,1,Image 1,10,PRE,1000000177,799,
49,,Spot,1,Image 1,10,PRE,1000000306,800,
30,,Spot,1,Image 1,10,PRE,1000000378,801,
13,,Spot,1,Image 1,10,PRE,1000000486,802,
21,,Spot,1,Image 1,10,PRE,1000000587,803,
76,,Spot,1,Image 1,10,PRE,1000000650,804,
30,,Spot,1,Image 1,10,PRE,1000000724,805,
101,,Spot,1,Image 1,11,PRE,1000000001,806,
26,,Spot,1,Image 1,11,PRE,1000000072,807,
59,,Spot,1,Image 1,11,PRE,1000000177,808,
47,,Spot,1,Image 1,11,PRE,1000000306,809,
28,,Spot,1,Image 1,11,PRE,1000000378,810,
43,,Spot,1,Image 1,11,PRE,1000000486,811,
24,,Spot,1,Image 1,11,PRE,1000000587,812,
60,,Spot,1,Image 1,11,PRE,1000000650,813,
31,,Spot,1,Image 1,11,PRE,1000000724,814,
182,,Spot,1,Image 1,12,PRE,1000000001,815,
46,,Spot,1,Image 1,12,PRE,1000000072,816,
80,,Spot,1,Image 1,12,PRE,1000000177,817,
72,,Spot,1,Image 1,12,PRE,1000000306,818,
28,,Spot,1,Image 1,12,PRE,1000000378,819,
61,,Spot,1,Image 1,12,PRE,1000000486,820,
23,,Spot,1,Image 1,12,PRE,1000000587,821,
74,,Spot,1,Image 1,12,PRE,1000000650,822,
18,,Spot,1,Image 1,12,PRE,1000000724,823,
126,,Spot,1,Image 1,13,PRE,1000000001,824,
25,,Spot,1,Image 1,13,PRE,1000000072,825,
16,,Spot,1,Image 1,13,PRE,1000000177,826,
72,,Spot,1,Image 1,13,PRE,1000000306,827,
33,,Spot,1,Image 1,13,PRE,1000000378,828,
34,,Spot,1,Image 1,13,PRE,1000000486,829,
14,,Spot,1,Image 1,13,PRE,1000000587,830,
52,,Spot,1,Image 1,13,PRE,1000000650,831,
36,,Spot,1,Image 1,13,PRE,1000000724,832,
135,,Spot,1,Image 1,14,PRE,1000000001,833,
27,,Spot,1,Image 1,14,PRE,1000000072,834,
42,,Spot,1,Image 1,14,PRE,1000000177,835,
64,,Spot,1,Image 1,14,PRE,1000000306,836,
22,,Spot,1,Image 1,14,PRE,1000000378,837,
38,,Spot,1,Image 1,14,PRE,1000000486,838,
17,,Spot,1,Image 1,14,PRE,1000000587,839,
67,,Spot,1,Image 1,14,PRE,1000000650,840,
31,,Spot,1,Image 1,14,PRE,1000000724,841,
137,,Spot,1,Image 1,15,PRE,1000000001,842,
54,,Spot,1,Image 1,15,PRE,1000000072,843,
54,,Spot,1,Image 1,15,PRE,1000000177,844,
15,,Spot,1,Image 1,15,PRE,1000000306,845,
18,,Spot,1,Image 1,15,PRE,1000000378,846,
49,,Spot,1,Image 1,15,PRE,1000000486,847,
9,,Spot,1,Image 1,15,PRE,1000000587,848,
76,,Spot,1,Image 1,15,PRE,1000000650,849,
20,,Spot,1,Image 1,15,PRE,1000000724,850,
53,,Spot,1,Image 1,16,PRE,1000000001,851,
57,,Spot,1,Image 1,16,PRE,1000000072,852,
48,,Spot,1,Image 1,16,PRE,1000000177,853,
34,,Spot,1,Image 1,16,PRE,1000000306,854,
24,,Spot,1,Image 1,16,PRE,1000000378,855,
35,,Spot,1,Image 1,16,PRE,1000000486,856,
22,,Spot,1,Image 1,16,PRE,1000000587,857,
62,,Spot,1,Image 1,16,PRE,1000000650,858,
35,,Spot,1,Image 1,16,PRE,1000000724,859,
50,,Spot,1,Image 1,17,PRE,1000000001,860,
33,,Spot,1,Image 1,17,PRE,1000000072,861,
24,,Spot,1,Image 1,17,PRE,1000000177,862,
25,,Spot,1,Image 1,17,PRE,1000000306,863,
20,,Spot,1,Image 1,17,PRE,1000000378,864,
37,,Spot,1,Image 1,17,PRE,1000000486,865,
18,,Spot,1,Image 1,17,PRE,1000000587,866,
44,,Spot,1,Image 1,17,PRE,1000000650,867,
43,,Spot,1,Image 1,17,PRE,1000000724,868,
