
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
96,,Spot,1,Image 1,1,PRE,1000000000,0,
27,,Spot,1,Image 1,1,PRE,1000000070,70,
49,,Spot,1,Image 1,1,PRE,1000000140,140,
51,,Spot,1,Image 1,1,PRE,1000000210,210,
5,,Spot,1,Image 1,1,Mito;PRE,1000000280,280,
45,,Spot,1,Image 1,2,PRE,1000000000,281,
42,,Spot,1,Image 1,2,PRE,1000000070,282,
52,,Spot,1,Image 1,2,PRE,1000000140,283,
67,,Spot,1,Image 1,2,PRE,1000000210,284,
65,,Spot,1,Image 1,2,PRE;d1,1000000280,285,
66,,Spot,1,Image 1,2,PRE;d2,1000000280,350,
47,,Spot,1,Image 1,3,PRE,1000000000,351,
29,,Spot,1,Image 1,3,PRE,1000000070,352,
10,,Spot,1,Image 1,3,PRE,1000000140,353,
39,,Spot,1,Image 1,3,PRE,1000000210,354,
61,,Spot,1,Image 1,3,PRE;d1,1000000280,355,
46,,Spot,1,Image 1,3,PRE;d2,1000000280,356,
81,,Spot,1,Image 1,4,PRE,1000000000,357,
79,,Spot,1,Image 1,4,PRE,1000000070,358,
62,,Spot,1,Image 1,4,PRE,1000000140,359,
79,,Spot,1,Image 1,4,PRE,1000000210,360,
78,,Spot,1,Image 1,4,PRE;d1,1000000280,361,
31,,Spot,1,Image 1,4,PRE;d2,1000000280,362,
45,,Spot,1,Image 1,5,PRE,1000000000,363,
51,,Spot,1,Image 1,5,PRE,1000000070,364,
26,,Spot,1,Image 1,5,PRE,1000000140,365,
52,,Spot,1,Image 1,5,PRE,1000000210,366,
86,,Spot,1,Image 1,5,PRE;d1,1000000280,367,
20,,Spot,1,Image 1,5,PRE;d2,1000000280,368,
97,,Spot,1,Image 1,6,PRE,1000000000,369,
40,,Spot,1,Image 1,6,PRE,1000000070,370,
72,,Spot,1,Image 1,6,PRE,1000000140,371,
59,,Spot,1,Image 1,6,PRE,1000000210,372,
