
Time Index
 ==================== 
Time Index,Unit,Category,Time,NS-labs,TrackID,ID,
1,,Spot,1,PRE,1000000000,0,
1,,Spot,1,PRE,1000000070,70,
1,,Spot,1,PRE,1000000140,140,
1,,Spot,1,PRE,1000000210,210,
1,,Spot,1,Mito;PRE,1000000280,280,
2,,Spot,2,PRE,1000000000,281,
2,,Spot,2,PRE,1000000070,282,
2,,Spot,2,PRE,1000000140,283,
2,,Spot,2,PRE,1000000210,284,
2,,Spot,2,PRE;d1,1000000280,285,
2,,Spot,2,PRE;d2,1000000280,350,
3,,Spot,3,PRE,1000000000,351,
3,,Spot,3,PRE,1000000070,352,
3,,Spot,3,PRE,1000000140,353,
3,,Spot,3,PRE,1000000210,354,
3,,Spot,3,PRE;d1,1000000280,355,
3,,Spot,3,PRE;d2,1000000280,356,
4,,Spot,4,PRE,1000000000,357,
4,,Spot,4,PRE,1000000070,358,
4,,Spot,4,PRE,1000000140,359,
4,,Spot,4,PRE,1000000210,360,
4,,Spot,4,PRE;d1,1000000280,361,
4,,Spot,4,PRE;d2,1000000280,362,
5,,Spot,5,PRE,1000000000,363,
5,,Spot,5,PRE,1000000070,364,
5,,Spot,5,PRE,1000000140,365,
5,,Spot,5,PRE,1000000210,366,
5,,Spot,5,PRE;d1,1000000280,367,
5,,Spot,5,PRE;d2,1000000280,368,
6,,Spot,6,PRE,1000000000,369,
6,,Spot,6,PRE,1000000070,370,
6,,Spot,6,PRE,1000000140,371,
6,,Spot,6,PRE,1000000210,372,
6,,Spot,6,PRE;d1,1000000280,373,
6,,Spot,6,PRE;d2,1000000280,374,
7,,Spot,7,PRE,1000000000,375,
7,,Spot,7,PRE,1000000070,376,
7,,Spot,7,PRE,1000000140,377,
7,,Spot,7,PRE,1000000210,378,
7,,Spot,7,PRE;d1,1000000280,379,
7,,Spot,7,PRE;d2,1000000280,380,
8,,Spot,8,PRE,1000000000,381,
8,,Spot,8,PRE,1000000070,382,
8,,Spot,8,PRE,1000000140,383,
8,,Spot,8,PRE,1000000210,384,
8,,Spot,8,PRE;d1,1000000280,385,
8,,Spot,8,PRE;d2,1000000280,386,
9,,Spot,9,PRE,1000000000,387,
9,,Spot,9,PRE,1000000070,388,
9,,Spot,9,PRE,1000000140,389,
9,,Spot,9,PRE,1000000210,390,
9,,Spot,9,PRE;d1,1000000280,391,
9,,Spot,9,PRE;d2,1000000280,392,
10,,Spot,10,PRE,1000000000,393,
10,,Spot,10,PRE,1000000070,394,
10,,Spot,10,PRE,1000000140,395,
10,,Spot,10,PRE,1000000210,396,
10,,Spot,10,PRE;d1,1000000280,397,
10,,Spot,10,PRE;d2,1000000280,398,
11,,Spot,11,PRE,1000000000,399,
11,,Spot,11,PRE,1000000070,400,
11,,Spot,11,PRE,1000000140,401,
11,,Spot,11,PRE,1000000210,402,
11,,Spot,11,PRE;d1,1000000280,403,
11,,Spot,11,PRE;d2,1000000280,404,
12,,Spot,12,PRE,1000000000,405,
12,,Spot,12,PRE,1000000070,406,
12,,Spot,12,PRE,1000000140,407,
12,,Spot,12,PRE,1000000210,408,
12,,Spot,12,PRE;d1,1000000280,409,
12,,Spot,12,PRE;d2,1000000280,410,
13,,Spot,13,PRE,1000000000,411,
13,,Spot,13,PRE,1000000070,412,
13,,Spot,13,PRE,1000000140,413,
13,,Spot,13,PRE,1000000210,414,
13,,Spot,13,PRE;d1,1000000280,415,
13,,Spot,13,PRE;d2,1000000280,416,
14,,Spot,14,PRE,1000000000,417,
14,,Spot,14,PRE,1000000070,418,
14,,Spot,14,PRE,1000000140,419,
14,,Spot,14,PRE,1000000210,420,
14,,Spot,14,PRE;d1,1000000280,421,
14,,Spot,14,PRE;d2,1000000280,422,
15,,Spot,15,PRE,1000000000,423,
15,,Spot,15,PRE,1000000070,424,
15,,Spot,15,PRE,1000000140,425,
15,,Spot,15,PRE,1000000210,426,
15,,Spot,15,PRE;d1,1000000280,427,
15,,Spot,15,PRE;d2,1000000280,428,
16,,Spot,16,PRE,1000000000,429,
16,,Spot,16,PRE,1000000070,430,
16,,Spot,16,PRE,1000000140,431,
16,,Spot,16,PRE,1000000210,432,
16,,Spot,16,PRE;d1,1000000280,433,
16,,Spot,16,PRE;d2,1000000280,434,
17,,Spot,17,PRE,1000000000,435,
17,,Spot,17,PRE,1000000070,436,
17,,Spot,17,PRE,1000000140,437,
17,,Spot,17,PRE,1000000210,438,
17,,Spot,17,PRE;d1,1000000280,439,
17,,Spot,17,PRE;d2,1000000280,440,
18,,Spot,18,PRE,1000000000,441,
18,,Spot,18,PRE,1000000070,442,
18,,Spot,18,PRE,1000000140,443,
18,,Spot,18,PRE,1000000210,444,
18,,Spot,18,PRE;d1,1000000280,445,
18,,Spot,18,PRE;d2,1000000280,446,
19,,Spot,19,PRE,1000000000,447,
19,,Spot,19,PRE,1000000070,448,
19,,Spot,19,PRE,1000000140,449,
19,,Spot,19,PRE,1000000210,450,
19,,Spot,19,PRE;d1,1000000280,451,
19,,Spot,19,PRE;d2,1000000280,452,
20,,Spot,20,PRE,1000000000,453,
20,,Spot,20,PRE,1000000070,454,
20,,Spot,20,PRE,1000000140,455,
20,,Spot,20,PRE,1000000210,456,
20,,Spot,20,PRE;d1,1000000280,457,
20,,Spot,20,PRE;d2,1000000280,458,
21,,Spot,21,PRE,1000000000,459,
21,,Spot,21,PRE,1000000070,460,
21,,Spot,21,PRE,1000000140,461,
21,,Spot,21,PRE,1000000210,462,
21,,Spot,21,PRE;d1,1000000280,463,
21,,Spot,21,PRE;d2,1000000280,464,
22,,Spot,22,PRE,1000000000,465,
22,,Spot,22,PRE,1000000070,466,
22,,Spot,22,PRE,1000000140,467,
22,,Spot,22,PRE,1000000210,468,
22,,Spot,22,PRE;d1,1000000280,469,
